Date,Year,month,total.hours,Run,total.count,cpue
May-18,2018,5,382.9166667,LateFall,0,0
May-18,2018,5,382.9166667,Spring,0,0
May-18,2018,5,382.9166667,Winter,0,0
Jun-18,2018,6,433.45,Fall,0,0
Jun-18,2018,6,433.45,LateFall,0,0
Jun-18,2018,6,433.45,Spring,0,0
Jun-18,2018,6,433.45,Winter,0,0
Jul-18,2018,7,96.8,Fall,0,0
Jul-18,2018,7,96.8,LateFall,0,0
Jul-18,2018,7,96.8,Spring,0,0
Jul-18,2018,7,96.8,Winter,0,0
Jan-19,2019,1,72.38333333,Fall,1,0.013815335
Jan-19,2019,1,72.38333333,LateFall,0,0
Jan-19,2019,1,72.38333333,Spring,0,0
Jan-19,2019,1,72.38333333,Winter,0,0
Feb-19,2019,2,101.45,Fall,4,0.03942829
Feb-19,2019,2,101.45,LateFall,0,0
Feb-19,2019,2,101.45,Spring,0,0
Feb-19,2019,2,101.45,Winter,0,0
Mar-19,2019,3,54.31666666,Fall,1,0.018410555
Mar-19,2019,3,54.31666666,LateFall,1,0.018410555
Mar-19,2019,3,54.31666666,Spring,0,0
Mar-19,2019,3,54.31666666,Winter,11,0.202516109
Apr-19,2019,4,125.4333333,Fall,244,1.945256444
Apr-19,2019,4,125.4333333,LateFall,27,0.215253787
Apr-19,2019,4,125.4333333,Spring,6,0.047834175
Apr-19,2019,4,125.4333333,Winter,8,0.0637789
May-19,2019,5,100.6166667,Fall,0,0
May-19,2019,5,100.6166667,LateFall,0,0
May-19,2019,5,100.6166667,Spring,0,0
May-19,2019,5,100.6166667,Winter,0,0
Jun-19,2019,6,98.71666666,Fall,0,0
Jun-19,2019,6,98.71666666,LateFall,0,0
Jun-19,2019,6,98.71666666,Spring,0,0
Jun-19,2019,6,98.71666666,Winter,0,0
