Year,Month,Date,Region,WYType,FlowPulseType,SamplePeriod,StationCode,Genus,CPUEZoop
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Bosmina,21.6797505597672
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Diaphanosoma,32.5196258396508
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Alona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Chydorus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Ceriodaphnia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Daphnia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Diaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Ilyocryptus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Macrothrix,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Limnoithona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Camptocercus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Acartiella,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Eurytemora,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Monospilus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Microcyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Eucyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Pleuroxus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Osphranticum,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Sida,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Disparalona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Mesocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Graptoleberis,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Kurzia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Simocephalus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Moina,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Leydigia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Acanthocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Macrocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Picripleuroxus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Arctodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Pseudochydorus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Scapholeberis,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Alonella,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Diacyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Eurycercus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Leptodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Skistodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Paracyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Ergasilus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Tropocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Anchistropus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Acartia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Sinocalanus,56.0999037509819
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Pseudodiaptomus,7264.937535752149
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,NA,196.34966312843682
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Bosmina,28.0499518754909
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Diaphanosoma,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Alona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Chydorus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Ceriodaphnia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Daphnia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Diaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Ilyocryptus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Macrothrix,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Limnoithona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Camptocercus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Acartiella,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Eurytemora,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Monospilus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Microcyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Eucyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Pleuroxus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Osphranticum,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Sida,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Disparalona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Mesocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Graptoleberis,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Kurzia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Simocephalus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Moina,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Leydigia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Acanthocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Macrocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Picripleuroxus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Arctodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Pseudochydorus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Scapholeberis,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Alonella,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Diacyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Eurycercus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Leptodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Skistodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Paracyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Ergasilus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Tropocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Anchistropus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RVB,Acartia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Sinocalanus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Pseudodiaptomus,2286.11878516393
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,NA,899.9288161355981
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Bosmina,46.0911045395953
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Diaphanosoma,9.21822090791906
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Alona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Chydorus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Ceriodaphnia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Daphnia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Diaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Ilyocryptus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Macrothrix,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Limnoithona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Camptocercus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Acartiella,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Eurytemora,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Monospilus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Microcyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Eucyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Pleuroxus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Osphranticum,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Sida,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Disparalona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Mesocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Graptoleberis,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Kurzia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Simocephalus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Moina,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Leydigia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Acanthocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Macrocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Picripleuroxus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Arctodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Pseudochydorus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Scapholeberis,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Alonella,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Diacyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Eurycercus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Leptodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Skistodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Paracyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Ergasilus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Tropocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Anchistropus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,RYI,Acartia,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Sinocalanus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Pseudodiaptomus,834.108328943932
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,NA,5954.169517933102
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Bosmina,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Diaphanosoma,802.632542946048
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Alona,346.233645976727
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Chydorus,173.116822988363
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Ceriodaphnia,503.612575966148
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Daphnia,125.903143991537
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Diaptomus,47.2136789968263
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Ilyocryptus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Macrothrix,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Limnoithona,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Camptocercus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Acartiella,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Eurytemora,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Monospilus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Microcyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Eucyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Pleuroxus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Osphranticum,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Sida,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Disparalona,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Mesocyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Graptoleberis,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Kurzia,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Simocephalus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Moina,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Leydigia,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Acanthocyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Macrocyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Picripleuroxus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Arctodiaptomus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Pseudochydorus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Scapholeberis,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Alonella,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Diacyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Eurycercus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Leptodiaptomus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Skistodiaptomus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Paracyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Ergasilus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Tropocyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Anchistropus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,I80,Acartia,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Sinocalanus,354.1025924761973
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Pseudodiaptomus,60.328589829278116
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,NA,872.5787340524574
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Bosmina,5.24596433298071
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Diaphanosoma,212.461555485719
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Alona,47.2136789968263
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Chydorus,5.24596433298071
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Ceriodaphnia,7.86894649947106
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Daphnia,5.24596433298071
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Diaptomus,2.62298216649035
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Ilyocryptus,13.1149108324518
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Macrothrix,7.86894649947106
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Limnoithona,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Camptocercus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Acartiella,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Eurytemora,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Monospilus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Microcyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Eucyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Pleuroxus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Osphranticum,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Sida,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Disparalona,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Mesocyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Graptoleberis,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Kurzia,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Simocephalus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Moina,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Leydigia,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Acanthocyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Macrocyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Picripleuroxus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Arctodiaptomus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Pseudochydorus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Scapholeberis,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Alonella,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Diacyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Eurycercus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Leptodiaptomus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Skistodiaptomus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Paracyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Ergasilus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Tropocyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Anchistropus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,LIS,Acartia,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Sinocalanus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Pseudodiaptomus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,NA,3919.146474931339
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Bosmina,29.2110296268174
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Diaphanosoma,14.6055148134087
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Alona,38.9480395024232
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Chydorus,19.4740197512116
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Ceriodaphnia,637.77414685218
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Daphnia,111.975613569467
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Diaptomus,9.7370098756058
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Ilyocryptus,14.6055148134087
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Macrothrix,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Limnoithona,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Camptocercus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Acartiella,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Eurytemora,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Monospilus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Microcyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Eucyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Pleuroxus,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Osphranticum,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Sida,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Disparalona,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Mesocyclops,0
2014,Aug,2014-08-06,Upstream,C,NF,Before,RCS,Graptoleberis,0
