Phylum,Class,Order,Family,Genus,Species,TaxonName
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,phaleratus,Eucyclops phaleratus
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,prionophorus,Eucyclops prionophorus
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,NA,Eucyclops sp.
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Eurycercus,NA,Eurycercus sp.
Arthropoda,Hexanauplia,Calanoida,Temoridae,Eurytemora,affinis,Eurytemora affinis
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Graptoleberis,NA,Graptoleberis sp.
Arthropoda,Hexanauplia,Cyclopoida,NA,NA,NA,Harpacticoida
Arthropoda,Branchiopoda,Diplostraca,Ilyocryptidae,Ilyocryptus,NA,Ilyocryptus sp.
Arthropoda,Insecta,NA,NA,NA,NA,Insecta
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Kurzia,NA,Kurzia sp.
Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Leptodiaptomus,siciloides,Leptodiaptomus siciloides
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Leydigia,NA,Leydigia sp.
Arthropoda,Hexanauplia,Cyclopoida,Cyclopettidae,Limnoithona,NA,Limnoithona sp.
Arthropoda,Hexanauplia,Cyclopoida,Cyclopettidae,Limnoithona,tetraspina,Limnoithona tetraspina
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Macrocyclops,albidus,Macrocyclops albidus
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Macrocyclops,NA,Macrocyclops sp.
Arthropoda,Branchiopoda,Diplostraca,Macrothricidae,Macrothrix,NA,Macrothrix sp.
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Mesocyclops,edax,Mesocyclops edax
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Microcyclops,rubellus,Microcyclops rubellus
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Microcyclops,NA,Microcyclops sp.
Arthropoda,Branchiopoda,Diplostraca,Moinidae,Moina,NA,Moina sp.
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Monospilus,dispar,Monospilus dispar
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Monospilus,NA,Monospilus sp.
Arthropoda,Hexanauplia,Calanoida,Centropagidae,Osphranticum,labronectum,Osphranticum labronectum
Arthropoda,Ostracoda,NA,NA,NA,NA,Ostracoda
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Paracyclops,chiltoni,Paracyclops chiltoni
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Paracyclops,fimbriatus,Paracyclops fimbriatus
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Paracyclops,NA,Paracyclops sp.
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Picripleuroxus,NA,Picripleuroxus sp.
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,NA,Pleuroxus sp.
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pseudochydorus,globosus,Pseudochydorus globosus
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pseudochydorus,NA,Pseudochydorus sp.
Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi
Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,NA,Pseudodiaptomus sp.
Rotifera,NA,NA,NA,NA,NA,Rotifera
Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Scapholeberis,NA,Scapholeberis sp.
Arthropoda,Branchiopoda,Diplostraca,Sididae,Sida,NA,Sida sp.
Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Simocephalus,NA,Simocephalus sp.
Arthropoda,Hexanauplia,Calanoida,Centropagidae,Sinocalanus,doerrii,Sinocalanus doerrii
Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Skistodiaptomus,pallidus,Skistodiaptomus pallidus
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Tropocyclops,prasinus,Tropocyclops prasinus
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Tropocyclops,NA,Tropocyclops sp.
