Date,Station,Flow,DO,Turbidity,Conductivity,pH,Chl,Temperature
8/2/2019 3:30,RVB,-82600,8,9.44,127,7.4,1.88,22.88888889
8/2/2019 3:45,RVB,-76500,8,10.83,128,7.4,1.99,22.88888889
8/2/2019 4:00,RVB,-68700,8.1,9.04,128,7.4,1.89,22.94444444
8/2/2019 4:15,RVB,-58400,8,8.82,129,7.4,1.8,22.94444444
8/2/2019 4:30,RVB,-45300,8,8.16,129,7.4,1.66,22.94444444
8/2/2019 4:45,RVB,-30000,8,7.71,130,7.4,1.66,22.94444444
8/2/2019 5:00,RVB,-12800,8,6.54,129,7.4,1.34,22.94444444
8/2/2019 5:15,RVB,9490,8,6.71,129,7.4,1.34,22.88888889
8/2/2019 5:30,RVB,30700,8,6.78,130,7.4,1.27,22.94444444
8/2/2019 5:45,RVB,53600,8.1,7.25,130,7.4,1.15,22.94444444
8/2/2019 6:00,RVB,72000,8.1,6.34,129,7.4,0.97,22.94444444
8/2/2019 6:15,RVB,88000,8.1,6.77,129,7.4,1.04,22.94444444
8/2/2019 6:30,RVB,97300,8.1,6.16,128,7.4,0.9,22.94444444
8/2/2019 6:45,RVB,103000,8.1,6.22,128,7.4,0.9,22.94444444
8/2/2019 7:00,RVB,107000,8.1,6.83,127,7.4,0.88,22.88888889
8/2/2019 7:15,RVB,111000,8,7.29,127,7.4,0.82,22.83333333
8/2/2019 7:30,RVB,110000,8.1,8.03,126,7.4,0.85,22.83333333
8/2/2019 7:45,RVB,110000,8.1,7.76,126,7.4,0.84,22.83333333
8/2/2019 8:00,RVB,108000,8.1,7.94,126,7.4,0.82,22.83333333
8/2/2019 8:15,RVB,106000,8.1,7.65,126,7.4,0.75,22.77777778
8/2/2019 8:30,RVB,105000,8.1,7.62,126,7.4,0.83,22.77777778
8/2/2019 8:45,RVB,103000,8.1,7.43,126,7.4,0.91,22.77777778
8/2/2019 9:00,RVB,102000,8.1,7.59,125,7.4,0.75,22.77777778
8/2/2019 9:15,RVB,1.00E+05,8.1,7.6,126,7.4,0.74,22.77777778
8/2/2019 9:30,RVB,99100,8.1,7.18,126,7.4,0.61,22.77777778
8/2/2019 9:45,RVB,97500,8.1,7.4,126,7.4,0.67,22.72222222
8/2/2019 10:00,RVB,95800,8.2,7.78,126,7.4,0.49,22.72222222
8/2/2019 10:15,RVB,94900,8.2,7.08,126,7.3,0.58,22.66666667
8/2/2019 10:30,RVB,93000,8.1,9.09,127,7.3,0.67,22.66666667
8/2/2019 10:45,RVB,91400,8.2,8.75,127,7.4,0.76,22.66666667
8/2/2019 11:00,RVB,89600,8.1,7.94,128,7.4,0.63,22.61111111
8/2/2019 11:15,RVB,88400,8,7.2,128,7.4,0.5,22.61111111
8/2/2019 11:30,RVB,85300,8.1,6.55,129,7.4,0.57,22.55555556
8/2/2019 11:45,RVB,81400,8.1,6.54,129,7.4,0.5,22.55555556
8/2/2019 12:00,RVB,76900,8,7.59,130,7.4,0.45,22.55555556
8/2/2019 12:15,RVB,70400,8,5.53,130,7.4,0.49,22.55555556
8/2/2019 12:30,RVB,62500,8,5.78,131,7.4,0.61,22.55555556
8/2/2019 12:45,RVB,51200,8,6.51,132,7.4,0.55,22.5
8/2/2019 13:00,RVB,35900,7.9,5.6,132,7.4,0.5,22.5
8/2/2019 13:15,RVB,16200,8,5.35,132,7.4,0.39,22.61111111
8/2/2019 13:30,RVB,-4880,8.1,5.93,131,7.5,0.55,22.77777778
8/2/2019 13:45,RVB,-25500,8.1,5.43,131,7.4,0.57,22.83333333
8/2/2019 14:00,RVB,-45600,8.1,4.8,132,7.4,0.54,22.72222222
8/2/2019 14:15,RVB,-63500,8,4.56,132,7.4,0.47,22.66666667
8/2/2019 14:30,RVB,-74100,8,6.66,132,7.4,0.56,22.61111111
8/2/2019 14:45,RVB,-79600,8,6.61,132,7.4,0.54,22.55555556
8/2/2019 15:00,RVB,-87000,8,6.13,132,7.4,0.58,22.55555556
8/2/2019 15:15,RVB,-90000,8,6.39,132,7.4,0.49,22.61111111
8/2/2019 15:30,RVB,-92000,8,6.42,131,7.4,0.54,22.61111111
8/2/2019 15:45,RVB,-92400,8,6.34,131,7.4,0.63,22.66666667
8/2/2019 16:00,RVB,-88000,8,6.59,131,7.4,0.51,22.66666667
8/2/2019 16:15,RVB,-84500,8,5.69,130,7.4,0.57,22.66666667
8/2/2019 16:30,RVB,-81600,8,6.34,129,7.4,0.7,22.72222222
8/2/2019 16:45,RVB,-77300,8.1,6.21,129,7.4,0.84,22.77777778
8/2/2019 17:00,RVB,-75900,8.1,6.39,128,7.4,0.84,22.83333333
8/2/2019 17:15,RVB,-73000,8.1,6.19,128,7.4,0.81,22.88888889
8/2/2019 17:30,RVB,-68100,8.1,6.41,128,7.4,1.06,22.94444444
8/2/2019 17:45,RVB,-64700,8.2,9.05,127,7.4,1.15,22.94444444
8/2/2019 18:00,RVB,-57800,8.1,5.43,127,7.4,1.08,23
8/2/2019 18:15,RVB,-49400,8.1,8.98,127,7.4,1.04,23.05555556
8/2/2019 18:30,RVB,-36000,8.1,4.83,127,7.4,0.79,23.05555556
8/2/2019 18:45,RVB,-23600,8.1,4.69,127,7.5,0.83,23.05555556
8/2/2019 19:00,RVB,-9580,8.1,4.64,127,7.4,0.76,23.05555556
8/2/2019 19:15,RVB,6630,8.1,4.36,127,7.4,0.95,23.05555556
8/2/2019 19:30,RVB,27600,8.2,4.05,127,7.4,0.92,23.05555556
8/2/2019 19:45,RVB,45300,8.2,4.42,127,7.4,0.82,23.05555556
8/2/2019 20:00,RVB,61200,8.2,4.19,127,7.4,0.79,23
8/2/2019 20:15,RVB,73200,8.2,4.58,127,7.4,0.72,22.94444444
8/2/2019 20:30,RVB,80300,8.2,4.91,129,7.4,0.8,23.05555556
8/2/2019 20:45,RVB,86800,8.2,5.04,131,7.4,0.78,23.16666667
8/2/2019 21:00,RVB,88400,8.2,5.05,130,7.4,0.68,23.11111111
8/2/2019 21:15,RVB,90500,8.2,5.97,130,7.4,0.77,23.05555556
8/2/2019 21:30,RVB,89200,8.2,5.55,129,7.4,0.67,23
8/2/2019 21:45,RVB,87600,8.1,4.98,129,7.4,0.75,22.94444444
8/2/2019 22:00,RVB,85100,8.1,5.83,129,7.3,0.79,22.94444444
8/2/2019 22:15,RVB,82200,8.1,5.77,130,7.3,0.84,22.88888889
8/2/2019 22:30,RVB,77300,8.1,5.78,130,7.3,0.74,22.83333333
8/2/2019 22:45,RVB,73300,8,5.75,131,7.3,0.72,22.77777778
8/2/2019 23:00,RVB,66600,8,5.71,131,7.3,0.78,22.77777778
8/2/2019 23:15,RVB,59200,8,5.16,131,7.3,0.63,22.77777778
8/2/2019 23:30,RVB,49500,8,5.41,131,7.3,0.62,22.72222222
8/2/2019 23:45,RVB,37900,7.9,5.21,131,7.3,0.54,22.72222222
8/3/2019 0:00,RVB,23100,7.9,5.14,131,7.3,0.46,22.72222222
8/3/2019 0:15,RVB,8790,7.9,4.84,131,7.3,0.49,22.72222222
8/3/2019 0:30,RVB,-10300,7.9,5.09,131,7.3,0.58,22.72222222
8/3/2019 0:45,RVB,-29000,8,4.88,131,7.3,0.54,22.66666667
8/3/2019 1:00,RVB,-46100,8,4.59,131,7.3,0.46,22.66666667
8/3/2019 1:15,RVB,-62500,8,4.88,131,7.3,0.57,22.66666667
8/3/2019 1:30,RVB,-76000,8,5.56,131,7.3,0.66,22.66666667
8/3/2019 1:45,RVB,-85800,8,7.12,131,7.3,0.76,22.66666667
8/3/2019 2:00,RVB,-91100,8,7.17,131,7.3,0.69,22.72222222
8/3/2019 2:15,RVB,-96200,8,7.21,131,7.3,0.75,22.72222222
8/3/2019 2:30,RVB,-97900,8,6.43,130,7.3,0.71,22.72222222
8/3/2019 2:45,RVB,-1.00E+05,8,6.76,130,7.3,0.77,22.72222222
8/3/2019 3:00,RVB,-97500,8,7.06,130,7.3,0.8,22.72222222
8/3/2019 3:15,RVB,-94600,8,6.7,130,7.4,0.87,22.77777778
8/3/2019 3:30,RVB,-95200,8,7.05,129,7.4,0.94,22.77777778
8/3/2019 3:45,RVB,-91300,8,7.62,129,7.4,1.16,22.77777778
8/3/2019 4:00,RVB,-87900,8,8.29,129,7.4,1.52,22.77777778
8/3/2019 4:15,RVB,-81800,8,7.52,128,7.4,1.34,22.77777778
8/3/2019 4:30,RVB,-77600,8,7.81,128,7.4,1.43,22.77777778
8/3/2019 4:45,RVB,-71300,8,7.36,128,7.4,1.76,22.77777778
8/3/2019 5:00,RVB,-61700,8,6.91,127,7.4,1.99,22.77777778
8/3/2019 5:15,RVB,-51500,8,7.08,127,7.4,2.09,22.77777778
8/3/2019 5:30,RVB,-38300,8,8.87,128,7.4,1.98,22.77777778
8/3/2019 5:45,RVB,-22500,8,5.57,128,7.4,0.94,22.77777778
8/3/2019 6:00,RVB,-2170,8,6.21,128,7.4,1.5,22.83333333
8/3/2019 6:15,RVB,18600,8,5.5,128,7.4,1.03,22.77777778
8/3/2019 6:30,RVB,40400,8.1,5.94,128,7.5,0.92,22.83333333
8/3/2019 6:45,RVB,61200,8.2,4.9,127,7.5,0.78,22.88888889
8/3/2019 7:00,RVB,77800,8.2,4.94,127,7.5,0.86,22.88888889
8/3/2019 7:15,RVB,89500,8.1,5.84,127,7.4,1,22.83333333
8/3/2019 7:30,RVB,99000,8.1,5.62,128,7.4,0.99,22.83333333
8/3/2019 7:45,RVB,104000,8.2,14.49,128,7.4,3.13,22.83333333
8/3/2019 8:00,RVB,106000,8,7.27,129,7.4,0.9,22.77777778
8/3/2019 8:15,RVB,108000,8,6.99,129,7.4,0.82,22.77777778
8/3/2019 8:30,RVB,106000,8,6.83,129,7.4,0.73,22.77777778
8/3/2019 8:45,RVB,106000,8,6.54,130,7.4,0.84,22.77777778
8/3/2019 9:00,RVB,103000,8,7.09,130,7.4,0.62,22.77777778
8/3/2019 9:15,RVB,102000,8,7.19,130,7.4,0.75,22.77777778
8/3/2019 9:30,RVB,101000,8,7.11,130,7.4,0.62,22.77777778
8/3/2019 9:45,RVB,99700,8,8.08,131,7.4,0.63,22.77777778
8/3/2019 10:00,RVB,97000,8,6.81,131,7.4,0.61,22.77777778
8/3/2019 10:15,RVB,95900,8,6.78,131,7.4,0.69,22.77777778
8/3/2019 10:30,RVB,93400,8,7.33,131,7.4,0.57,22.77777778
8/3/2019 10:45,RVB,92800,8,6.53,132,7.3,0.54,22.77777778
8/3/2019 11:00,RVB,90500,7.9,6.39,132,7.3,0.42,22.77777778
8/3/2019 11:15,RVB,90700,8,6.84,133,7.3,0.69,22.72222222
8/3/2019 11:30,RVB,87200,8,7.51,133,7.3,0.65,22.72222222
8/3/2019 11:45,RVB,84800,8,6.5,133,7.4,0.61,22.77777778
8/3/2019 12:00,RVB,83000,7.9,6.33,134,7.4,0.5,22.77777778
8/3/2019 12:15,RVB,79100,8,6.35,134,7.4,0.59,22.77777778
8/3/2019 12:30,RVB,75000,7.9,5.95,135,7.4,0.53,22.77777778
8/3/2019 12:45,RVB,70900,7.9,4.65,135,7.4,0.51,22.77777778
8/3/2019 13:00,RVB,63000,7.9,5.75,135,7.4,0.52,22.77777778
8/3/2019 13:15,RVB,53100,7.8,4.47,136,7.4,0.41,22.77777778
8/3/2019 13:30,RVB,40300,7.8,7.37,136,7.4,0.65,22.77777778
8/3/2019 13:45,RVB,23700,7.9,5.72,137,7.4,0.39,22.83333333
8/3/2019 14:00,RVB,2900,8.1,5.2,136,7.4,0.56,23
8/3/2019 14:15,RVB,-18400,8,5.12,136,7.4,0.54,23
8/3/2019 14:30,RVB,-38100,7.9,4.95,136,7.4,0.51,22.94444444
8/3/2019 14:45,RVB,-55900,8,5.65,136,7.4,0.57,22.94444444
8/3/2019 15:00,RVB,-69700,7.9,5.54,136,7.3,0.56,22.88888889
8/3/2019 15:15,RVB,-79200,7.9,6.58,136,7.3,0.47,22.83333333
8/3/2019 15:30,RVB,-86100,7.9,5.48,136,7.3,0.53,22.77777778
8/3/2019 15:45,RVB,-88700,7.9,5.95,136,7.3,0.57,22.83333333
8/3/2019 16:00,RVB,-90500,7.9,5.7,136,7.3,0.5,22.83333333
8/3/2019 16:15,RVB,-91800,7.9,5.65,136,7.3,0.53,22.83333333
8/3/2019 16:30,RVB,-89200,7.8,6.41,135,7.3,0.61,22.83333333
8/3/2019 16:45,RVB,-85500,7.9,5.97,135,7.3,0.53,22.83333333
8/3/2019 17:00,RVB,-84200,7.9,6.73,134,7.3,0.66,22.88888889
8/3/2019 17:15,RVB,-80800,7.9,6.94,134,7.3,0.78,22.88888889
8/3/2019 17:30,RVB,-79900,7.9,6.86,134,7.3,0.81,22.94444444
8/3/2019 17:45,RVB,-77500,7.9,6.43,133,7.4,0.83,23
8/3/2019 18:00,RVB,-74500,7.9,6.33,133,7.3,0.92,23
8/3/2019 18:15,RVB,-71600,8,5.97,133,7.4,1.13,23.05555556
8/3/2019 18:30,RVB,-67000,8,5.82,132,7.4,1.03,23.05555556
8/3/2019 18:45,RVB,-58800,8,6.01,132,7.4,1.02,23.11111111
8/3/2019 19:00,RVB,-49500,7.9,5.17,132,7.4,1.18,23.11111111
8/3/2019 19:15,RVB,-41400,7.9,5.54,132,7.4,0.92,23.11111111
8/3/2019 19:30,RVB,-24600,7.8,5.05,132,7.4,0.87,23.11111111
8/3/2019 19:45,RVB,-7470,7.9,5.01,132,7.4,0.97,23.11111111
8/3/2019 20:00,RVB,9970,7.9,5.29,132,7.4,0.85,23.11111111
8/3/2019 20:15,RVB,28600,8,4.82,132,7.4,0.81,23.11111111
8/3/2019 20:30,RVB,44700,8,5.29,132,7.4,1.1,23.11111111
8/3/2019 20:45,RVB,60500,8,4.65,132,7.3,1.16,23.05555556
8/3/2019 21:00,RVB,73600,8,4.63,132,7.4,0.86,23.05555556
8/3/2019 21:15,RVB,83200,8.1,5.15,145,7.4,0.72,23.27777778
8/3/2019 21:30,RVB,88500,8.1,4.87,146,7.4,0.74,23.33333333
8/3/2019 21:45,RVB,88600,8,4.6,142,7.4,0.8,23.27777778
8/3/2019 22:00,RVB,90300,8,5.53,138,7.4,0.73,23.22222222
8/3/2019 22:15,RVB,89800,8,4.86,135,7.3,0.73,23.11111111
8/3/2019 22:30,RVB,88100,7.9,5.14,135,7.3,0.65,23.11111111
8/3/2019 22:45,RVB,85700,7.9,5.13,134,7.3,0.78,23.05555556
8/3/2019 23:00,RVB,82800,7.9,5.37,135,7.3,0.8,23.05555556
8/3/2019 23:15,RVB,77600,7.8,5.88,135,7.3,0.74,23
8/3/2019 23:30,RVB,73500,7.9,5.75,135,7.3,0.7,22.94444444
8/3/2019 23:45,RVB,70000,7.8,5.11,135,7.3,0.77,22.94444444
8/4/2019 0:00,RVB,65000,7.8,5.59,135,7.3,0.73,22.94444444
8/4/2019 0:15,RVB,57900,7.8,6.88,135,7.3,0.73,22.88888889
8/4/2019 0:30,RVB,49900,7.8,5.23,135,7.3,0.73,22.88888889
8/4/2019 0:45,RVB,39000,7.8,5.04,135,7.3,0.68,22.88888889
8/4/2019 1:00,RVB,27000,7.8,5.33,135,7.3,0.6,22.88888889
8/4/2019 1:15,RVB,12400,7.7,5.06,135,7.2,0.65,22.88888889
8/4/2019 1:30,RVB,-4570,7.8,5.2,135,7.2,0.57,22.83333333
8/4/2019 1:45,RVB,-21100,,,,,,
8/4/2019 2:00,RVB,-39100,7.8,3.97,135,7.2,0.53,22.83333333
8/4/2019 2:15,RVB,-55100,7.8,4.48,135,7.2,0.61,22.83333333
8/4/2019 2:30,RVB,-66700,7.8,5.54,135,7.3,0.68,22.83333333
8/4/2019 2:45,RVB,-76200,7.8,6.32,135,7.3,0.68,22.83333333
8/4/2019 3:00,RVB,-82900,7.8,5.35,134,7.3,0.71,22.83333333
8/4/2019 3:15,RVB,-87000,7.8,5.68,134,7.3,0.74,22.83333333
8/4/2019 3:30,RVB,-90000,7.8,5.87,134,7.3,0.81,22.88888889
8/4/2019 3:45,RVB,-90900,7.8,4.76,134,7.3,0.83,22.88888889
8/4/2019 4:00,RVB,-94400,7.8,5.34,135,7.3,0.78,22.88888889
8/4/2019 4:15,RVB,-90800,7.8,6.36,135,7.3,0.83,22.88888889
8/4/2019 4:30,RVB,-85800,7.8,5.57,135,7.3,0.91,22.88888889
8/4/2019 4:45,RVB,-83200,7.8,5.65,135,7.3,1.06,22.88888889
8/4/2019 5:00,RVB,-81000,7.8,5.88,135,7.3,1.25,22.88888889
8/4/2019 5:15,RVB,-76200,7.9,6.81,136,7.3,1.24,22.88888889
8/4/2019 5:30,RVB,-68700,7.8,7.38,136,7.3,1.43,22.88888889
8/4/2019 5:45,RVB,-60800,7.8,7.3,136,7.3,1.7,22.88888889
8/4/2019 6:00,RVB,-54000,7.8,7.4,136,7.4,1.46,22.88888889
8/4/2019 6:15,RVB,-42900,7.8,5.64,136,7.3,1.57,22.88888889
8/4/2019 6:30,RVB,-28000,7.8,5.89,135,7.3,1.45,22.88888889
8/4/2019 6:45,RVB,-10900,7.7,5.37,135,7.3,0.85,22.88888889
8/4/2019 7:00,RVB,9080,7.8,5.78,135,7.3,1.17,22.88888889
8/4/2019 7:15,RVB,29000,7.9,8.13,135,7.3,1.41,22.88888889
8/4/2019 7:30,RVB,50300,8,5.7,134,7.4,1.05,22.94444444
8/4/2019 7:45,RVB,67900,8,5.18,135,7.3,0.91,22.94444444
8/4/2019 8:00,RVB,82800,7.9,5.81,136,7.3,0.92,22.94444444
8/4/2019 8:15,RVB,90800,7.9,6.68,136,7.4,0.91,22.94444444
8/4/2019 8:30,RVB,95900,7.9,7.33,136,7.4,0.99,22.94444444
8/4/2019 8:45,RVB,1.00E+05,7.9,5.73,135,7.3,0.69,22.94444444
8/4/2019 9:00,RVB,101000,7.8,5.84,134,7.3,0.66,22.94444444
8/4/2019 9:15,RVB,101000,7.8,6.79,134,7.3,0.68,22.94444444
8/4/2019 9:30,RVB,1.00E+05,7.8,6.27,134,7.3,0.66,22.94444444
8/4/2019 9:45,RVB,98800,7.9,6.79,135,7.3,0.71,22.94444444
8/4/2019 10:00,RVB,96900,7.9,7.02,134,7.3,0.68,22.94444444
8/4/2019 10:15,RVB,96400,7.9,15.38,134,7.3,1.89,22.94444444
8/4/2019 10:30,RVB,95100,7.9,7.33,134,7.3,0.56,22.94444444
8/4/2019 10:45,RVB,92600,7.9,7.68,134,7.3,0.59,22.94444444
8/4/2019 11:00,RVB,91500,7.9,7.95,134,7.3,0.74,22.94444444
8/4/2019 11:15,RVB,89300,7.8,6.78,134,7.3,0.56,22.94444444
8/4/2019 11:30,RVB,87400,7.9,7.06,134,7.3,0.58,22.94444444
8/4/2019 11:45,RVB,85300,7.9,7.53,134,7.3,0.59,22.94444444
