Date,Time,StationCode,Depth,VolumeReceived,VolumeAnalyzed,PercentOfSampleCounted,FieldOfView,Slide_ChamberArea,AreaCounted,NumberOf FieldsCounted,Factor,BSA_TaxonID,Taxon,Diatom/SoftBody,Genus,Species,Synonym,UnitAbundance,NumberOfCellsPerUnit,Colony_Filament_IndividualGroupCode,Comments,Shape,Biovolume1,Biovolume2,Biovolume3,Biovolume4,Biovolume5,Biovolume6,Biovolume7,Biovolume8,Biovolume9,Biovolume10,,orgs/ml,cells/ml,biovol/ml
11/12/2019,11:05,LIS,0,63,1,0.015873016,0.0683,314.159,0.5464,8,574.9615666,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,NA,7,7,i,NA,cylinder,197.4363651,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4024.730966,28173.11676,5562397.767
11/12/2019,11:05,LIS,0,63,1,0.015873016,0.0683,314.159,0.5464,8,574.9615666,559,Navicula capitatoradiata,Diatom,Navicula,capitatoradiata,NA,1,1,i,NA,elliptic prism,1083.810851,NA,NA,NA,NA,NA,NA,NA,NA,NA,,574.9615666,574.9615666,623149.5848
11/12/2019,11:05,LIS,0,63,1,0.015873016,0.0683,314.159,0.5464,8,574.9615666,749,Nitzschia sp.,Diatom,Nitzschia,sp.,NA,2,2,i,NA,prism on parallelogram,153.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1149.923133,2299.846266,353822.1487
11/12/2019,11:05,LIS,0,63,1,0.015873016,0.0683,314.159,0.5464,8,574.9615666,895,Skeletonema sp.,Diatom,Skeletonema,sp.,NA,2,2,i,NA,cylinder + 2 half spheres,79.56547914,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1149.923133,2299.846266,182988.3701
11/12/2019,11:05,LIS,0,63,1,0.015873016,0.0683,314.159,0.5464,8,574.9615666,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,2,2,i,NA,sphere,11.49403061,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1149.923133,2299.846266,26434.50338
11/12/2019,11:05,LIS,0,63,1,0.015873016,0.0683,314.159,0.5464,8,574.9615666,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,416,848,c,NA,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,239184.0117,202828041.9,36509047.55
10/29/2019,10:20,STTD,0,61,1,0.016393443,0.0683,314.159,0.5464,8,574.9615666,559,Navicula capitatoradiata,Diatom,Navicula,capitatoradiata,NA,1,1,i,High sediment.,elliptic prism,904.8030527,NA,NA,NA,NA,NA,NA,NA,NA,NA,,574.9615666,574.9615666,520226.9806
10/29/2019,10:20,STTD,0,61,1,0.016393443,0.0683,314.159,0.5464,8,574.9615666,749,Nitzschia sp.,Diatom,Nitzschia,sp.,NA,1,1,i,High sediment.,prism on parallelogram,144.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,574.9615666,574.9615666,82796.76544
10/29/2019,10:20,STTD,0,61,1,0.016393443,0.0683,314.159,0.5464,8,574.9615666,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,427,898,c,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,245508.5889,220466712.9,39684008.32
10/29/2019,13:16,LIS,0,62,1,0.016129032,0.0683,314.159,0.5464,8,574.9615666,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,NA,2,2,i,High sediment.,cylinder,604.6743937,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1149.923133,2299.846266,1390658.147
10/29/2019,13:16,LIS,0,62,1,0.016129032,0.0683,314.159,0.5464,8,574.9615666,397,Fragilaria sp.,Diatom,Fragilaria,sp.,NA,1,1,i,Fragment. High sediment.,elliptic prism,1323.646115,NA,NA,NA,NA,NA,NA,NA,NA,NA,,574.9615666,574.9615666,761045.6439
10/29/2019,13:16,LIS,0,62,1,0.016129032,0.0683,314.159,0.5464,8,574.9615666,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,1,1,i,High sediment.,sphere,11.49403061,NA,NA,NA,NA,NA,NA,NA,NA,NA,,574.9615666,574.9615666,6608.625846
10/29/2019,13:16,LIS,0,62,1,0.016129032,0.0683,314.159,0.5464,8,574.9615666,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,NA,1,1,i,High sediment.,cone + half sphere,339.6451489,NA,NA,NA,NA,NA,NA,NA,NA,NA,,574.9615666,574.9615666,195282.9069
10/29/2019,13:16,LIS,0,62,1,0.016129032,0.0683,314.159,0.5464,8,574.9615666,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,421,851,c,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,242058.8195,205992055.4,37078569.98
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,NA,2,2,i,Cannot meet tally in 50 fields.,elliptic prism,106.4457086,NA,NA,NA,NA,NA,NA,NA,NA,NA,,183.9877013,367.9754026,39169.40248
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,NA,2,2,i,Cannot meet tally in 50 fields.,cylinder,1234.409251,NA,NA,NA,NA,NA,NA,NA,NA,NA,,183.9877013,367.9754026,454232.2412
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,397,Fragilaria sp.,Diatom,Fragilaria,sp.,NA,1,1,i,Cannot meet tally in 50 fields.,elliptic prism,502.4533382,NA,NA,NA,NA,NA,NA,NA,NA,NA,,91.99385066,91.99385066,46222.61736
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,464,Gomphonema sp.,Diatom,Gomphonema,sp.,NA,1,1,i,Cannot meet tally in 50 fields.,gomphonemoid,1372.599803,NA,NA,NA,NA,NA,NA,NA,NA,NA,,91.99385066,91.99385066,126270.7413
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,693,Nitzschia dissipata,Diatom,Nitzschia,dissipata,NA,1,1,i,Cannot meet tally in 50 fields.,prism on parallelogram,691.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,,91.99385066,91.99385066,63628.09877
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,750,Nitzschia spp.,Diatom,Nitzschia,spp.,NA,3,3,i,Cannot meet tally in 50 fields.,prism on parallelogram,378.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,,275.981552,827.9446559,313584.0384
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,921,cf. Staurosira sp.,Diatom,Staurosira,sp.,NA,1,1,i,Cannot meet tally in 50 fields.,elliptic prism,40.0238566,NA,NA,NA,NA,NA,NA,NA,NA,NA,,91.99385066,91.99385066,3681.948687
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,NA,1,1,i,Cannot meet tally in 50 fields.,sphere,1150.345538,NA,NA,NA,NA,NA,NA,NA,NA,NA,,91.99385066,91.99385066,105824.7156
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,3,3,i,Cannot meet tally in 50 fields.,sphere,8.181223958,NA,NA,NA,NA,NA,NA,NA,NA,NA,,275.981552,827.9446559,6773.600655
10/28/2019,9:08,SHR,0,60,1,0.016666667,0.0683,314.159,3.415,50,91.99385066,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,235,481,c,Cannot meet tally in 50 fields.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,21618.55491,10398524.91,1871734.484
10/16/2019,11:18,BL5,3,59,1,0.016949153,0.0697,314.159,1.7425,25,180.292109,190,Cyclotella sp.,Diatom,Cyclotella,sp.,NA,1,1,i,NA,cylinder,197.8384887,NA,NA,NA,NA,NA,NA,NA,NA,NA,,180.292109,180.292109,35668.71837
10/16/2019,11:18,BL5,3,59,1,0.016949153,0.0697,314.159,1.7425,25,180.292109,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,1,1,i,NA,sphere,7.23822336,NA,NA,NA,NA,NA,NA,NA,NA,NA,,180.292109,180.292109,1304.994555
10/16/2019,11:18,BL5,3,59,1,0.016949153,0.0697,314.159,1.7425,25,180.292109,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,404,856,c,NA,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,72838.01204,62349338.3,11222880.89
10/16/2019,12:18,STTD-Dup,3,64,1,0.015625,0.0683,314.159,0.7513,11,418.1538666,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,1,1,i,NA,sphere,11.49403061,NA,NA,NA,NA,NA,NA,NA,NA,NA,,418.1538666,418.1538666,4806.273342
10/16/2019,12:18,STTD-Dup,3,64,1,0.015625,0.0683,314.159,0.7513,11,418.1538666,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,NA,1,1,i,NA,cone + half sphere,172.0334684,NA,NA,NA,NA,NA,NA,NA,NA,NA,,418.1538666,418.1538666,71936.46
10/16/2019,12:18,STTD-Dup,3,64,1,0.015625,0.0683,314.159,0.7513,11,418.1538666,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,456,939,c,NA,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,190678.1632,179046795.2,32228423.14
10/16/2019,10:40,LIB,3,60,1,0.016666667,0.0697,314.159,0.8364,12,375.6085605,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,1,1,i,NA,elliptic prism,658.0280166,NA,NA,NA,NA,NA,NA,NA,NA,NA,,375.6085605,375.6085605,247160.9561
10/16/2019,10:40,LIB,3,60,1,0.016666667,0.0697,314.159,0.8364,12,375.6085605,895,Skeletonema sp.,Diatom,Skeletonema,sp.,NA,2,2,i,NA,cylinder + 2 half spheres,51.10738612,NA,NA,NA,NA,NA,NA,NA,NA,NA,,751.217121,1502.434242,76785.48693
10/16/2019,10:40,LIB,3,60,1,0.016666667,0.0697,314.159,0.8364,12,375.6085605,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,4,4,i,NA,sphere,5.575275053,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1502.434242,6009.736968,33505.93659
10/16/2019,10:40,LIB,3,60,1,0.016666667,0.0697,314.159,0.8364,12,375.6085605,1324,Ochromonas sp.,Soft Body,Ochromonas,sp.,NA,1,1,i,NA,cone + half sphere,83.74222304,NA,NA,NA,NA,NA,NA,NA,NA,NA,,375.6085605,375.6085605,31454.29585
10/16/2019,10:40,LIB,3,60,1,0.016666667,0.0697,314.159,0.8364,12,375.6085605,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,2,2,i,NA,cone + half sphere,232.6559452,NA,NA,NA,NA,NA,NA,NA,NA,NA,,751.217121,1502.434242,349550.2587
10/16/2019,10:40,LIB,3,60,1,0.016666667,0.0697,314.159,0.8364,12,375.6085605,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,403,874,c,NA,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,151370.2499,132297598.4,23813567.71
10/16/2019,9:08,RVB,3,62,1,0.016129032,0.0697,314.159,0.9061,13,346.7155943,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,NA,1,1,i,NA,prism on parallelogram,21.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,,346.7155943,346.7155943,7555.972947
10/16/2019,9:08,RVB,3,62,1,0.016129032,0.0697,314.159,0.9061,13,346.7155943,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,5,5,i,NA,sphere,26.52182638,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1733.577972,8667.889858,229888.2699
10/16/2019,9:08,RVB,3,62,1,0.016129032,0.0697,314.159,0.9061,13,346.7155943,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,2,2,i,NA,cone + half sphere,159.1309583,NA,NA,NA,NA,NA,NA,NA,NA,NA,,693.4311886,1386.862377,220692.7391
10/16/2019,9:08,RVB,3,62,1,0.016129032,0.0697,314.159,0.9061,13,346.7155943,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,398,856,c,NA,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,137992.8065,118121842.4,21261931.63
10/16/2019,12:03,STTD,3,61,1,0.016393443,0.0697,314.159,0.5576,8,563.4128407,627,Navicula salinarum,Diatom,Navicula,salinarum,NA,1,1,i,NA,elliptic prism,716.0893122,NA,NA,NA,NA,NA,NA,NA,NA,NA,,563.4128407,563.4128407,403453.9136
10/16/2019,12:03,STTD,3,61,1,0.016393443,0.0697,314.159,0.5576,8,563.4128407,1677,Nitzschia incerta,Diatom,Nitzschia,incerta,NA,1,1,i,NA,prism on parallelogram,788.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,,563.4128407,563.4128407,443983.9672
10/16/2019,12:03,STTD,3,61,1,0.016393443,0.0697,314.159,0.5576,8,563.4128407,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,1,1,i,NA,sphere,3.591360968,NA,NA,NA,NA,NA,NA,NA,NA,NA,,563.4128407,563.4128407,2023.418885
10/16/2019,12:03,STTD,3,61,1,0.016393443,0.0697,314.159,0.5576,8,563.4128407,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,423,874,c,NA,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,238323.6316,208294854,37493073.73
10/16/2019,10:03,RYI,3,59,1,0.016949153,0.0697,314.159,1.8819,27,166.937138,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,1,1,i,NA,elliptic prism,538.6797979,NA,NA,NA,NA,NA,NA,NA,NA,NA,,166.937138,166.937138,89925.66376
10/16/2019,10:03,RYI,3,59,1,0.016949153,0.0697,314.159,1.8819,27,166.937138,373,Fragilaria brevistriata,Diatom,Fragilaria,brevistriata,NA,8,8,i,NA,elliptic prism,179.5599326,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1335.497104,10683.97683,1918414.16
10/16/2019,10:03,RYI,3,59,1,0.016949153,0.0697,314.159,1.8819,27,166.937138,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,2,2,i,NA,sphere,3.591360968,NA,NA,NA,NA,NA,NA,NA,NA,NA,,333.874276,667.748552,2398.126086
10/16/2019,10:03,RYI,3,59,1,0.016949153,0.0697,314.159,1.8819,27,166.937138,1349,Cryptomonas ovata,Soft Body,Cryptomonas,ovata,NA,1,1,i,NA,prolate spheroid,1538.122464,NA,NA,NA,NA,NA,NA,NA,NA,NA,,166.937138,166.937138,256769.762
10/16/2019,10:03,RYI,3,59,1,0.016949153,0.0697,314.159,1.8819,27,166.937138,1891,Cyanodictyon sp.,Soft Body,Cyanodictyon,sp.,NA,1,10,i,NA,prolate spheroid,0.551349045,NA,NA,NA,NA,NA,NA,NA,NA,NA,,166.937138,1669.37138,920.4063161
10/16/2019,10:03,RYI,3,59,1,0.016949153,0.0697,314.159,1.8819,27,166.937138,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,384,792,c,NA,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,64103.86099,50770257.91,9138646.423
10/15/2019,13:16,LIS-DUP,3,61,1,0.016393443,0.0683,314.159,0.5464,8,574.9615666,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,NA,4,4,i,Moderate sediment and detritus.,cylinder,91.13124272,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2299.846266,9199.385066,838351.3933
10/15/2019,13:16,LIS-DUP,3,61,1,0.016393443,0.0683,314.159,0.5464,8,574.9615666,895,Skeletonema sp.,Diatom,Skeletonema,sp.,NA,1,1,i,Moderate sediment and detritus.,cylinder + 2 half spheres,88.16715256,NA,NA,NA,NA,NA,NA,NA,NA,NA,,574.9615666,574.9615666,50692.72416
10/15/2019,13:16,LIS-DUP,3,61,1,0.016393443,0.0683,314.159,0.5464,8,574.9615666,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,1,1,i,Moderate sediment and detritus.,sphere,3.591360968,NA,NA,NA,NA,NA,NA,NA,NA,NA,,574.9615666,574.9615666,2064.894528
10/15/2019,13:16,LIS-DUP,3,61,1,0.016393443,0.0683,314.159,0.5464,8,574.9615666,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,NA,1,1,i,Moderate sediment and detritus.,cone + half sphere,76.35320336,NA,NA,NA,NA,NA,NA,NA,NA,NA,,574.9615666,574.9615666,43900.15742
10/15/2019,13:16,LIS-DUP,3,61,1,0.016393443,0.0683,314.159,0.5464,8,574.9615666,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,415,864,c,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,238609.0501,206158219.3,37108479.48
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,88,Aulacoseira alpigena,Diatom,Aulacoseira,alpigena,NA,2,2,i,NA,cylinder,93.06646216,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1802.92109,3605.842181,335582.9749
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,1,1,i,NA,elliptic prism,2041.920403,NA,NA,NA,NA,NA,NA,NA,NA,NA,,901.4605452,901.4605452,1840710.68
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,190,Cyclotella sp.,Diatom,Cyclotella,sp.,NA,19,19,i,NA,cylinder,631.8106627,NA,NA,NA,NA,NA,NA,NA,NA,NA,,17127.75036,325427.2568,205608410.8
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,664,Nitzschia acicularis,Diatom,Nitzschia,acicularis,NA,1,1,i,NA,prism on parallelogram,206.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,,901.4605452,901.4605452,186555.4569
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,895,Skeletonema sp.,Diatom,Skeletonema,sp.,NA,2,2,i,NA,cylinder + 2 half spheres,120.5325981,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1802.92109,3605.842181,434621.5264
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,NA,1,1,i,NA,sphere,2438.639864,NA,NA,NA,NA,NA,NA,NA,NA,NA,,901.4605452,901.4605452,2198337.621
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,6,6,i,NA,sphere,3.591360968,NA,NA,NA,NA,NA,NA,NA,NA,NA,,5408.763271,32452.57963,116548.9278
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,1692,Kephyrion sp.,Soft Body,Kephyrion,sp.,NA,2,2,i,NA,prolate spheroid,50.96496737,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1802.92109,3605.842181,183771.6291
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,NA,1,1,i,NA,cone + half sphere,76.35320336,NA,NA,NA,NA,NA,NA,NA,NA,NA,,901.4605452,901.4605452,68829.40033
10/15/2019,14:24,I80,3,64,1,0.015625,0.0697,314.159,0.3485,5,901.4605452,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,425,906,c,NA,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,383120.7317,347107382.9,62479328.93
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,1,1,i,High sediment and detritus.,elliptic prism,302.6859133,NA,NA,NA,NA,NA,NA,NA,NA,NA,,766.6154222,766.6154222,232043.6892
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,NA,3,3,i,High sediment and detritus.,cylinder,197.9594399,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2299.846267,6899.5388,1365828.836
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,749,Nitzschia sp.,Diatom,Nitzschia,sp.,NA,1,1,i,High sediment and detritus.,prism on parallelogram,134.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,,766.6154222,766.6154222,102850.6583
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,1020,Carteria sp.,Soft Body,Carteria,sp.,NA,3,3,i,High sediment and detritus.,sphere,403.5738874,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2299.846267,6899.5388,2784473.695
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,NA,1,1,i,High sediment and detritus.,sphere,604.6743937,NA,NA,NA,NA,NA,NA,NA,NA,NA,,766.6154222,766.6154222,463552.7156
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,3,3,i,High sediment and detritus.,sphere,8.181223958,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2299.846267,6899.5388,56446.67213
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,NA,1,1,i,High sediment and detritus.,prolate spheroid,62.04430811,NA,NA,NA,NA,NA,NA,NA,NA,NA,,766.6154222,766.6154222,47564.12346
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,1313,Dinobryon sp.,Soft Body,Dinobryon,sp.,NA,3,3,i,High sediment and detritus.,prolate spheroid,229.4491672,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2299.846267,6899.5388,1583093.432
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,1327,Pseudokephyrion pseudospirale,Soft Body,Pseudokephyrion,pseudospirale,NA,1,1,i,High sediment and detritus.,ellipsoid,32.97308144,NA,NA,NA,NA,NA,NA,NA,NA,NA,,766.6154222,766.6154222,25277.67275
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,1,1,i,High sediment and detritus.,cone + half sphere,225.3232124,NA,NA,NA,NA,NA,NA,NA,NA,NA,,766.6154222,766.6154222,172736.2496
10/15/2019,10:49,RCS,3,65,1,0.015384615,0.0683,314.159,0.4098,6,766.6154222,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,412,841,c,High sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,315845.5539,265626110.9,47812699.96
