MethodCode,SampleDate,SampleTime,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,9/19/2018,13:31,STTD,1,62.0,1,1.61%,0.0683,314.159,0.3415,5,919.94,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,9.3,,,i,BSA.YOLO-07,CT,High sediment and detritus.,cylinder,265.07,,,,,,,,,,Length,6.0,4.6,7.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.5,5.6,9.3,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,13:31,STTD,1,62.0,1,1.61%,0.0683,314.159,0.3415,5,919.94,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,2.8,,,i,BSA.YOLO-07,CT,High sediment and detritus.,sphere,11.49,,,,,,,,,,Length,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,13:31,STTD,1,62.0,1,1.61%,0.0683,314.159,0.3415,5,919.94,1140,Monoraphidium tortile,Soft Body,Monoraphidium,tortile,,1,1,14.8,,,i,BSA.YOLO-07,CT,High sediment and detritus.,2 cones,6.28,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,13:31,STTD,1,62.0,1,1.61%,0.0683,314.159,0.3415,5,919.94,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,399,798,0.8,0.8,0.8,c,BSA.YOLO-07,CT,High sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,9/19/2018,9:40,RVB,1,62.0,2,3.23%,0.0683,314.159,1.0928,16,143.74,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,7.4,,,i,BSA.YOLO-08,CT,Low sediment and detritus. Many broken diatoms.,cylinder,103.45,,,,,,,,,,Length,4.2,2.8,5.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,3.7,7.4,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:40,RVB,1,62.0,2,3.23%,0.0683,314.159,1.0928,16,143.74,895,cf. Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,5.6,,,i,BSA.YOLO-08,CT,Low sediment and detritus. Many broken diatoms.,cylinder + 2 half spheres,60.21,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:40,RVB,1,62.0,2,3.23%,0.0683,314.159,1.0928,16,143.74,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,5.6,,,i,BSA.YOLO-08,CT,Low sediment and detritus. Many broken diatoms.,sphere,91.95,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:40,RVB,1,62.0,2,3.23%,0.0683,314.159,1.0928,16,143.74,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,3.7,,,i,BSA.YOLO-08,CT,Low sediment and detritus. Many broken diatoms.,sphere,18.82,,,,,,,,,,Length,3.3,3.7,3.7,2.8,3.7,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:40,RVB,1,62.0,2,3.23%,0.0683,314.159,1.0928,16,143.74,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,7.4,,,i,BSA.YOLO-08,CT,Low sediment and detritus. Many broken diatoms.,2 cones,13.99,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:40,RVB,1,62.0,2,3.23%,0.0683,314.159,1.0928,16,143.74,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,11.1,,,i,BSA.YOLO-08,CT,Low sediment and detritus. Many broken diatoms.,cone + half sphere,430.35,,,,,,,,,,Length,10.2,11.1,9.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:40,RVB,1,62.0,2,3.23%,0.0683,314.159,1.0928,16,143.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,395,794,0.8,0.8,0.8,c,BSA.YOLO-08,CT,Low sediment and detritus. Many broken diatoms.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,9/19/2018,9:14,LIS,1,62.0,1,1.61%,0.0683,314.159,0.5464,8,574.96,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,,,i,BSA.YOLO-09,CT,Moderate sediment and detritus.,cylinder,91.13,,,,,,,,,,Length,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:14,LIS,1,62.0,1,1.61%,0.0683,314.159,0.5464,8,574.96,1860,Skeletonema potamos,Diatom,Skeletonema,potamos,,3,3,11.1,,,i,BSA.YOLO-09,CT,Moderate sediment and detritus.,cylinder + 2 half spheres,112.90,,,,,,,,,,Length,10.5,11.1,11.1,9.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:14,LIS,1,62.0,1,1.61%,0.0683,314.159,0.5464,8,574.96,1010,Actinastrum hantzschii,Soft Body,Actinastrum,hantzschii,,1,6,3.7,,,c,BSA.YOLO-09,CT,Moderate sediment and detritus.,cylinder + 2 cones,2.64,,,,,,,,,,Length,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:14,LIS,1,62.0,1,1.61%,0.0683,314.159,0.5464,8,574.96,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,4,4,2.8,,,i,BSA.YOLO-09,CT,Moderate sediment and detritus.,sphere,11.49,,,,,,,,,,Length,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:14,LIS,1,62.0,1,1.61%,0.0683,314.159,0.5464,8,574.96,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,1,1,4.6,,,i,BSA.YOLO-09,CT,Moderate sediment and detritus.,ellipsoid,32.97,,,,,,,,,,Length,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:14,LIS,1,62.0,1,1.61%,0.0683,314.159,0.5464,8,574.96,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,,4,4,7.4,,,i,BSA.YOLO-09,CT,Moderate sediment and detritus.,2 cones,12.66,,,,,,,,,,Length,6.7,7.4,7.4,6.5,5.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2018,9:14,LIS,1,62.0,1,1.61%,0.0683,314.159,0.5464,8,574.96,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,18.5,,,i,BSA.YOLO-09,CT,Moderate sediment and detritus.,prolate spheroid,1193.48,,,,,,,,,,Length,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
