MethodCode,SampleDate,SampleTime,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,9:30,SDI,1,59.5,2,3.36%,0.0683,314.159,0.4781,7,328.55,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,14,14,3.7,,,i,BSA.YOLO-04,CT,Low sediment and detritus.,sphere,9.20,,,,,,,,,,Length,2.6,2.8,1.9,2.8,1.9,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,9:30,SDI,1,59.5,2,3.36%,0.0683,314.159,0.4781,7,328.55,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,413,844,0.8,0.8,0.8,c,BSA.YOLO-04,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/30/2018,9:30,SDI 3M,3,62.5,2,3.20%,0.0683,314.159,0.683,10,229.98,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,3.7,,,i,BSA.YOLO-05,CT,Low sediment and detritus.,cylinder,30.11,,,,,,,,,,Length,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,9:30,SDI 3M,3,62.5,2,3.20%,0.0683,314.159,0.683,10,229.98,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,22,22,2.8,,,i,BSA.YOLO-05,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,2.8,2.8,2.8,1.9,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,9:30,SDI 3M,3,62.5,2,3.20%,0.0683,314.159,0.683,10,229.98,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,811,0.8,0.8,0.8,c,BSA.YOLO-05,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/30/2018,13:32,STTD,1,60.0,1,1.67%,0.0683,314.159,0.4098,6,766.62,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,5.6,,,i,BSA.YOLO-06,CT,High sediment and moderate detritus.,cylinder,75.58,,,,,,,,,,Length,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.1,4.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,13:32,STTD,1,60.0,1,1.67%,0.0683,314.159,0.4098,6,766.62,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,10,10,2.8,,,i,BSA.YOLO-06,CT,High sediment and moderate detritus.,sphere,7.24,,,,,,,,,,Length,2.4,2.8,2.8,1.9,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,13:32,STTD,1,60.0,1,1.67%,0.0683,314.159,0.4098,6,766.62,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,11.1,,,i,BSA.YOLO-06,CT,High sediment and moderate detritus.,2 cones,20.98,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,13:32,STTD,1,60.0,1,1.67%,0.0683,314.159,0.4098,6,766.62,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,395,820,0.8,0.8,0.8,c,BSA.YOLO-06,CT,High sediment and moderate detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,9/13/2018,12:07,LIB,1,63.5,3,4.72%,0.0683,314.159,0.8196,12,127.77,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,15,15,2.8,,,i,BSA.YOLO-07,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,1.9,2.8,2.8,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,9/13/2018,12:07,LIB,1,63.5,3,4.72%,0.0683,314.159,0.8196,12,127.77,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,396,816,0.8,0.8,0.8,c,BSA.YOLO-07,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,9/13/2018,12:03,I80,1,61.5,1,1.63%,0.0683,314.159,0.4098,6,766.62,1677,Nitzschia incerta,Diatom,Nitzschia,incerta,,1,1,111.1,,,i,BSA.YOLO-08,CT,Moderate sediment and detritus.,prism on parallelogram,945.46,,,,,,,,,,Length,111.1,111.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/13/2018,12:03,I80,1,61.5,1,1.63%,0.0683,314.159,0.4098,6,766.62,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,2.8,,,i,BSA.YOLO-08,CT,Moderate sediment and detritus.,sphere,8.18,,,,,,,,,,Length,2.5,2.8,1.9,2.8,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/13/2018,12:03,I80,1,61.5,1,1.63%,0.0683,314.159,0.4098,6,766.62,1871,Lemmermannia triangularis,Soft Body,Lemmermannia,triangularis,,1,4,2.8,,,c,BSA.YOLO-08,CT,Moderate sediment and detritus.,sphere,11.49,,,,,,,,,,Length,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,
Phyto,9/13/2018,12:03,I80,1,61.5,1,1.63%,0.0683,314.159,0.4098,6,766.62,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,2,1.9,,,c,BSA.YOLO-08,CT,Moderate sediment and detritus.,sphere,3.59,,,,,,,,,,Length,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/13/2018,12:03,I80,1,61.5,1,1.63%,0.0683,314.159,0.4098,6,766.62,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,416,851,0.8,0.8,0.8,c,BSA.YOLO-08,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/30/2018,10:01,RCS,1,61.0,1,1.64%,0.0683,314.159,0.6147,9,511.08,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,44.4,,,i,BSA.YOLO-09,CT,Moderate sediment and detritus.,elliptic prism,4215.98,,,,,,,,,,Length,44.4,44.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,10:01,RCS,1,61.0,1,1.64%,0.0683,314.159,0.6147,9,511.08,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,3.7,,,i,BSA.YOLO-09,CT,Moderate sediment and detritus.,sphere,9.20,,,,,,,,,,Length,2.6,1.9,1.9,2.8,2.8,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,10:01,RCS,1,61.0,1,1.64%,0.0683,314.159,0.6147,9,511.08,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,439,922,0.8,0.8,0.8,c,BSA.YOLO-09,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/30/2018,11:35,RD22,1,62.5,2,3.20%,0.0683,314.159,0.683,10,229.98,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7.4,,,i,BSA.YOLO-10,CT,Moderate sediment and detritus.,cylinder,240.85,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,11:35,RD22,1,62.5,2,3.20%,0.0683,314.159,0.683,10,229.98,1677,Nitzschia incerta,Diatom,Nitzschia,incerta,,1,1,109.3,,,i,BSA.YOLO-10,CT,Moderate sediment and detritus.,prism on parallelogram,930.14,,,,,,,,,,Length,109.3,109.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,11:35,RD22,1,62.5,2,3.20%,0.0683,314.159,0.683,10,229.98,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,6,6,3.7,,,i,BSA.YOLO-10,CT,Moderate sediment and detritus.,sphere,6.37,,,,,,,,,,Length,2.3,3.7,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,11:35,RD22,1,62.5,2,3.20%,0.0683,314.159,0.683,10,229.98,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,7.4,,,i,BSA.YOLO-10,CT,Moderate sediment and detritus.,2 cones,13.99,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,11:35,RD22,1,62.5,2,3.20%,0.0683,314.159,0.683,10,229.98,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,424,876,0.8,0.8,0.8,c,BSA.YOLO-10,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/22/2018,10:10,SDI,1,62.0,2,3.23%,0.0683,314.159,1.1611,17,135.29,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,3.7,,,i,BSA.YOLO-11,CT,Low sediment and detritus.,cylinder,35.48,,,,,,,,,,Length,3.3,3.7,2.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/22/2018,10:10,SDI,1,62.0,2,3.23%,0.0683,314.159,1.1611,17,135.29,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,14,14,2.8,,,i,BSA.YOLO-11,CT,Low sediment and detritus.,sphere,9.20,,,,,,,,,,Length,2.6,2.8,2.8,1.9,2.8,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,8/22/2018,10:10,SDI,1,62.0,2,3.23%,0.0683,314.159,1.1611,17,135.29,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,6.5,,,i,BSA.YOLO-11,CT,Low sediment and detritus.,cone + half sphere,112.82,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/22/2018,10:10,SDI,1,62.0,2,3.23%,0.0683,314.159,1.1611,17,135.29,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,403,834,0.8,0.8,0.8,c,BSA.YOLO-11,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/23/2018,8:55,SHR,0,62.0,2,3.23%,0.0683,314.159,0.9562,14,164.27,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,,,i,BSA.YOLO-12,CT,Low sediment and detritus.,elliptic prism,583.20,,,,,,,,,,Length,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/23/2018,8:55,SHR,0,62.0,2,3.23%,0.0683,314.159,0.9562,14,164.27,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,9.3,,,i,BSA.YOLO-12,CT,Low sediment and detritus.,cylinder,380.40,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/23/2018,8:55,SHR,0,62.0,2,3.23%,0.0683,314.159,0.9562,14,164.27,730,Nitzschia palea,Diatom,Nitzschia,palea,,1,1,22.2,,,i,BSA.YOLO-12,CT,Low sediment and detritus.,prism on parallelogram,151.96,,,,,,,,,,Length,22.2,22.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/23/2018,8:55,SHR,0,62.0,2,3.23%,0.0683,314.159,0.9562,14,164.27,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,9,9,2.8,,,i,BSA.YOLO-12,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,2.8,1.9,1.9,2.8,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,8/23/2018,8:55,SHR,0,62.0,2,3.23%,0.0683,314.159,0.9562,14,164.27,1692,cf. Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,5.6,,,i,BSA.YOLO-12,CT,Low sediment and detritus.,prolate spheroid,62.04,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/23/2018,8:55,SHR,0,62.0,2,3.23%,0.0683,314.159,0.9562,14,164.27,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,406,840,0.8,0.8,0.8,c,BSA.YOLO-12,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/30/2018,13:06,I80,1,61.0,1,1.64%,0.0683,314.159,0.4781,7,657.10,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,6.5,,,i,BSA.YOLO-13,CT,Moderate sediment and high detritus.,cylinder,122.78,,,,,,,,,,Length,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,13:06,I80,1,61.0,1,1.64%,0.0683,314.159,0.4781,7,657.10,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,5.6,,,i,BSA.YOLO-13,CT,Moderate sediment and high detritus.,sphere,62.04,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
