MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,11/29/2017,8:55,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,25,,,i,BSA.YOLO-02,DK,High sediment and low detritus.,elliptic prism,813.67,,,,,,,,,,Length,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/2017,8:55,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,14.8,,,i,BSA.YOLO-02,DK,High sediment and low detritus.,prism on parallelogram,76.66,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/2017,8:55,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,61,61,4.6,,,i,BSA.YOLO-02,DK,High sediment and low detritus.,sphere,22.84,,,,,,,,,,Length,3.5,4.6,3.7,2.8,3.7,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/2017,8:55,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,9.3,,,i,BSA.YOLO-02,DK,High sediment and low detritus.,2 cones,17.58,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/2017,8:55,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,8,8,8,,,i,BSA.YOLO-02,DK,High sediment and low detritus.,cone + half sphere,200.44,,,,,,,,,,Length,7.8,7.4,8.0,7.4,8.3,8.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.7,5.6,3.7,4.3,5.6,4.3,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/2017,8:55,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,367,734,1,0.9,0.9,c,BSA.YOLO-02,DK,High sediment and low detritus.,sphere,0.27,0.11,0.18,0.27,0.38,0.11,0.11,0.18,0.27,0.18,Length,0.7,0.8,0.6,0.7,0.8,0.9,0.6,0.6,0.7,0.8,0.7,0.9,1.0,0.8,0.8,0.6,0.6,0.7,0.7,0.8,0.9,0.6,0.9,0.7,0.8,0.6
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,1,1,7.4,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,cylinder,1273.05,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,9,9,7.3,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,cylinder,240.24,,,,,,,,,,Length,5.7,5.6,4.6,4.6,4.6,9.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.3,6.5,6.5,7.4,5.6,10.5,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,33.3,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,elliptic prism,1606.36,,,,,,,,,,Length,33.3,33.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1132,Ankistrodesmus arcuatus,Soft Body,Ankistrodesmus,arcuatus,,2,2,22.2,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,2 cones,14.06,,,,,,,,,,Length,22.2,22.2,72.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.1,1.3,0.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.1,1.3,0.9,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,5.6,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,sphere,91.95,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,64,64,3.22,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,sphere,17.48,,,,,,,,,,Length,3.2,2.8,1.9,3.1,3.7,4.6,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1115,cf. Kirchneriella sp.,Soft Body,Kirchneriella,sp.,,1,4,4.55,,,c,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,2 cones,13.44,,,,,,,,,,Length,4.6,5.6,4.6,4.3,3.7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.4,2.8,1.9,2.4,2.4,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,1,1,5.6,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,ellipsoid,41.05,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,5,5,6.6,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,prolate spheroid,120.29,,,,,,,,,,Length,6.6,5.6,6.5,6.1,7.4,7.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.9,5.6,6.1,5.6,6.1,6.1,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,8,8,5.94,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,cone + half sphere,102.35,,,,,,,,,,Length,5.9,7.4,5.6,4.6,5.6,6.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.1,6.8,4.6,3.7,5.0,5.6,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,9.3,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,prolate spheroid,152.71,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,12,12,6.24,,,i,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,cone + half sphere,98.68,,,,,,,,,,Length,6.2,7.4,5.6,7.4,4.3,6.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.4,3.7,3.7,3.7,2.4,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/17,11:30,LIS,60.0,2,3.33%,0.0697,314.159,0.418478994,6,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,337,675,1,0.9,0.9,c,BSA.YOLO-03,DK,High sediment and low detritus. Ciliates observed. ,sphere,0.27,0.11,0.18,0.38,0.27,0.27,0.18,0.18,0.38,0.11,Length,0.7,0.8,0.6,0.7,0.9,0.8,0.8,0.7,0.7,0.9,0.6,1.0,0.6,0.6,0.8,0.7,0.8,0.7,0.6,0.9,0.7,0.8,0.6,0.9,0.8,0.7
Phyto,10/19/17,12:25,LIB,61.5,2,3.25%,0.0697,314.159,0.69746499,10,225.21,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,2,2,13.25,,,i,BSA.YOLO-04,DK,Moderate sediment and low detritus. ,elliptic prism,125.14,,,,,,,,,,Length,13.3,14.8,11.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.1,4.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.3,2.8,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/17,12:25,LIB,61.5,2,3.25%,0.0697,314.159,0.69746499,10,225.21,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,13,,,i,BSA.YOLO-04,DK,Moderate sediment and low detritus. ,cylinder,1061.86,,,,,,,,,,Length,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/17,12:25,LIB,61.5,2,3.25%,0.0697,314.159,0.69746499,10,225.21,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,36,36,3.08,,,i,BSA.YOLO-04,DK,Moderate sediment and low detritus. ,sphere,15.30,,,,,,,,,,Length,3.1,2.8,3.7,3.7,2.4,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/17,12:25,LIB,61.5,2,3.25%,0.0697,314.159,0.69746499,10,225.21,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,10,10,6.22,,,i,BSA.YOLO-04,DK,Moderate sediment and low detritus. ,cone + half sphere,99.26,,,,,,,,,,Length,6.2,7.4,6.1,6.8,6.5,4.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.6,5.0,3.7,3.7,3.1,2.4,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/17,12:25,LIB,61.5,2,3.25%,0.0697,314.159,0.69746499,10,225.21,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,370,746,1,1,0.9,c,BSA.YOLO-04,DK,Moderate sediment and low detritus. ,sphere,0.27,0.27,0.18,0.18,0.52,0.11,0.38,0.11,0.11,0.18,Length,0.7,0.8,0.8,0.7,0.7,1.0,0.6,0.9,0.6,0.6,0.7,0.8,0.7,0.9,0.8,0.6,0.7,1.0,0.8,0.8,0.6,0.9,0.7,0.6,0.6,0.7
Phyto,10/19/17,10:23,LIS,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,7.25,,,i,BSA.YOLO-05,DK,Moderate sediment and detritus. ,cylinder,138.30,,,,,,,,,,Length,3.4,4.3,2.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.3,8.0,6.5,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/17,10:23,LIS,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1007,Ulnaria ulna,Diatom,Ulnaria,ulna,,1,1,14.8,,,i,BSA.YOLO-05,DK,Fragment. Moderate sediment and detritus.,elliptic prism,184.94,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/17,10:23,LIS,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,47,47,3.16,,,i,BSA.YOLO-05,DK,Moderate sediment and detritus. ,sphere,16.52,,,,,,,,,,Length,3.2,3.7,1.9,3.7,2.8,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/17,10:23,LIS,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1115,cf. Kirchneriella sp.,Soft Body,Kirchneriella,sp.,,1,4,5.45,,,i,BSA.YOLO-05,DK,Moderate sediment and detritus. ,2 cones,14.35,,,,,,,,,,Length,5.5,5.6,5.0,5.6,5.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.4,1.9,1.9,2.8,3.1,,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/17,10:23,LIS,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,22,22,7.24,,,i,BSA.YOLO-05,DK,Moderate sediment and detritus. ,cone + half sphere,165.50,,,,,,,,,,Length,7.2,9.3,5.6,8.3,5.6,7.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.8,3.7,3.1,4.3,3.7,4.3,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/17,10:23,LIS,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,332,666,1,0.9,0.9,c,BSA.YOLO-05,DK,Moderate sediment and detritus. ,sphere,0.18,0.27,0.11,0.11,0.38,0.38,0.52,0.18,0.27,0.18,Length,0.8,0.7,0.8,0.6,0.6,0.9,0.9,1.0,0.7,0.8,0.7,0.8,0.6,0.7,0.8,0.9,0.9,0.7,0.6,0.6,0.8,0.7,0.8,0.9,0.8,0.7
Phyto,11/2/2017,11:36,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,9.3,,,i,BSA. YOLO-06,DK,Moderate sediment and detritus.,cylinder,380.40,,,,,,,,,,Length,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/2/2017,11:36,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,5.6,,,i,BSA. YOLO-06,DK,Moderate sediment and detritus.,sphere,137.93,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/2/2017,11:36,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,56,56,3.22,,,i,BSA. YOLO-06,DK,Moderate sediment and detritus.,sphere,17.48,,,,,,,,,,Length,3.2,2.8,3.1,3.7,2.8,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,11/2/2017,11:36,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1191,cf. Pyramimonas sp.,Soft Body,Pyramimonas,sp.,,1,1,11.1,,,i,BSA. YOLO-06,DK,Moderate sediment and detritus.,cone,185.98,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/2/2017,11:36,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,15,15,5.74,,,i,BSA. YOLO-06,DK,Moderate sediment and detritus.,cone + half sphere,79.18,,,,,,,,,,Length,5.7,4.6,5.6,5.0,7.4,6.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.4,3.1,4.3,2.4,3.7,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,11/2/2017,11:36,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,326,654,1,0.9,0.9,c,BSA. YOLO-06,DK,Moderate sediment and detritus.,sphere,0.27,0.18,0.27,0.11,0.11,0.38,0.38,0.52,0.18,0.27,Length,0.7,0.8,0.7,0.8,0.6,0.6,0.9,0.9,1.0,0.7,0.8,0.6,0.8,0.7,0.6,0.7,0.8,0.6,0.6,0.9,0.8,0.7,0.9,0.6,0.7,0.8
Phyto,10/19/2017,10:20,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,15.7,,,i,BSA. YOLO-07,DK,High sediment and low detritus.,elliptic prism,229.60,,,,,,,,,,Length,15.7,15.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/19/2017,10:20,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,708,Nitzschia gracilis,Diatom,Nitzschia,gracilis,,1,1,40.7,,,i,BSA. YOLO-07,DK,High sediment and low detritus.,prism on parallelogram,92.80,,,,,,,,,,Length,40.7,40.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,
