MethodCode,SampleDate,SampleTime,StationCode,Depth (ft),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/17/2018,15:15,LH-SAV-1,3,61.5,2,3.25%,0.0683,314.159,0.8879,13,176.91,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,380,763,0.8,0.8,0.8,c,BSA.YOLO-01,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,9/17/2018,15:15,LH-SAV-1,3,61.5,2,3.25%,0.0683,314.159,0.8879,13,176.91,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,2,2.8,,,c,BSA.YOLO-01,CT,Moderate sediment and detritus.,sphere,11.49,,,,,,,,,,Length,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,15:00,LH-SAV-1,3,61.0,2,3.28%,0.0683,314.159,0.4781,7,328.55,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,,,i,BSA.YOLO-02,CT,Moderate sediment and low detritus. ,elliptic prism,497.97,,,,,,,,,,Length,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,15:00,LH-SAV-1,3,61.0,2,3.28%,0.0683,314.159,0.4781,7,328.55,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,,,i,BSA.YOLO-02,CT,Moderate sediment and low detritus. ,cylinder,91.13,,,,,,,,,,Length,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,15:00,LH-SAV-1,3,61.0,2,3.28%,0.0683,314.159,0.4781,7,328.55,412,Geissleria decussis,Diatom,Geissleria,decussis,,1,1,14.8,,,i,BSA.YOLO-02,CT,Moderate sediment and low detritus. ,elliptic prism,240.85,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,15:00,LH-SAV-1,3,61.0,2,3.28%,0.0683,314.159,0.4781,7,328.55,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,2.8,,,i,BSA.YOLO-02,CT,Moderate sediment and low detritus. ,sphere,9.20,,,,,,,,,,Length,2.6,2.8,2.8,2.8,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,15:00,LH-SAV-1,3,61.0,2,3.28%,0.0683,314.159,0.4781,7,328.55,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,11.1,,,i,BSA.YOLO-02,CT,Moderate sediment and low detritus. ,cone + half sphere,422.18,,,,,,,,,,Length,10.2,11.1,10.2,9.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.3,5.6,5.6,4.6,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,15:00,LH-SAV-1,3,61.0,2,3.28%,0.0683,314.159,0.4781,7,328.55,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,5.6,,,i,BSA.YOLO-02,CT,Moderate sediment and low detritus. ,cone + half sphere,76.35,,,,,,,,,,Length,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,15:00,LH-SAV-1,3,61.0,2,3.28%,0.0683,314.159,0.4781,7,328.55,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,393,795,0.8,0.8,0.8,c,BSA.YOLO-02,CT,Moderate sediment and low detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/16/2018,15:25,LH-WAT-1,3,64.0,2,3.13%,0.0683,314.159,1.0928,16,143.74,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.YOLO-03,CT,Low sediment and detritus.,elliptic prism,90.32,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/16/2018,15:25,LH-WAT-1,3,64.0,2,3.13%,0.0683,314.159,1.0928,16,143.74,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,10.2,,,i,BSA.YOLO-03,CT,Low sediment and detritus.,elliptic prism,98.94,,,,,,,,,,Length,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/16/2018,15:25,LH-WAT-1,3,64.0,2,3.13%,0.0683,314.159,1.0928,16,143.74,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,33,33,2.8,,,i,BSA.YOLO-03,CT,Low sediment and detritus.,sphere,6.37,,,,,,,,,,Length,2.3,2.8,1.9,1.9,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,10/16/2018,15:25,LH-WAT-1,3,64.0,2,3.13%,0.0683,314.159,1.0928,16,143.74,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.YOLO-03,CT,Low sediment and detritus.,cone + half sphere,337.38,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/16/2018,15:25,LH-WAT-1,3,64.0,2,3.13%,0.0683,314.159,1.0928,16,143.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,364,727,0.8,0.8,0.8,c,BSA.YOLO-03,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/16/2018,14:45,LH-SAV-2,,61.0,2,3.28%,0.0683,314.159,0.683,10,229.98,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,16.7,,,i,BSA.YOLO-04,CT,Low sediment and detritus. ,elliptic prism,538.68,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/16/2018,14:45,LH-SAV-2,,61.0,2,3.28%,0.0683,314.159,0.683,10,229.98,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,9,9,2.8,,,i,BSA.YOLO-04,CT,Low sediment and detritus. ,sphere,7.24,,,,,,,,,,Length,2.4,2.8,2.8,1.9,1.9,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,10/16/2018,14:45,LH-SAV-2,,61.0,2,3.28%,0.0683,314.159,0.683,10,229.98,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.YOLO-04,CT,Low sediment and detritus. ,cone + half sphere,337.38,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/16/2018,14:45,LH-SAV-2,,61.0,2,3.28%,0.0683,314.159,0.683,10,229.98,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,7.4,,,i,BSA.YOLO-04,CT,Low sediment and detritus. ,cone + half sphere,172.03,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/16/2018,14:45,LH-SAV-2,,61.0,2,3.28%,0.0683,314.159,0.683,10,229.98,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,414,831,0.8,0.8,0.8,c,BSA.YOLO-04,CT,Low sediment and detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/17/2018,15:04,FC-WAT-2,,61.5,2,3.25%,0.0683,314.159,0.5464,8,287.48,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,14,14,2.8,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,sphere,6.37,,,,,,,,,,Length,2.3,2.8,1.9,1.9,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,15:04,FC-WAT-2,,61.5,2,3.25%,0.0683,314.159,0.5464,8,287.48,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,20.4,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,prolate spheroid,2339.66,,,,,,,,,,Length,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,15:04,FC-WAT-2,,61.5,2,3.25%,0.0683,314.159,0.5464,8,287.48,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,cone + half sphere,337.38,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,15:04,FC-WAT-2,,61.5,2,3.25%,0.0683,314.159,0.5464,8,287.48,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,3,3,11.1,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,cone + half sphere,537.44,,,,,,,,,,Length,10.8,11.1,11.1,10.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.8,6.5,7.4,6.5,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,15:04,FC-WAT-2,,61.5,2,3.25%,0.0683,314.159,0.5464,8,287.48,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,447,903,0.8,0.8,0.8,c,BSA.YOLO-05,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/17/2018,14:07,FC-SAV-1,3,62.5,2,3.20%,0.0683,314.159,0.7513,11,209.08,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,7.4,,,i,BSA.YOLO-06,CT,Low sediment and detritus.,cylinder,95.03,,,,,,,,,,Length,4.0,3.7,4.6,3.7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.5,4.6,7.4,4.6,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:07,FC-SAV-1,3,62.5,2,3.20%,0.0683,314.159,0.7513,11,209.08,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,20,20,2.8,,,i,BSA.YOLO-06,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,2.8,2.8,1.9,1.9,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:07,FC-SAV-1,3,62.5,2,3.20%,0.0683,314.159,0.7513,11,209.08,1140,Monoraphidium tortile,Soft Body,Monoraphidium,tortile,,1,1,16.7,,,i,BSA.YOLO-06,CT,Low sediment and detritus.,2 cones,7.08,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:07,FC-SAV-1,3,62.5,2,3.20%,0.0683,314.159,0.7513,11,209.08,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,410,828,0.8,0.8,0.8,c,BSA.YOLO-06,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/17/2018,14:07,FC-SAV-1,3,62.5,2,3.20%,0.0683,314.159,0.7513,11,209.08,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,2,1.9,,,c,BSA.YOLO-06,CT,Low sediment and detritus.,sphere,3.59,,,,,,,,,,Length,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:07,FC-SAV-1,3,62.5,2,3.20%,0.0683,314.159,0.7513,11,209.08,1421,Chroococcus minutus,Soft Body,Chroococcus,minutus,,5,6,5.6,,,c,BSA.YOLO-06,CT,Low sediment and detritus.,sphere,82.45,,,,,,,,,,Length,5.4,5.6,5.6,5.6,5.6,4.6,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:07,FC-SAV-1,3,62.5,2,3.20%,0.0683,314.159,0.7513,11,209.08,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,28,6.5,,,f,BSA.YOLO-06,CT,Low sediment and detritus.,cylinder,55.91,,,,,,,,,,Length,5.2,6.5,6.5,3.7,3.7,5.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:53,FC-SAV-2,,64.0,2,3.13%,0.0683,314.159,0.6147,9,255.54,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,7.4,,,i,BSA.YOLO-07,CT,Moderate sediment and detritus.,cylinder,132.89,,,,,,,,,,Length,4.7,3.7,5.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.0,4.6,7.4,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:53,FC-SAV-2,,64.0,2,3.13%,0.0683,314.159,0.6147,9,255.54,1860,Skeletonema potamos,Diatom,Skeletonema,potamos,,1,1,9.3,,,i,BSA.YOLO-07,CT,Moderate sediment and detritus.,cylinder + 2 half spheres,57.26,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:53,FC-SAV-2,,64.0,2,3.13%,0.0683,314.159,0.6147,9,255.54,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,4.6,,,i,BSA.YOLO-07,CT,Moderate sediment and detritus.,sphere,40.99,,,,,,,,,,Length,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:53,FC-SAV-2,,64.0,2,3.13%,0.0683,314.159,0.6147,9,255.54,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,11,11,2.8,,,i,BSA.YOLO-07,CT,Moderate sediment and detritus.,sphere,4.85,,,,,,,,,,Length,2.1,1.9,2.8,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:53,FC-SAV-2,,64.0,2,3.13%,0.0683,314.159,0.6147,9,255.54,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,8.2,,,i,BSA.YOLO-07,CT,Moderate sediment and detritus.,cone + half sphere,242.93,,,,,,,,,,Length,8.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:53,FC-SAV-2,,64.0,2,3.13%,0.0683,314.159,0.6147,9,255.54,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,7.4,,,i,BSA.YOLO-07,CT,Moderate sediment and detritus.,cone + half sphere,172.03,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2018,14:53,FC-SAV-2,,64.0,2,3.13%,0.0683,314.159,0.6147,9,255.54,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,366,738,0.8,0.8,0.8,c,BSA.YOLO-07,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/17/2018,14:53,FC-SAV-2,,64.0,2,3.13%,0.0683,314.159,0.6147,9,255.54,1421,Chroococcus minutus,Soft Body,Chroococcus,minutus,,34,37,5.6,,,c,BSA.YOLO-07,CT,Moderate sediment and detritus.,sphere,82.45,,,,,,,,,,Length,5.4,5.6,5.6,5.6,4.6,5.6,,,,,,,,,,,,,,,,,,,,
Phyto,9/18/2018,16:03,DI_SAV_2,,63.0,2,3.17%,0.0683,314.159,0.4781,7,328.55,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,4,4,22.2,,,i,BSA.YOLO-08,CT,Moderate sediment and detritus.,elliptic prism,636.96,,,,,,,,,,Length,19.2,22.2,22.2,16.7,15.7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,12.8,14.8,16.7,9.3,10.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.3,3.7,3.7,2.8,2.8,,,,,,,,,,,,,,,,,,,,,
Phyto,9/18/2018,16:03,DI_SAV_2,,63.0,2,3.17%,0.0683,314.159,0.4781,7,328.55,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,14,14,2.8,,,i,BSA.YOLO-08,CT,Moderate sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,2.8,1.9,1.9,2.8,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,9/18/2018,16:03,DI_SAV_2,,63.0,2,3.17%,0.0683,314.159,0.4781,7,328.55,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,385,777,0.8,0.8,0.8,c,BSA.YOLO-08,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,9/18/2018,16:03,DI_SAV_2,,63.0,2,3.17%,0.0683,314.159,0.4781,7,328.55,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,6,1.9,,,f,BSA.YOLO-08,CT,Moderate sediment and detritus.,cylinder,5.39,,,,,,,,,,Length,1.9,1.9,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,10/16/2018,14:30,LH-WAT-2,,63.0,2,3.17%,0.0683,314.159,0.9562,14,164.27,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,22.2,,,i,BSA.YOLO-09,CT,Low sediment and detritus.,elliptic prism,539.30,,,,,,,,,,Length,20.4,18.5,22.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,10.2,9.3,11.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.3,2.8,3.7,,,,,,,,,,,,,,,,,,,,,,,
