MethodCode,SampleDate,SampleTime,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,631,cf. Navicula sp.,Diatom,Navicula,sp.,,1,1,37,,,i,BSA.YOLO-01,CT,,elliptic prism,3023.37,,,,,,,,,,Length,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,730,Nitzschia palea,Diatom,Nitzschia,palea,,1,1,40.7,,,i,BSA.YOLO-01,CT,,prism on parallelogram,278.59,,,,,,,,,,Length,40.7,40.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,18.5,,,i,BSA.YOLO-01,CT,,prism on parallelogram,95.83,,,,,,,,,,Length,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,846,Planothidium sp.,Diatom,Planothidium,sp.,,1,1,16.7,,,i,BSA.YOLO-01,CT,,elliptic prism,271.77,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,2,2,14.8,,,i,BSA.YOLO-01,CT,,box,130.10,,,,,,,,,,Length,12.1,14.8,9.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,1091,Elakatothrix gelatinosa,Soft Body,Elakatothrix,gelatinosa,,1,2,9.3,,,c,BSA.YOLO-01,CT,,elliptic prism,99.99,,,,,,,,,,Length,9.3,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,1,1,5.6,,,i,BSA.YOLO-01,CT,,ellipsoid,30.38,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,1184,Pediastrum tetras,Soft Body,Pediastrum,tetras,,1,8,16.7,,,c,BSA.YOLO-01,CT,,elliptic prism,24.92,,,,,,,,,,Length,16.7,16.7,16.7,16.7,16.7,16.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,16.7,16.7,16.7,16.7,16.7,16.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,1,1,12,,,i,BSA.YOLO-01,CT,,cone + half sphere,663.50,,,,,,,,,,Length,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,,,i,BSA.YOLO-01,CT,,cone + half sphere,314.74,,,,,,,,,,Length,9.3,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,388,780,0.8,0.8,0.8,c,BSA.YOLO-01,CT,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/2/2019,9:49,RYI,1,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,5.6,,,i,BSA.YOLO-02,BB,,cylinder,68.96,,,,,,,,,,Length,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,9:49,RYI,1,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,241,Cymbella sp.,Diatom,Cymbella,sp.,,1,1,38.9,,,i,BSA.YOLO-02,BB,,cymbelloid,806.17,,,,,,,,,,Length,38.9,38.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,9:49,RYI,1,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,4,4,1.9,,,i,BSA.YOLO-02,BB,,sphere,3.59,,,,,,,,,,Length,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,9:49,RYI,1,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,394,842,0.8,0.8,0.8,c,BSA.YOLO-02,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,10,10,14.8,,,i,BSA.YOLO-03,CT,,cylinder,822.36,,,,,,,,,,Length,8.2,7.4,11.1,9.3,3.7,9.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.3,10.2,14.8,13.0,7.4,11.1,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1892,Cylindrotheca closterium,Diatom,Cylindrotheca,closterium,,1,1,37,,,i,BSA.YOLO-03,CT,,prolate spheroid + 2 cylinders,0.00,,,,,,,,,,Length,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,9.3,,,i,BSA.YOLO-03,CT,,elliptic prism,99.99,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1889,Nitzschia cf. ligowski,Diatom,Nitzschia,ligowski,,1,1,20.4,,,i,BSA.YOLO-03,CT,,prism on parallelogram,531.22,,,,,,,,,,Length,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,730,Nitzschia palea,Diatom,Nitzschia,palea,,1,1,25.9,,,i,BSA.YOLO-03,CT,,prism on parallelogram,177.29,,,,,,,,,,Length,25.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1860,Skeletonema potamos,Diatom,Skeletonema,potamos,,2,2,14.8,,,i,BSA.YOLO-03,CT,,cylinder + 2 half spheres,106.91,,,,,,,,,,Length,12.5,14.8,10.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.3,2.8,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1020,Carteria sp.,Soft Body,Carteria,sp.,,1,1,13,,,i,BSA.YOLO-03,CT,,sphere,372.74,,,,,,,,,,Length,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,8,8,2.8,,,i,BSA.YOLO-03,CT,,sphere,9.20,,,,,,,,,,Length,2.6,1.9,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1774,Desmodesmus sp.,Soft Body,Desmodesmus,sp.,,1,2,9.3,,,c,BSA.YOLO-03,CT,,prolate spheroid,38.18,,,,,,,,,,Length,9.3,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,,1,1,7.4,,,i,BSA.YOLO-03,CT,,2 cones,13.99,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,2,2,6.5,,,i,BSA.YOLO-03,CT,,prolate spheroid,83.07,,,,,,,,,,Length,6.1,6.5,5.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.1,5.6,4.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1692,cf. Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,6.5,,,i,BSA.YOLO-03,CT,,prolate spheroid,106.73,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,411,838,0.8,0.8,0.8,c,BSA.YOLO-03,CT,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,30,6.5,,,f,BSA.YOLO-03,CT,,cylinder,12.19,,,,,,,,,,Length,4.3,2.8,2.8,2.8,6.5,6.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,9:14,I80,1,62.0,1,1.61%,0.0683,314.159,0.683,10,459.97,1519,cf. Snowella sp.,Soft Body,Snowella,sp.,,1,6,0.9,,,c,BSA.YOLO-03,CT,,sphere,0.38,,,,,,,,,,Length,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,11:50,STTD-DUP,1,61.0,2,3.28%,0.0697,314.159,0.6273,9,250.41,74,Amphora sp.,Diatom,Amphora,sp.,,1,1,22.2,,,i,BSA.YOLO-04,BB,,cymbelloid,538.73,,,,,,,,,,Length,22.2,22.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,11:50,STTD-DUP,1,61.0,2,3.28%,0.0697,314.159,0.6273,9,250.41,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,18.5,,,i,BSA.YOLO-04,BB,,elliptic prism,596.74,,,,,,,,,,Length,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,11:50,STTD-DUP,1,61.0,2,3.28%,0.0697,314.159,0.6273,9,250.41,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,,,i,BSA.YOLO-04,BB,,cylinder,68.96,,,,,,,,,,Length,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,11:50,STTD-DUP,1,61.0,2,3.28%,0.0697,314.159,0.6273,9,250.41,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,37,,,i,BSA.YOLO-04,BB,,elliptic prism,1243.17,,,,,,,,,,Length,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,11:50,STTD-DUP,1,61.0,2,3.28%,0.0697,314.159,0.6273,9,250.41,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,1.9,,,i,BSA.YOLO-04,BB,,sphere,3.59,,,,,,,,,,Length,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,11:50,STTD-DUP,1,61.0,2,3.28%,0.0697,314.159,0.6273,9,250.41,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.6,,,i,BSA.YOLO-04,BB,,cone + half sphere,322.83,,,,,,,,,,Length,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.6,9.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/2/2019,11:50,STTD-DUP,1,61.0,2,3.28%,0.0697,314.159,0.6273,9,250.41,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,409,864,0.8,0.8,0.8,c,BSA.YOLO-04,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/1/2019,10:32,RCS,1,63.0,1,1.59%,0.0683,314.159,0.4781,7,657.10,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,10.2,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,cylinder,183.92,,,,,,,,,,Length,5.9,7.4,3.7,5.6,7.4,5.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.3,10.2,4.6,6.5,3.7,6.5,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,10:32,RCS,1,63.0,1,1.59%,0.0683,314.159,0.4781,7,657.10,1020,Carteria sp.,Soft Body,Carteria,sp.,,1,1,16.7,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,sphere,1077.36,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,10:32,RCS,1,63.0,1,1.59%,0.0683,314.159,0.4781,7,657.10,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,2.8,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,sphere,11.49,,,,,,,,,,Length,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,10:32,RCS,1,63.0,1,1.59%,0.0683,314.159,0.4781,7,657.10,1136,Monoraphidium griffithii,Soft Body,Monoraphidium,griffithii,,1,1,44.4,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,2 cones,83.92,,,,,,,,,,Length,44.4,44.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,10:32,RCS,1,63.0,1,1.59%,0.0683,314.159,0.4781,7,657.10,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,405,831,0.8,0.8,0.8,c,BSA.YOLO-05,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/1/2019,8:56,RMB,1,62.0,1,1.61%,0.0697,314.159,0.3485,5,901.46,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,7.4,,,i,BSA.YOLO-06,BB,,cylinder,134.37,,,,,,,,,,Length,3.7,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.8,6.5,6.5,7.4,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/1/2019,8:56,RMB,1,62.0,1,1.61%,0.0697,314.159,0.3485,5,901.46,1020,Carteria sp.,Soft Body,Carteria,sp.,,1,1,11.1,,,i,BSA.YOLO-06,BB,,sphere,318.26,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
