MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,11/9/2021,9:50,EZ2-SJR,59,5,8.47%,0.0683,314.159,1.6392,24,38.33,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,10.4,i,BSA.11-09,AB,Moderate sediment and detritus.,cone + half sphere,416.26,,,,,,,,,
Phyto,11/9/2021,9:50,EZ2-SJR,59,5,8.47%,0.0683,314.159,1.6392,24,38.33,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,6,i,BSA.11-09,AB,Moderate sediment and detritus.,cone + half sphere,94.25,,,,,,,,,
Phyto,11/9/2021,9:50,EZ2-SJR,59,5,8.47%,0.0683,314.159,1.6392,24,38.33,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,396,796,0.8,c,BSA.11-09,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/9/2021,10:40,D16,60,6,10.00%,0.0683,314.159,2.5954,38,20.17,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.4,i,BSA.11-10,AB,Moderate detritus. Many broken diatoms.,elliptic prism,89.45,,,,,,,,,
Phyto,11/9/2021,10:40,D16,60,6,10.00%,0.0683,314.159,2.5954,38,20.17,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,9,i,BSA.11-10,AB,Moderate detritus. Many broken diatoms.,cylinder,230.38,,,,,,,,,
Phyto,11/9/2021,10:40,D16,60,6,10.00%,0.0683,314.159,2.5954,38,20.17,326,Epithemia sp.,Diatom,Epithemia,sp.,,1,1,40.7,i,BSA.11-10,AB,Moderate detritus. Many broken diatoms.,cymbelloid,488.53,,,,,,,,,
Phyto,11/9/2021,10:40,D16,60,6,10.00%,0.0683,314.159,2.5954,38,20.17,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,25.9,i,BSA.11-10,AB,Moderate detritus. Many broken diatoms.,elliptic prism,61.03,,,,,,,,,
Phyto,11/9/2021,10:40,D16,60,6,10.00%,0.0683,314.159,2.5954,38,20.17,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,2,2,7.4,i,BSA.11-10,AB,Moderate detritus. Many broken diatoms.,sphere,169.48,,,,,,,,,
Phyto,11/9/2021,10:40,D16,60,6,10.00%,0.0683,314.159,2.5954,38,20.17,1806,Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,1,1,5.6,i,BSA.11-10,AB,Moderate detritus. Many broken diatoms.,prolate spheroid,73.30,,,,,,,,,
Phyto,11/9/2021,10:40,D16,60,6,10.00%,0.0683,314.159,2.5954,38,20.17,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,6,i,BSA.11-10,AB,Moderate detritus. Many broken diatoms.,cone + half sphere,109.33,,,,,,,,,
Phyto,11/9/2021,10:40,D16,60,6,10.00%,0.0683,314.159,2.5954,38,20.17,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,392,784,0.8,c,BSA.11-10,AB,Moderate detritus. Many broken diatoms.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,16.7,i,BSA.11-11,AB,,elliptic prism,196.74,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,22.2,i,BSA.11-11,AB,,elliptic prism,514.42,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,13,i,BSA.11-11,AB,,cylinder,392.23,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1912,Navicula cf. rhynchotella,Diatom,Navicula,rhynchotella,,2,2,42.6,i,BSA.11-11,AB,,elliptic prism,1058.72,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,631,cf. Navicula sp.,Diatom,Navicula,sp.,,2,2,38.9,i,BSA.11-11,AB,Girdle view.,elliptic prism,1207.31,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,20.4,i,BSA.11-11,AB,,elliptic prism,288.40,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,50.1,i,BSA.11-11,AB,,prism on parallelogram,130.64,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,4,i,BSA.11-11,AB,,sphere,26.52,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,1,1,4.5,i,BSA.11-11,AB,,cylinder + 2 cones,9.28,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,13.5,i,BSA.11-11,AB,,2 cones,13.85,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,2,7.4,c,BSA.11-11,AB,,prolate spheroid,47.46,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1242,cf. Selenastrum sp.,Soft Body,Selenastrum,sp.,,1,1,5,i,BSA.11-11,AB,,2 cones,12.67,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1806,cf. Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,4,4,5.6,i,BSA.11-11,AB,,prolate spheroid,53.18,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,i,BSA.11-11,AB,,cone + half sphere,321.30,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,2,2,c,BSA.11-11,AB,,sphere,4.19,,,,,,,,,
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,373,746,0.8,c,BSA.11-11,AB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/8/2021,11:15,C10A,60,6,10.00%,0.0683,314.159,2.6637,39,19.66,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,12,3.7,f,BSA.11-11,AB,,cylinder,4.18,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,17,i,BSA.11-12,AB,Low detritus.,elliptic prism,248.34,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,11.1,i,BSA.11-12,AB,Low detritus.,cylinder,351.21,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,273,Diatoma sp.,Diatom,Diatoma,sp.,,1,1,19,i,BSA.11-12,AB,Low detritus.,elliptic prism,313.37,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,18,i,BSA.11-12,AB,Low detritus.,cymbelloid,133.24,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,631,cf. Navicula sp.,Diatom,Navicula,sp.,,6,6,13,i,BSA.11-12,AB,Low detritus.,elliptic prism,51.05,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,4,4,55,i,BSA.11-12,AB,Low detritus.,prism on parallelogram,166.00,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,870,Pseudostaurosira sp.,Diatom,Pseudostaurosira,sp.,,1,1,9.3,i,BSA.11-12,AB,Low detritus.,box,63.91,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,10.6,i,BSA.11-12,AB,Low detritus.,cone + half sphere,424.63,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,385,770,0.8,c,BSA.11-12,AB,Low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,1,1,5,i,BSA.11-12,AB,Low detritus.,sphere,65.45,,,,,,,,,
Phyto,11/8/2021,8:15,C3A,60,8,13.33%,0.0683,314.159,2.3222,34,16.91,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,20,4,f,BSA.11-12,AB,Low detritus.,cylinder,7.07,,,,,,,,,
Phyto,11/17/2021,13:25,NZ325,60,5,8.33%,0.0683,314.159,1.2294,18,51.11,46,cf. Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,7.4,i,BSA.11-13,CB,,elliptic prism,40.86,,,,,,,,,
Phyto,11/17/2021,13:25,NZ325,60,5,8.33%,0.0683,314.159,1.2294,18,51.11,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,9.3,i,BSA.11-13,CB,,cylinder,312.47,,,,,,,,,
Phyto,11/17/2021,13:25,NZ325,60,5,8.33%,0.0683,314.159,1.2294,18,51.11,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,24.1,i,BSA.11-13,CB,,cylinder,5474.00,,,,,,,,,
Phyto,11/17/2021,13:25,NZ325,60,5,8.33%,0.0683,314.159,1.2294,18,51.11,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,i,BSA.11-13,CB,,cone + half sphere,337.38,,,,,,,,,
Phyto,11/17/2021,13:25,NZ325,60,5,8.33%,0.0683,314.159,1.2294,18,51.11,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,413,826,0.8,c,BSA.11-13,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/16/2021,12:35,NZS42,60,2,3.33%,0.0683,314.159,1.2294,18,127.77,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,13,i,BSA.11-14,CB,High sediment and detritus.,cylinder,377.19,,,,,,,,,
Phyto,11/16/2021,12:35,NZS42,60,2,3.33%,0.0683,314.159,1.2294,18,127.77,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.7,i,BSA.11-14,CB,High sediment and detritus.,prism on parallelogram,58.70,,,,,,,,,
