MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Organisms per mL,Total Cells Counted,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,64.35,1,9.3,i,BSA.11-02,KS,Fragment. Moderate sediment and detritus.,cylinder,251.34,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,17,1093.90,17,7.5,i,BSA.11-02,KS,Moderate sediment and detritus.,cylinder,163.46,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,309,Encyonema silesiacum,Diatom,Encyonema,silesiacum,,1,64.35,1,26.2,i,BSA.11-02,KS,Moderate sediment and detritus.,cymbelloid,366.83,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,458,Gomphonema parvulum,Diatom,Gomphonema,parvulum,,1,64.35,1,18.7,i,BSA.11-02,KS,Moderate sediment and detritus.,gomphonemoid,511.85,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,496,Hippodonta capitata,Diatom,Hippodonta,capitata,,1,64.35,1,16.8,i,BSA.11-02,KS,Moderate sediment and detritus.,elliptic prism,273.39,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,631,Navicula sp.,Diatom,Navicula,sp.,,1,64.35,1,24.3,i,BSA.11-02,KS,Moderate sediment and detritus.,elliptic prism,529.61,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,702,Nitzschia fonticola,Diatom,Nitzschia,fonticola,,2,128.69,2,26.2,i,BSA.11-02,KS,Moderate sediment and detritus.,prism on parallelogram,179.34,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,730,Nitzschia palea,Diatom,Nitzschia,palea,,2,128.69,2,26.2,i,BSA.11-02,KS,Moderate sediment and detritus.,prism on parallelogram,179.34,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,837,Planothidium frequentissimum,Diatom,Planothidium,frequentissimum,,1,64.35,1,11.2,i,BSA.11-02,KS,Moderate sediment and detritus.,elliptic prism,182.26,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,849,Pleurosigma salinarum,Diatom,Pleurosigma,salinarum,,1,64.35,1,160.7,i,BSA.11-02,KS,Moderate sediment and detritus.,prism on parallelogram,10124.10,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,2,128.69,2,15,i,BSA.11-02,KS,Moderate sediment and detritus.,box,662.68,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,890,Sellaphora pupula,Diatom,Sellaphora,pupula,,1,64.35,1,18.7,i,BSA.11-02,KS,Moderate sediment and detritus.,box,879.65,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,931,Stephanocyclus meneghiniana,Diatom,Stephanocyclus,meneghiniana,,1,64.35,1,9.3,i,BSA.11-02,KS,Fragment. Moderate sediment and detritus.,cylinder,380.40,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,976,Synedra ulna,Diatom,Synedra,ulna,,2,128.69,2,20.6,i,BSA.11-02,KS,Fragment. Moderate sediment and detritus.,box,335.23,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,5,321.74,5,4.7,i,BSA.11-02,KS,Moderate sediment and detritus.,sphere,54.36,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,1661,Chlorolobion braunii,Soft Body,Chlorolobion,braunii,,1,64.35,1,15,i,BSA.11-02,KS,Moderate sediment and detritus.,cylinder + 2 cones,45.22,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,1229,Scenedesmus opoliensis var. mononensis,Soft Body,Scenedesmus,opoliensis var. mononensis,,1,64.35,2,9.3,c,BSA.11-02,KS,Moderate sediment and detritus.,prolate spheroid,66.66,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,4,257.39,4,7.5,i,BSA.11-02,KS,Moderate sediment and detritus.,prolate spheroid,220.89,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,1365,Rhodomonas cf. lacustris,Soft Body,Rhodomonas,lacustris,,3,193.04,3,11.2,i,BSA.11-02,KS,Moderate sediment and detritus.,cone + half sphere,551.71,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,363,23358.00,734,0.85,c,BSA.11-02,KS,Moderate sediment and detritus.,sphere,0.27,0.38,0.27,0.38,0.38,0.38,0.27,0.27,0.38,0.27,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,,1,64.35,8,1.9,c,BSA.11-02,KS,Moderate sediment and detritus.,cube,6.86,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,1662,Euglena cf. agilis,Soft Body,Euglena,agilis,,1,64.35,1,22.4,i,BSA.11-02,KS,Moderate sediment and detritus.,half ellipsoid + cone on an elliptic base,729.05,,,,,,,,,,
Phyto,11/12/13,14:30,EZ2,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,75.07,1,19.6,i,BSA.11-03,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",elliptic prism,637.92,,,,,,,,,,
Phyto,11/12/13,14:30,EZ2,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,5,375.36,5,7.5,i,BSA.11-03,KS,"High sediment, moderate detritus, many diatom fragments. ",cylinder,163.46,,,,,,,,,,
Phyto,11/12/13,14:30,EZ2,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,496,Hippodonta capitata,Diatom,Hippodonta,capitata,,1,75.07,1,16.8,i,BSA.11-03,KS,"High sediment, moderate detritus, many diatom fragments. ",elliptic prism,273.39,,,,,,,,,,
Phyto,11/12/13,14:30,EZ2,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,631,Navicula sp.,Diatom,Navicula,sp.,,1,75.07,1,16.8,i,BSA.11-03,KS,"High sediment, moderate detritus, many diatom fragments. ",elliptic prism,273.39,,,,,,,,,,
Phyto,11/12/13,14:30,EZ2,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,75.07,1,16.8,i,BSA.11-03,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",prism on parallelogram,65.86,,,,,,,,,,
Phyto,11/12/13,14:30,EZ2,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,976,Synedra ulna,Diatom,Synedra,ulna,,5,375.36,5,7.5,i,BSA.11-03,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",box,122.05,,,,,,,,,,
Phyto,11/12/13,14:30,EZ2,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,422,31680.23,853,0.85,c,BSA.11-03,KS,"High sediment, moderate detritus, many diatom fragments. ",sphere,0.27,0.38,0.27,0.27,0.27,0.38,0.27,0.38,0.38,0.38,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,15,1351.29,15,9.3,i,BSA.11-04,KS,"Fragment. High sediment, moderate detritus, diatom fragments. ",cylinder,410.86,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,4,360.34,4,28,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",cylinder,4310.26,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,99,Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,,1,90.09,1,12.2,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",box,252.78,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,180.17,2,35.5,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",elliptic prism,1733.12,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,180.17,2,7.2,i,BSA.11-04,KS,"Fragment. High sediment, moderate detritus, diatom fragments. ",cylinder,150.65,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,3,270.26,3,5.6,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",cylinder,91.13,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,631,Navicula sp.,Diatom,Navicula,sp.,,2,180.17,2,33.6,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",elliptic prism,546.79,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,90.09,1,16.8,i,BSA.11-04,KS,"Fragment. High sediment, moderate detritus, diatom fragments. ",prism on parallelogram,180.26,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,90.09,1,63.5,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",prism on parallelogram,1991.36,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,1,90.09,1,12.2,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",box,198.54,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,890,Sellaphora pupula,Diatom,Sellaphora,pupula,,1,90.09,1,15.9,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",box,329.45,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,976,Synedra ulna,Diatom,Synedra,ulna,,2,180.17,2,7.5,i,BSA.11-04,KS,"Fragment. High sediment, moderate detritus, diatom fragments. ",box,122.05,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,5,450.43,5,5.6,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",sphere,91.95,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,1327,Pseudokephyrion pseudospirale,Soft Body,Pseudokephyrion,pseudospirale,,1,90.09,1,7.5,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",ellipsoid,68.29,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,90.09,1,8.4,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",cone + half sphere,241.99,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,365,32881.37,741,0.85,c,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",sphere,0.27,0.38,0.27,0.38,0.27,0.38,0.27,0.27,0.38,0.38,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,90.09,3,2.8,f,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",cylinder,7.94,,,,,,,,,,
Phyto,11/7/13,11:00,P8,40,10,25.00%,0.0697,314.159,0.348732495,5,90.09,1663,Goniochloris mutica,Soft Body,Goniochloris,mutica,,1,90.09,1,11.2,i,BSA.11-04,KS,"High sediment, moderate detritus, diatom fragments. ",prism on triangle,18.82,,,,,,,,,,
Phyto,11/7/13,9:30,MD10A,37,10,27.03%,0.0697,314.159,0.557971992,8,56.30,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,22,1238.68,22,16.8,i,BSA.11-05,KS,"Fragment. Low detritus, moderate sediment.",cylinder,2968.80,,,,,,,,,,
Phyto,11/7/13,9:30,MD10A,37,10,27.03%,0.0697,314.159,0.557971992,8,56.30,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,16,900.86,16,37.4,i,BSA.11-05,KS,"Low detritus, moderate sediment.",cylinder,5040.85,,,,,,,,,,
Phyto,11/7/13,9:30,MD10A,37,10,27.03%,0.0697,314.159,0.557971992,8,56.30,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,56.30,1,11.2,i,BSA.11-05,KS,"Low detritus, moderate sediment.",elliptic prism,145.32,,,,,,,,,,
Phyto,11/7/13,9:30,MD10A,37,10,27.03%,0.0697,314.159,0.557971992,8,56.30,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,13,731.95,13,5.6,i,BSA.11-05,KS,"Low detritus, moderate sediment.",sphere,91.95,,,,,,,,,,
Phyto,11/7/13,9:30,MD10A,37,10,27.03%,0.0697,314.159,0.557971992,8,56.30,1327,Pseudokephyrion pseudospirale,Soft Body,Pseudokephyrion,pseudospirale,,1,56.30,1,5.6,i,BSA.11-05,KS,"Low detritus, moderate sediment.",ellipsoid,60.75,,,,,,,,,,
Phyto,11/7/13,9:30,MD10A,37,10,27.03%,0.0697,314.159,0.557971992,8,56.30,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,6,337.82,6,9.3,i,BSA.11-05,KS,"Low detritus, moderate sediment.",cone + half sphere,317.00,,,,,,,,,,
Phyto,11/7/13,9:30,MD10A,37,10,27.03%,0.0697,314.159,0.557971992,8,56.30,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,365,20550.86,746,0.84,c,BSA.11-05,KS,"Low detritus, moderate sediment.",sphere,0.27,0.38,0.27,0.27,0.38,0.27,0.27,0.38,0.38,0.27,
Phyto,11/12/13,13:45,EZ6,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,3,225.21,3,8.4,i,BSA.11-06,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",cylinder,90.32,,,,,,,,,,
Phyto,11/12/13,13:45,EZ6,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,300.29,4,7.5,i,BSA.11-06,KS,"High sediment, moderate detritus, many diatom fragments. ",cylinder,163.46,,,,,,,,,,
Phyto,11/12/13,13:45,EZ6,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,75.07,1,11.2,i,BSA.11-06,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",cylinder,364.52,,,,,,,,,,
Phyto,11/12/13,13:45,EZ6,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,309,Encyonema silesiacum,Diatom,Encyonema,silesiacum,,1,75.07,1,26.2,i,BSA.11-06,KS,"High sediment, moderate detritus, many diatom fragments. ",cymbelloid,366.83,,,,,,,,,,
Phyto,11/12/13,13:45,EZ6,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,1,75.07,1,7.5,i,BSA.11-06,KS,"High sediment, moderate detritus, many diatom fragments. ",box,102.44,,,,,,,,,,
Phyto,11/12/13,13:45,EZ6,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,976,Synedra ulna,Diatom,Synedra,ulna,,4,300.29,4,7.5,i,BSA.11-06,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",box,122.05,,,,,,,,,,
Phyto,11/12/13,13:45,EZ6,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,1346,cf. Cryptomonas erosa,Soft Body,Cryptomonas,erosa,,1,75.07,1,13.1,i,BSA.11-06,KS,"High sediment, moderate detritus, many diatom fragments. ",prolate spheroid,593.25,,,,,,,,,,
Phyto,11/12/13,13:45,EZ6,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,386,28977.65,785,0.86,c,BSA.11-06,KS,"High sediment, moderate detritus, many diatom fragments. ",sphere,0.27,0.38,0.27,0.38,0.27,0.38,0.27,0.38,0.38,0.38,
Phyto,11/12/13,13:45,EZ6,38,10,26.32%,0.0697,314.159,0.418478994,6,75.07,1611,Gymnodinium sp.,Soft Body,Gymnodinium,sp.,,1,75.07,1,11.2,i,BSA.11-06,KS,"High sediment, moderate detritus, many diatom fragments. ",ellipsoid,329.87,,,,,,,,,,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,37.54,1,15,i,BSA.11-07,KS,Fragment. Moderate sediment and detritus. ,elliptic prism,571.02,,,,,,,,,,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,3,112.61,3,5.6,i,BSA.11-07,KS,Moderate sediment and detritus. ,cylinder,91.13,,,,,,,,,,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,37.54,1,14,i,BSA.11-07,KS,Moderate sediment and detritus. ,prism on parallelogram,121.73,,,,,,,,,,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,1,37.54,1,9.3,i,BSA.11-07,KS,Moderate sediment and detritus. ,box,99.99,,,,,,,,,,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,976,Synedra ulna,Diatom,Synedra,ulna,,1,37.54,1,9.3,i,BSA.11-07,KS,Fragment. Moderate sediment and detritus. ,box,99.99,,,,,,,,,,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,1328,Pseudokephyrion sp.,Soft Body,Pseudokephyrion,sp.,,2,75.07,2,5.6,i,BSA.11-07,KS,Moderate sediment and detritus. ,ellipsoid,40.14,,,,,,,,,,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,1359,Hillea fusiformis,Soft Body,Hillea,fusiformis,,2,75.07,2,7.5,i,BSA.11-07,KS,Moderate sediment and detritus. ,prolate spheroid,53.76,,,,,,,,,,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,1365,Rhodomonas cf. lacustris,Soft Body,Rhodomonas,lacustris,,3,112.61,3,13.1,i,BSA.11-07,KS,Moderate sediment and detritus. ,cone + half sphere,925.50,,,,,,,,,,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,426,15990.26,921,0.85,c,BSA.11-07,KS,Moderate sediment and detritus. ,sphere,0.27,0.38,0.27,0.38,0.38,0.38,0.27,0.38,0.27,0.27,
Phyto,11/14/13,13:00,D6,42,10,23.81%,0.0697,314.159,0.836957988,12,37.54,1611,cf. Gymnodinium sp.,Soft Body,Gymnodinium,sp.,,1,37.54,1,20.6,i,BSA.11-07,KS,Moderate sediment and detritus. ,ellipsoid,2119.47,,,,,,,,,,
