Station ID,Location,Latitude,Longitude,StationType
MAL,Sacramento River at Mallard Island,38.042799,-121.92013,Continuous
MD10A,Disappointment Slough @ Bishop Cut,38.04226,-121.4199,Discrete
MD10A,Disappointment Slough @ Bishop Cut,38.04226,-121.4199,Phytoplankton
MD10A,Disappointment Slough @ Bishop Cut,38.04226,-121.4199,Zooplankton
MRZ,Suisun Bay - Martinez,38.02762,-122.14052,Continuous
MSD,San Joaquin River at Mossdale Bridge,37.786144,-121.306474,Continuous
NZ002,Carquinez Strait near Glencove Harbor,38.06529,-122.2152,Discrete
NZ002,Carquinez Strait near Glencove Harbor,38.06529,-122.2152,Phytoplankton
NZ002,Carquinez Strait near Glencove Harbor,38.06529,-122.2152,Zooplankton
NZ004,Carquinez Strait near Ozol Pier,38.03576,-122.1616,Discrete
NZ004,Carquinez Strait near Ozol Pier,38.03576,-122.1616,Phytoplankton
NZ004,Carquinez Strait near Ozol Pier,38.03576,-122.1616,Zooplankton
NZ032,"Montezuma Slough, 2nd bend from mouth",38.16991,-122.0211,Discrete
NZ032,"Montezuma Slough, 2nd bend from mouth",38.16991,-122.0211,Phytoplankton
NZ032,"Montezuma Slough, 2nd bend from mouth",38.16991,-122.0211,Zooplankton
NZ068,Sacramento River below Rio Vista Bridge,38.14272,-121.6895,Benthic
NZ068,Sacramento River below Rio Vista Bridge,38.14272,-121.6895,Discrete
NZ068,Sacramento River below Rio Vista Bridge,38.14272,-121.6895,Phytoplankton
NZ068,Sacramento River below Rio Vista Bridge,38.14272,-121.6895,Zooplankton
NZ325,San Pablo Bay near Rock Wall and Light 15,38.05798,-122.2919,Discrete
NZ325,San Pablo Bay near Rock Wall and Light 15,38.05798,-122.2919,Phytoplankton
NZ325,San Pablo Bay near Rock Wall and Light 15,38.05798,-122.2919,Zooplankton
NZS42,Suisun Slough @ Volanti Slough,38.18045,-122.0476,Benthic
NZS42,Suisun Slough @ Volanti Slough,38.18045,-122.0476,Discrete
NZS42,Suisun Slough @ Volanti Slough,38.18045,-122.0476,Phytoplankton
NZS42,Suisun Slough @ Volanti Slough,38.18045,-122.0476,Zooplankton
P8,San Joaquin River @ Buckley Cove,37.97817,-121.3823,Discrete
P8,San Joaquin River @ Buckley Cove,37.97817,-121.3823,Phytoplankton
P8,San Joaquin River @ Buckley Cove,37.97817,-121.3823,Zooplankton
PPT,SJR - Prisoner's Point,38.056296,-121.549973,Continuous
RRI,SJR - Prisoner-Rough & Ready,37.962726,-121.365603,Continuous
RYC,Suisun Bay - Cutoff Near Ryer,38.083961,-121.995641,Continuous
SSI,Sacramento R Nr Sherman Island,38.074153,-121.761764,Continuous
TWI,San Joaquin River at Twitchell Island,38.097455,-121.668718,Continuous
