,X,Station.Code,Date,Time,Classification,Organism,Count,Subsample,VolMeso,SubMeso,VolMicro,SubMicro,StartMeter,EndMeter,FlowMeterSpeed,CPUE
344,344,BL5,9/18/2019,10:57:00,Cyclopoids,Microcyclops rubellus,2,1,97,0.7,97,0.7,801233,804410,Low,7.722458625
350,350,BL5,9/18/2019,10:57:00,Cyclopoids,Paracyclops chiltoni,1,1,97,0.7,97,0.7,801233,804410,Low,3.861229312
351,351,BL5,9/18/2019,10:57:00,Cyclopoids,Paracyclops fimbriatus,1,1,97,0.7,97,0.7,801233,804410,Low,3.861229312
393,393,BL5,9/18/2019,10:57:00,Harpacticoids,Harpacticoids,1,1,97,0.7,97,0.7,801233,804410,Low,3.861229312
328,328,BL5,9/18/2019,10:57:00,Microzooplankton_Nauplii,Copepod nauplii,2,1,97,0.7,97,0.7,801233,804410,Low,7.722458625
329,329,BL5,9/18/2019,10:57:00,Microzooplankton_Nauplii,Ostracods,11,1,97,0.7,97,0.7,801233,804410,Low,42.47352243
327,327,BL5,9/18/2019,10:57:00,Microzooplankton_Nauplii,Rotifers,344,1,97,0.7,97,0.7,801233,804410,Low,1328.262883
436,436,BL5,10/2/2019,10:50:00,Calanoids,Calanoid copepodid,199,1,60,0.5,60,10,766167,769600,Low,615.7857492
443,443,BL5,10/2/2019,10:50:00,Calanoids,Pseudodiaptomus forbesi adult,30,1,60,0.5,60,10,766167,769600,Low,92.8320225
453,453,BL5,10/2/2019,10:50:00,Cladocera,Bosmina,2,1,60,0.5,60,10,766167,769600,Low,6.1888015
454,454,BL5,10/2/2019,10:50:00,Cladocera,Camptocercus,2,1,60,0.5,60,10,766167,769600,Low,6.1888015
455,455,BL5,10/2/2019,10:50:00,Cladocera,Ceriodaphnia,3,1,60,0.5,60,10,766167,769600,Low,9.28320225
456,456,BL5,10/2/2019,10:50:00,Cladocera,Chydorus,1,1,60,0.5,60,10,766167,769600,Low,3.09440075
458,458,BL5,10/2/2019,10:50:00,Cladocera,Diaphanosoma,3,1,60,0.5,60,10,766167,769600,Low,9.28320225
470,470,BL5,10/2/2019,10:50:00,Cladocera,Pseudochydorus,1,1,60,0.5,60,10,766167,769600,Low,3.09440075
473,473,BL5,10/2/2019,10:50:00,Cladocera,Simocephalus,1,1,60,0.5,60,10,766167,769600,Low,3.09440075
415,415,BL5,10/2/2019,10:50:00,Cyclopoids,Cyclopoid copepodid,15,1,60,0.5,60,10,766167,769600,Low,46.41601125
423,423,BL5,10/2/2019,10:50:00,Cyclopoids,Macrocyclops albidus,2,1,60,0.5,60,10,766167,769600,Low,6.1888015
425,425,BL5,10/2/2019,10:50:00,Cyclopoids,Microcyclops rubellus,2,1,60,0.5,60,10,766167,769600,Low,6.1888015
474,474,BL5,10/2/2019,10:50:00,Harpacticoids,Harpacticoids,1,1,60,0.5,60,10,766167,769600,Low,3.09440075
410,410,BL5,10/2/2019,10:50:00,Microzooplankton_Nauplii,Copepod nauplii,84,1,60,0.5,60,10,766167,769600,Low,12.99648315
411,411,BL5,10/2/2019,10:50:00,Microzooplankton_Nauplii,Ostracods,34,1,60,0.5,60,10,766167,769600,Low,5.260481275
409,409,BL5,10/2/2019,10:50:00,Microzooplankton_Nauplii,Rotifers,37,1,60,0.5,60,10,766167,769600,Low,5.724641387
518,518,BL5,10/16/2019,11:18:00,Calanoids,Calanoid copepodid,185,1,57,0.3,57,3,741104,744600,Low,890.0676577
525,525,BL5,10/16/2019,11:18:00,Calanoids,Pseudodiaptomus forbesi adult,7,1,57,0.3,57,3,741104,744600,Low,33.6782357
529,529,BL5,10/16/2019,11:18:00,Calanoids,Skistodiaptomus pallidus,1,1,57,0.3,57,3,741104,744600,Low,4.811176528
535,535,BL5,10/16/2019,11:18:00,Cladocera,Bosmina,3,1,57,0.3,57,3,741104,744600,Low,14.43352958
537,537,BL5,10/16/2019,11:18:00,Cladocera,Ceriodaphnia,1,1,57,0.3,57,3,741104,744600,Low,4.811176528
540,540,BL5,10/16/2019,11:18:00,Cladocera,Diaphanosoma,2,1,57,0.3,57,3,741104,744600,Low,9.622353056
497,497,BL5,10/16/2019,11:18:00,Cyclopoids,Cyclopoid copepodid,5,1,57,0.3,57,3,741104,744600,Low,24.05588264
500,500,BL5,10/16/2019,11:18:00,Cyclopoids,Eucyclops pectinifer,2,1,57,0.3,57,3,741104,744600,Low,9.622353056
492,492,BL5,10/16/2019,11:18:00,Microzooplankton_Nauplii,Copepod nauplii,330,1,57,0.3,57,3,741104,744600,Low,158.7688254
493,493,BL5,10/16/2019,11:18:00,Microzooplankton_Nauplii,Ostracods,22,1,57,0.3,57,3,741104,744600,Low,10.58458836
491,491,BL5,10/16/2019,11:18:00,Microzooplankton_Nauplii,Rotifers,6,1,57,0.3,57,3,741104,744600,Low,2.886705917
28,28,BL5-DUP,9/18/2019,11:23:00,Calanoids,Calanoid copepodid,123,1,68,0.6,68,0.7,797495,801224,Low,330.932565
35,35,BL5-DUP,9/18/2019,11:23:00,Calanoids,Pseudodiaptomus forbesi adult,27,1,68,0.6,68,0.7,797495,801224,Low,72.64373377
42,42,BL5-DUP,9/18/2019,11:23:00,Cladocera,Alona,3,1,68,0.6,68,0.7,797495,801224,Low,8.071525975
43,43,BL5-DUP,9/18/2019,11:23:00,Cladocera,Alonella,1,1,68,0.6,68,0.7,797495,801224,Low,2.690508658
45,45,BL5-DUP,9/18/2019,11:23:00,Cladocera,Bosmina,3,1,68,0.6,68,0.7,797495,801224,Low,8.071525975
46,46,BL5-DUP,9/18/2019,11:23:00,Cladocera,Camptocercus,14,1,68,0.6,68,0.7,797495,801224,Low,37.66712122
47,47,BL5-DUP,9/18/2019,11:23:00,Cladocera,Ceriodaphnia,8,1,68,0.6,68,0.7,797495,801224,Low,21.52406927
50,50,BL5-DUP,9/18/2019,11:23:00,Cladocera,Diaphanosoma,14,1,68,0.6,68,0.7,797495,801224,Low,37.66712122
53,53,BL5-DUP,9/18/2019,11:23:00,Cladocera,Graptoleberis,1,1,68,0.6,68,0.7,797495,801224,Low,2.690508658
58,58,BL5-DUP,9/18/2019,11:23:00,Cladocera,Moina,2,1,68,0.6,68,0.7,797495,801224,Low,5.381017317
65,65,BL5-DUP,9/18/2019,11:23:00,Cladocera,Simocephalus,1,1,68,0.6,68,0.7,797495,801224,Low,2.690508658
7,7,BL5-DUP,9/18/2019,11:23:00,Cyclopoids,Cyclopoid copepodid,16,1,68,0.6,68,0.7,797495,801224,Low,43.04813853
15,15,BL5-DUP,9/18/2019,11:23:00,Cyclopoids,Macrocyclops albidus,1,1,68,0.6,68,0.7,797495,801224,Low,2.690508658
17,17,BL5-DUP,9/18/2019,11:23:00,Cyclopoids,Microcyclops rubellus,3,1,68,0.6,68,0.7,797495,801224,Low,8.071525975
2,2,BL5-DUP,9/18/2019,11:23:00,Microzooplankton_Nauplii,Copepod nauplii,1,1,68,0.6,68,0.7,797495,801224,Low,2.306150279
3,3,BL5-DUP,9/18/2019,11:23:00,Microzooplankton_Nauplii,Ostracods,9,1,68,0.6,68,0.7,797495,801224,Low,20.75535251
1,1,BL5-DUP,9/18/2019,11:23:00,Microzooplankton_Nauplii,Rotifers,321,1,68,0.6,68,0.7,797495,801224,Low,740.2742394
682,682,I80,8/6/2019,9:26:00,Calanoids,Calanoid copepodid,1,1,60,0.1,60,0.3,890725,891431,Low,75.23426186
699,699,I80,8/6/2019,9:26:00,Cladocera,Bosmina,38,1,60,0.1,60,0.3,890725,891431,Low,2858.901951
701,701,I80,8/6/2019,9:26:00,Cladocera,Ceriodaphnia,9,1,60,0.1,60,0.3,890725,891431,Low,677.1083567
702,702,I80,8/6/2019,9:26:00,Cladocera,Chydorus,3,1,60,0.1,60,0.3,890725,891431,Low,225.7027856
703,703,I80,8/6/2019,9:26:00,Cladocera,Daphnia,2,1,60,0.1,60,0.3,890725,891431,Low,150.4685237
704,704,I80,8/6/2019,9:26:00,Cladocera,Diaphanosoma,68,1,60,0.1,60,0.3,890725,891431,Low,5115.929806
705,705,I80,8/6/2019,9:26:00,Cladocera,Disparalona,8,1,60,0.1,60,0.3,890725,891431,Low,601.8740949
708,708,I80,8/6/2019,9:26:00,Cladocera,Ilyocryptus,1,1,60,0.1,60,0.3,890725,891431,Low,75.23426186
712,712,I80,8/6/2019,9:26:00,Cladocera,Moina,50,1,60,0.1,60,0.3,890725,891431,Low,3761.713093
714,714,I80,8/6/2019,9:26:00,Cladocera,Picripleuroxus,3,1,60,0.1,60,0.3,890725,891431,Low,225.7027856
659,659,I80,8/6/2019,9:26:00,Cyclopoids,Acanthocyclops vernalis adult,2,1,60,0.1,60,0.3,890725,891431,Low,150.4685237
662,662,I80,8/6/2019,9:26:00,Cyclopoids,Cyclopoid copepodid,77,1,60,0.1,60,0.3,890725,891431,Low,5793.038163
671,671,I80,8/6/2019,9:26:00,Cyclopoids,Microcyclops rubellus,1,1,60,0.1,60,0.3,890725,891431,Low,75.23426186
720,720,I80,8/6/2019,9:26:00,Harpacticoids,Harpacticoids,3,1,60,0.1,60,0.3,890725,891431,Low,225.7027856
656,656,I80,8/6/2019,9:26:00,Microzooplankton_Nauplii,Copepod nauplii,7,1,60,0.1,60,0.3,890725,891431,Low,175.546611
657,657,I80,8/6/2019,9:26:00,Microzooplankton_Nauplii,Ostracods,8,1,60,0.1,60,0.3,890725,891431,Low,200.6246983
655,655,I80,8/6/2019,9:26:00,Microzooplankton_Nauplii,Rotifers,292,1,60,0.1,60,0.3,890725,891431,Low,7322.801487
764,764,I80,8/20/2019,9:27:00,Calanoids,Calanoid copepodid,17,1,50,0.2,50,0.4,932045,933000,Low,393.9623084
771,771,I80,8/20/2019,9:27:00,Calanoids,Pseudodiaptomus forbesi adult,1,1,50,0.2,50,0.4,932045,933000,Low,23.17425343
778,778,I80,8/20/2019,9:27:00,Cladocera,Alona,5,1,50,0.2,50,0.4,932045,933000,Low,115.8712672
781,781,I80,8/20/2019,9:27:00,Cladocera,Bosmina,24,1,50,0.2,50,0.4,932045,933000,Low,556.1820824
783,783,I80,8/20/2019,9:27:00,Cladocera,Ceriodaphnia,14,1,50,0.2,50,0.4,932045,933000,Low,324.4395481
784,784,I80,8/20/2019,9:27:00,Cladocera,Chydorus,2,1,50,0.2,50,0.4,932045,933000,Low,46.34850687
785,785,I80,8/20/2019,9:27:00,Cladocera,Daphnia,6,1,50,0.2,50,0.4,932045,933000,Low,139.0455206
786,786,I80,8/20/2019,9:27:00,Cladocera,Diaphanosoma,72,1,50,0.2,50,0.4,932045,933000,Low,1668.546247
787,787,I80,8/20/2019,9:27:00,Cladocera,Disparalona,2,1,50,0.2,50,0.4,932045,933000,Low,46.34850687
790,790,I80,8/20/2019,9:27:00,Cladocera,Ilyocryptus,4,1,50,0.2,50,0.4,932045,933000,Low,92.69701374
791,791,I80,8/20/2019,9:27:00,Cladocera,Kurzia,1,1,50,0.2,50,0.4,932045,933000,Low,23.17425343
793,793,I80,8/20/2019,9:27:00,Cladocera,Macrothrix,7,1,50,0.2,50,0.4,932045,933000,Low,162.219774
794,794,I80,8/20/2019,9:27:00,Cladocera,Moina,13,1,50,0.2,50,0.4,932045,933000,Low,301.2652946
796,796,I80,8/20/2019,9:27:00,Cladocera,Picripleuroxus,1,1,50,0.2,50,0.4,932045,933000,Low,23.17425343
744,744,I80,8/20/2019,9:27:00,Cyclopoids,Cyclopoid copepodid,39,1,50,0.2,50,0.4,932045,933000,Low,903.7958839
747,747,I80,8/20/2019,9:27:00,Cyclopoids,Eucyclops pectinifer,1,1,50,0.2,50,0.4,932045,933000,Low,23.17425343
738,738,I80,8/20/2019,9:27:00,Microzooplankton_Nauplii,Copepod nauplii,22,1,50,0.2,50,0.4,932045,933000,Low,254.9167878
739,739,I80,8/20/2019,9:27:00,Microzooplankton_Nauplii,Ostracods,14,1,50,0.2,50,0.4,932045,933000,Low,162.219774
737,737,I80,8/20/2019,9:27:00,Microzooplankton_Nauplii,Rotifers,249,1,50,0.2,50,0.4,932045,933000,Low,2885.194553
863,863,I80,9/3/2019,9:50:00,Cladocera,Bosmina,25,1,86,1.75,86,1.75,928348,929440,Low,99.59714467
865,865,I80,9/3/2019,9:50:00,Cladocera,Ceriodaphnia,27,1,86,1.75,86,1.75,928348,929440,Low,107.5649162
866,866,I80,9/3/2019,9:50:00,Cladocera,Chydorus,12,1,86,1.75,86,1.75,928348,929440,Low,47.80662944
872,872,I80,9/3/2019,9:50:00,Cladocera,Ilyocryptus,13,1,86,1.75,86,1.75,928348,929440,Low,51.79051523
873,873,I80,9/3/2019,9:50:00,Cladocera,Kurzia,2,1,86,1.75,86,1.75,928348,929440,Low,7.967771573
876,876,I80,9/3/2019,9:50:00,Cladocera,Moina,4,1,86,1.75,86,1.75,928348,929440,Low,15.93554315
878,878,I80,9/3/2019,9:50:00,Cladocera,Picripleuroxus,2,1,86,1.75,86,1.75,928348,929440,Low,7.967771573
879,879,I80,9/3/2019,9:50:00,Cladocera,Pleuroxus,5,1,86,1.75,86,1.75,928348,929440,Low,19.91942893
883,883,I80,9/3/2019,9:50:00,Cladocera,Simocephalus,4,1,86,1.75,86,1.75,928348,929440,Low,15.93554315
823,823,I80,9/3/2019,9:50:00,Cyclopoids,Acanthocyclops vernalis adult,1,1,86,1.75,86,1.75,928348,929440,Low,3.983885787
826,826,I80,9/3/2019,9:50:00,Cyclopoids,Cyclopoid copepodid,26,1,86,1.75,86,1.75,928348,929440,Low,103.5810305
835,835,I80,9/3/2019,9:50:00,Cyclopoids,Microcyclops rubellus,4,1,86,1.75,86,1.75,928348,929440,Low,15.93554315
841,841,I80,9/3/2019,9:50:00,Cyclopoids,Paracyclops chiltoni,1,1,86,1.75,86,1.75,928348,929440,Low,3.983885787
884,884,I80,9/3/2019,9:50:00,Harpacticoids,Harpacticoids,1,1,86,1.75,86,1.75,928348,929440,Low,3.983885787
820,820,I80,9/3/2019,9:50:00,Microzooplankton_Nauplii,Copepod nauplii,9,1,86,1.75,86,1.75,928348,929440,Low,35.85497208
821,821,I80,9/3/2019,9:50:00,Microzooplankton_Nauplii,Ostracods,13,1,86,1.75,86,1.75,928348,929440,Low,51.79051523
819,819,I80,9/3/2019,9:50:00,Microzooplankton_Nauplii,Rotifers,83,1,86,1.75,86,1.75,928348,929440,Low,330.6625203
927,927,I80,9/17/2019,9:13:00,Calanoids,Calanoid copepodid,12,1,103,9,103,1.9,922205,925000,Low,4.349739657
939,939,I80,9/17/2019,9:13:00,Calanoids,Skistodiaptomus pallidus,1,1,103,9,103,1.9,922205,925000,Low,0.362478305
942,942,I80,9/17/2019,9:13:00,Cladocera,Alona,6,1,103,9,103,1.9,922205,925000,Low,2.174869829
944,944,I80,9/17/2019,9:13:00,Cladocera,Bosmina,7,1,103,9,103,1.9,922205,925000,Low,2.537348133
946,946,I80,9/17/2019,9:13:00,Cladocera,Ceriodaphnia,20,1,103,9,103,1.9,922205,925000,Low,7.249566095
947,947,I80,9/17/2019,9:13:00,Cladocera,Chydorus,15,1,103,9,103,1.9,922205,925000,Low,5.437174571
949,949,I80,9/17/2019,9:13:00,Cladocera,Diaphanosoma,7,1,103,9,103,1.9,922205,925000,Low,2.537348133
950,950,I80,9/17/2019,9:13:00,Cladocera,Disparalona,1,1,103,9,103,1.9,922205,925000,Low,0.362478305
953,953,I80,9/17/2019,9:13:00,Cladocera,Ilyocryptus,5,1,103,9,103,1.9,922205,925000,Low,1.812391524
954,954,I80,9/17/2019,9:13:00,Cladocera,Kurzia,4,1,103,9,103,1.9,922205,925000,Low,1.449913219
957,957,I80,9/17/2019,9:13:00,Cladocera,Moina,4,1,103,9,103,1.9,922205,925000,Low,1.449913219
963,963,I80,9/17/2019,9:13:00,Cladocera,Simocephalus,1,1,103,9,103,1.9,922205,925000,Low,0.362478305
904,904,I80,9/17/2019,9:13:00,Cyclopoids,Acanthocyclops vernalis adult,6,1,103,9,103,1.9,922205,925000,Low,2.174869829
907,907,I80,9/17/2019,9:13:00,Cyclopoids,Cyclopoid copepodid,95,1,103,9,103,1.9,922205,925000,Low,34.43543895
916,916,I80,9/17/2019,9:13:00,Cyclopoids,Mesocyclops edax,2,1,103,9,103,1.9,922205,925000,Low,0.72495661
917,917,I80,9/17/2019,9:13:00,Cyclopoids,Microcyclops rubellus,25,1,103,9,103,1.9,922205,925000,Low,9.061957619
922,922,I80,9/17/2019,9:13:00,Cyclopoids,Tropocyclops prasinus,5,1,103,9,103,1.9,922205,925000,Low,1.812391524
964,964,I80,9/17/2019,9:13:00,Harpacticoids,Harpacticoids,3,1,103,9,103,1.9,922205,925000,Low,1.087434914
902,902,I80,9/17/2019,9:13:00,Microzooplankton_Nauplii,Copepod nauplii,21,1,103,9,103,1.9,922205,925000,Low,36.05705242
903,903,I80,9/17/2019,9:13:00,Microzooplankton_Nauplii,Ostracods,16,1,103,9,103,1.9,922205,925000,Low,27.47203994
901,901,I80,9/17/2019,9:13:00,Microzooplankton_Nauplii,Rotifers,66,1,103,9,103,1.9,922205,925000,Low,113.3221648
1008,1008,I80,10/1/2019,9:14:00,Calanoids,Calanoid copepodid,19,1,68,0.4,68,0.4,920014,920700,Low,416.8190137
1015,1015,I80,10/1/2019,9:14:00,Calanoids,Pseudodiaptomus forbesi adult,1,1,68,0.4,68,0.4,920014,920700,Low,21.93784283
1022,1022,I80,10/1/2019,9:14:00,Cladocera,Alona,3,1,68,0.4,68,0.4,920014,920700,Low,65.81352849
1025,1025,I80,10/1/2019,9:14:00,Cladocera,Bosmina,14,1,68,0.4,68,0.4,920014,920700,Low,307.1297996
1027,1027,I80,10/1/2019,9:14:00,Cladocera,Ceriodaphnia,27,1,68,0.4,68,0.4,920014,920700,Low,592.3217564
1034,1034,I80,10/1/2019,9:14:00,Cladocera,Ilyocryptus,3,1,68,0.4,68,0.4,920014,920700,Low,65.81352849
1037,1037,I80,10/1/2019,9:14:00,Cladocera,Macrothrix,3,1,68,0.4,68,0.4,920014,920700,Low,65.81352849
1038,1038,I80,10/1/2019,9:14:00,Cladocera,Moina,1,1,68,0.4,68,0.4,920014,920700,Low,21.93784283
987,987,I80,10/1/2019,9:14:00,Cyclopoids,Cyclopoid copepodid,158,1,68,0.4,68,0.4,920014,920700,Low,3466.179167
996,996,I80,10/1/2019,9:14:00,Cyclopoids,Microcyclops rubellus,2,1,68,0.4,68,0.4,920014,920700,Low,43.87568566
982,982,I80,10/1/2019,9:14:00,Microzooplankton_Nauplii,Copepod nauplii,34,1,68,0.4,68,0.4,920014,920700,Low,745.8866562
983,983,I80,10/1/2019,9:14:00,Microzooplankton_Nauplii,Ostracods,1,1,68,0.4,68,0.4,920014,920700,Low,21.93784283
981,981,I80,10/1/2019,9:14:00,Microzooplankton_Nauplii,Rotifers,320,1,68,0.4,68,0.4,920014,920700,Low,7020.109705
1090,1090,I80,10/15/2019,14:24:00,Calanoids,Arctodiaptomus dorsalis,3,1,49,1.2,49,1,914459,915000,Low,20.04508668
1091,1091,I80,10/15/2019,14:24:00,Calanoids,Calanoid copepodid,3,1,49,1.2,49,1,914459,915000,Low,20.04508668
1102,1102,I80,10/15/2019,14:24:00,Calanoids,Skistodiaptomus pallidus,1,1,49,1.2,49,1,914459,915000,Low,6.68169556
1105,1105,I80,10/15/2019,14:24:00,Cladocera,Alona,12,1,49,1.2,49,1,914459,915000,Low,80.18034673
1108,1108,I80,10/15/2019,14:24:00,Cladocera,Bosmina,8,1,49,1.2,49,1,914459,915000,Low,53.45356448
1110,1110,I80,10/15/2019,14:24:00,Cladocera,Ceriodaphnia,2,1,49,1.2,49,1,914459,915000,Low,13.36339112
1111,1111,I80,10/15/2019,14:24:00,Cladocera,Chydorus,11,1,49,1.2,49,1,914459,915000,Low,73.49865116
1113,1113,I80,10/15/2019,14:24:00,Cladocera,Diaphanosoma,2,1,49,1.2,49,1,914459,915000,Low,13.36339112
1117,1117,I80,10/15/2019,14:24:00,Cladocera,Ilyocryptus,4,1,49,1.2,49,1,914459,915000,Low,26.72678224
