Experiment,Location,Date,Cage ID,Tag,Fullness,Digestion,Total Contents Weight,Prey Taxa,LH Stage,Count,Taxa Weight,Comments
Cage Prototypes,Sac DWSC,3/27/2019,F,RI08,4,4,0.002,Acari,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI08,4,4,0.002,Acanthocyclops sp.,copepodid,15,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI08,4,4,0.002,Acanthocyclops sp.,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI08,4,4,0.002,Cyclopoida,copepodid,6,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI08,4,4,0.002,Eucyclops sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI08,4,4,0.002,Diacyclops thomasi,undetermined,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RD54,2,6,0.0005,Eogammarus confervicolus,juvenile,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RD54,2,6,0.0005,Americorophium spinicorne,juvenile,2,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RD54,2,6,0.0005,Pseudodiaptomus forbesi,adult,2,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RD54,2,6,0.0005,Acanthocyclops sp.,adult,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RD35,5,5,0.0037,Eogammarus confervicolus,undetermined,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RD35,5,5,0.0037,Americorophium sp.,juvenile,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RD35,5,5,0.0037,Americorophium spinicorne,adult,2,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RA96,5,6,0.0034,Eogammarus confervicolus,juvenile,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RA96,5,6,0.0034,Americorophium sp.,juvenile,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RA96,5,6,0.0034,Americorophium spinicorne,adult,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RA96,5,6,0.0034,Acanthocyclops sp.,copepodid,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RD45,2,6,0.0002,Americorophium sp.,juvenile,2,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RD45,2,6,0.0002,Acanthocyclops sp.,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI87,4,3,0.0025,Acanthocyclops sp.,copepodid,15,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI87,4,3,0.0025,Acanthocyclops sp.,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI87,4,3,0.0025,Cyclopoida,copepodid,17,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI87,4,3,0.0025,Bosmina sp.,undetermined,5,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI87,4,3,0.0025,Chydorus sp.,undetermined,11,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI87,4,3,0.0025,Ostracoda,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI87,4,3,0.0025,Chironomidae,larva,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI87,4,3,0.0025,Daphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI87,4,3,0.0025,Chydoridae,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RD43,4,5,0.0015,Harpacticoida,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RD43,4,5,0.0015,Acanthocyclops sp.,copepodid,34,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RD43,4,5,0.0015,Acanthocyclops sp.,adult,4,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RD43,4,5,0.0015,Cyclopoida,copepodid,14,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RD43,4,5,0.0015,Bosmina sp.,undetermined,12,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RD43,4,5,0.0015,Chydorus sp.,undetermined,14,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RD43,4,5,0.0015,Eurytemora affinis,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RD43,4,5,0.0015,Eucyclops sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RD43,4,5,0.0015,Ceriodaphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RH89,3,5,0.0004,Eurytemora affinis,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RH89,3,5,0.0004,Bosmina sp.,undetermined,5,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RH89,3,5,0.0004,Chydorus sp.,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RH89,3,5,0.0004,Ceriodaphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RH89,3,5,0.0004,Fish,eggs,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RH89,3,5,0.0004,Acanthocyclops sp.,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RH89,3,5,0.0004,Acanthocyclops sp.,copepodid,9,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Acanthocyclops sp.,adult,6,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Acanthocyclops sp.,copepodid,82,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Cyclopoida,copepodid,70,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Bosmina sp.,undetermined,38,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Chydorus sp.,undetermined,33,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Daphnia sp.,undetermined,6,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Ceriodaphnia sp.,undetermined,4,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Acanthocyclops sp.,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Eucyclops sp.,undetermined,4,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Eurytemora affinis,adult,3,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB51,6,5,0.0083,Eurytemora affinis,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Acanthocyclops sp.,adult,5,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Acanthocyclops sp.,copepodid,67,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Cyclopoida,copepodid,56,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Bosmina sp.,undetermined,17,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Chydorus sp.,undetermined,15,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Daphnia sp.,undetermined,3,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Ceriodaphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Scapholeberis sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Ostracoda,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Harpacticoida,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Eurytemora affinis,adult,5,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Eurytemora affinis,copepodid,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Diacyclops thomasi,undetermined,3,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Diaptomidae,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Calanoida,copepodid,3,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN51,5,5,0.0048,Chydoridae,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Acanthocyclops sp.,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Acanthocyclops sp.,copepodid,41,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Cyclopoida,copepodid,20,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Bosmina sp.,undetermined,20,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Chydorus sp.,undetermined,21,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Diacyclops thomasi,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Chydoridae,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Eurytemora affinis,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Eurytemora affinis,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Daphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Ceriodaphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Ostracoda,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RB15,4,5,0.0047,Chironomidae,larva,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Acanthocyclops sp.,adult,6,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Acanthocyclops sp.,copepodid,40,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Cyclopoida,copepodid,13,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Bosmina sp.,undetermined,11,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Chydorus sp.,undetermined,11,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Eucyclops sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Daphnia sp.,undetermined,3,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Eurytemora affinis,adult,3,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Calanoida,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RG69,4,5,0.0032,Ceriodaphnia sp.,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Acanthocyclops sp.,adult,39,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Acanthocyclops sp.,copepodid,24,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Cyclopoida,copepodid,9,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Bosmina sp.,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Chydorus sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Diacyclops thomasi,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Diaptomidae,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Diaptomidae,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Eurytemora affinis,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Calanoida,copepodid,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RN63,4,4,0.0036,Ceriodaphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RA20,1,0,0,empty,,,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Acanthocyclops sp.,adult,1,,~30% of diet was plant detritus
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Acanthocyclops sp.,copepodid,26,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Cyclopoida,copepodid,6,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Bosmina sp.,undetermined,18,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Chydorus sp.,undetermined,10,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Diacyclops thomasi,undetermined,3,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Eucyclops sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Eurytemora affinis,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Diaptomidae,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,RJ34,4,5,0.0027,Daphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Acanthocyclops sp.,adult,10,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Acanthocyclops sp.,copepodid,69,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Cyclopoida,copepodid,17,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Bosmina sp.,undetermined,26,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Chydorus sp.,undetermined,19,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Diacyclops thomasi,undetermined,8,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Eurytemora affinis,adult,5,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Eurytemora affinis,copepodid,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Sinocalanus doerrii,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Sinocalanus doerrii,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Diaptomidae,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Diaptomidae,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,OO73,5,5,0.0039,Daphnia sp.,undetermined,5,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Acanthocyclops sp.,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Acanthocyclops sp.,copepodid,28,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Cyclopoida,copepodid,9,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Bosmina sp.,undetermined,3,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Chydorus sp.,undetermined,7,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Diacyclops thomasi,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Eucyclops sp.,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Ostracoda,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Eurytemora affinis,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RF32,4,5,0.0022,Ceriodaphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Acanthocyclops sp.,adult,13,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Acanthocyclops sp.,copepodid,59,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Cyclopoida,copepodid,19,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Bosmina sp.,undetermined,13,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Chydorus sp.,undetermined,27,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Diacyclops thomasi,undetermined,15,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Daphnia sp.,undetermined,5,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Simocephalus sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Chydoridae,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Eurytemora affinis,adult,6,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Eurytemora affinis,copepodid,10,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Diaptomidae,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RN93,5,5,0.0052,Pseudodiaptomus forbesi,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Acanthocyclops sp.,adult,3,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Acanthocyclops sp.,copepodid,34,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Cyclopoida,copepodid,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Bosmina sp.,undetermined,8,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Chydorus sp.,undetermined,19,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Diacyclops thomasi,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Chydoridae,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Eurytemora affinis,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Eurytemora affinis,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Eucyclops sp.,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Ceriodaphnia sp.,undetermined,3,,
Cage Prototypes,Sac DWSC,3/27/2019,E,OO19,4,5,0.003,Insecta,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Acanthocyclops sp.,adult,3,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Acanthocyclops sp.,copepodid,29,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Cyclopoida,copepodid,13,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Bosmina sp.,undetermined,8,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Chydorus sp.,undetermined,20,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Diacyclops thomasi,undetermined,5,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Ostracoda,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Scapholeberis sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Daphnia sp.,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Calanoida,copepodid,4,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Eurytemora affinis,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RG31,5,4,0.0049,Eucyclops sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Acanthocyclops sp.,copepodid,19,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Cyclopoida,copepodid,3,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Bosmina sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Chydorus sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Diacyclops thomasi,undetermined,5,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Eurytemora affinis,adult,3,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Eurytemora affinis,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Sinocalanus doerrii,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Sinocalanus doerrii,copepodid,2,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RB43,4,4,0.0033,Calanoida,copepodid,4,,
Cage Prototypes,Sac DWSC,3/27/2019,C,RN73,4,5,0.0015,Acanthocyclops sp.,adult,2,,
Cage Prototypes,Sac DWSC,3/27/2019,C,RN73,4,5,0.0015,Acanthocyclops sp.,copepodid,23,,
Cage Prototypes,Sac DWSC,3/27/2019,C,RN73,4,5,0.0015,Cyclopoida,copepodid,5,,
Cage Prototypes,Sac DWSC,3/27/2019,C,RN73,4,5,0.0015,Bosmina sp.,undetermined,3,,
Cage Prototypes,Sac DWSC,3/27/2019,C,RN73,4,5,0.0015,Chydorus sp.,undetermined,16,,
Cage Prototypes,Sac DWSC,3/27/2019,C,RN73,4,5,0.0015,Diacyclops thomasi,undetermined,4,,
Cage Prototypes,Sac DWSC,3/27/2019,C,RN73,4,5,0.0015,Eurytemora affinis,adult,3,,
Cage Prototypes,Sac DWSC,3/27/2019,C,RN73,4,5,0.0015,Calanoida,copepodid,2,,
Cage Prototypes,Sac DWSC,3/27/2019,C,RN73,4,5,0.0015,Ceriodaphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Acanthocyclops sp.,adult,3,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Acanthocyclops sp.,copepodid,17,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Cyclopoida,copepodid,11,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Bosmina sp.,undetermined,25,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Chydorus sp.,undetermined,14,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Diacyclops thomasi,undetermined,2,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Eurytemora affinis,adult,4,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Eurytemora affinis,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Calanoida,copepodid,2,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Chydoridae,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,C,OO67,4,4,0.003,Ceriodaphnia sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Acanthocyclops sp.,adult,5,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Acanthocyclops sp.,copepodid,24,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Cyclopoida,copepodid,11,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Bosmina sp.,undetermined,8,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Chydorus sp.,undetermined,6,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Eurytemora affinis,adult,3,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Eurytemora affinis,copepodid,2,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Eucyclops sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Diacyclops thomasi,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Diaptomidae,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Calanoida,copepodid,1,,
Cage Prototypes,Sac DWSC,3/27/2019,B,RA25,4,4,0.0031,Ceriodaphnia sp.,undetermined,1,,
