Experiment,Location,Date,Cage.ID,Tag,Contents.Weight,Fullness,Digestion,Prey.Taxa,LH.Stage,Count,Taxa,Comments,
Cage Prototypes,DWSC,3/27/2019,F,RI08,0.002,4,4,Acari,undetermined,1,Other,,
Cage Prototypes,DWSC,3/27/2019,F,RI08,0.002,4,4,Acanthocyclops sp.,copepodid,15,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RI08,0.002,4,4,Acanthocyclops sp.,adult,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RI08,0.002,4,4,Cyclopoida,copepodid,6,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RI08,0.002,4,4,Eucyclops sp.,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RI08,0.002,4,4,Diacyclops thomasi,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RD54,0.0005,2,6,Eogammarus confervicolus,juvenile,1,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RD54,0.0005,2,6,Americorophium spinicorne,juvenile,2,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RD54,0.0005,2,6,Pseudodiaptomus forbesi,adult,2,Calanoida,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RD54,0.0005,2,6,Acanthocyclops sp.,adult,1,Cyclopoida,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RD35,0.0037,5,5,Eogammarus confervicolus,undetermined,1,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RD35,0.0037,5,5,Americorophium sp.,juvenile,1,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RD35,0.0037,5,5,Americorophium spinicorne,adult,2,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RA96,0.0034,5,6,Eogammarus confervicolus,juvenile,1,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RA96,0.0034,5,6,Americorophium sp.,juvenile,1,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RA96,0.0034,5,6,Americorophium spinicorne,adult,1,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RA96,0.0034,5,6,Acanthocyclops sp.,copepodid,1,Cyclopoida,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RD45,0.0002,2,6,Americorophium sp.,juvenile,2,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RD45,0.0002,2,6,Acanthocyclops sp.,copepodid,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RI87,0.0025,4,3,Acanthocyclops sp.,copepodid,15,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RI87,0.0025,4,3,Acanthocyclops sp.,adult,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RI87,0.0025,4,3,Cyclopoida,copepodid,17,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RI87,0.0025,4,3,Bosmina sp.,undetermined,5,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RI87,0.0025,4,3,Chydorus sp.,undetermined,11,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RI87,0.0025,4,3,Ostracoda,undetermined,1,Ostracoda,,
Cage Prototypes,DWSC,3/27/2019,F,RI87,0.0025,4,3,Chironomidae,larva,1,Diptera,,
Cage Prototypes,DWSC,3/27/2019,F,RI87,0.0025,4,3,Daphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RI87,0.0025,4,3,Chydoridae,undetermined,2,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,RD43,0.0015,4,5,Harpacticoida,adult,2,Harpacticoda,,
Cage Prototypes,DWSC,3/27/2019,E,RD43,0.0015,4,5,Acanthocyclops sp.,copepodid,34,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RD43,0.0015,4,5,Acanthocyclops sp.,adult,4,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RD43,0.0015,4,5,Cyclopoida,copepodid,14,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RD43,0.0015,4,5,Bosmina sp.,undetermined,12,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,RD43,0.0015,4,5,Chydorus sp.,undetermined,14,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,RD43,0.0015,4,5,Eurytemora affinis,adult,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,RD43,0.0015,4,5,Eucyclops sp.,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RD43,0.0015,4,5,Ceriodaphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RH89,0.0004,3,5,Eurytemora affinis,adult,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RH89,0.0004,3,5,Bosmina sp.,undetermined,5,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RH89,0.0004,3,5,Chydorus sp.,undetermined,2,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RH89,0.0004,3,5,Ceriodaphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RH89,0.0004,3,5,Fish,eggs,1,Other,,
Cage Prototypes,DWSC,3/27/2019,F,RH89,0.0004,3,5,Acanthocyclops sp.,adult,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RH89,0.0004,3,5,Acanthocyclops sp.,copepodid,9,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Acanthocyclops sp.,adult,6,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Acanthocyclops sp.,copepodid,82,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Cyclopoida,copepodid,70,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Bosmina sp.,undetermined,38,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Chydorus sp.,undetermined,33,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Daphnia sp.,undetermined,6,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Ceriodaphnia sp.,undetermined,4,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Acanthocyclops sp.,adult,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Eucyclops sp.,undetermined,4,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Eurytemora affinis,adult,3,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB51,0.0083,6,5,Eurytemora affinis,adult,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Acanthocyclops sp.,adult,5,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Acanthocyclops sp.,copepodid,67,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Cyclopoida,copepodid,56,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Bosmina sp.,undetermined,17,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Chydorus sp.,undetermined,15,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Daphnia sp.,undetermined,3,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Ceriodaphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Scapholeberis sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Ostracoda,undetermined,1,Ostracoda,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Harpacticoida,adult,1,Harpacticoda,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Eurytemora affinis,adult,5,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Eurytemora affinis,copepodid,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Diacyclops thomasi,undetermined,3,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Diaptomidae,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Calanoida,copepodid,3,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN51,0.0048,5,5,Chydoridae,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Acanthocyclops sp.,adult,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Acanthocyclops sp.,copepodid,41,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Cyclopoida,copepodid,20,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Bosmina sp.,undetermined,20,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Chydorus sp.,undetermined,21,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Diacyclops thomasi,undetermined,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Chydoridae,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Eurytemora affinis,adult,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Eurytemora affinis,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Daphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Ceriodaphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Ostracoda,undetermined,2,Ostracoda,,
Cage Prototypes,DWSC,3/27/2019,F,RB15,0.0047,4,5,Chironomidae,larva,1,Diptera,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Acanthocyclops sp.,adult,6,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Acanthocyclops sp.,copepodid,40,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Cyclopoida,copepodid,13,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Bosmina sp.,undetermined,11,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Chydorus sp.,undetermined,11,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Eucyclops sp.,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Daphnia sp.,undetermined,3,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Eurytemora affinis,adult,3,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Calanoida,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RG69,0.0032,4,5,Ceriodaphnia sp.,undetermined,2,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Acanthocyclops sp.,adult,39,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Acanthocyclops sp.,copepodid,24,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Cyclopoida,copepodid,9,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Bosmina sp.,undetermined,2,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Chydorus sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Diacyclops thomasi,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Diaptomidae,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Diaptomidae,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Eurytemora affinis,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Calanoida,copepodid,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,RN63,0.0036,4,4,Ceriodaphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,RA20,0,1,0,empty,,,empty,,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Acanthocyclops sp.,adult,1,Cyclopoida,~30% of diet was plant detritus,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Acanthocyclops sp.,copepodid,26,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Cyclopoida,copepodid,6,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Bosmina sp.,undetermined,18,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Chydorus sp.,undetermined,10,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Diacyclops thomasi,undetermined,3,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Eucyclops sp.,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Eurytemora affinis,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Diaptomidae,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,RJ34,0.0027,4,5,Daphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Acanthocyclops sp.,adult,10,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Acanthocyclops sp.,copepodid,69,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Cyclopoida,copepodid,17,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Bosmina sp.,undetermined,26,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Chydorus sp.,undetermined,19,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Diacyclops thomasi,undetermined,8,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Eurytemora affinis,adult,5,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Eurytemora affinis,copepodid,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Sinocalanus doerrii,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Sinocalanus doerrii,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Diaptomidae,adult,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Diaptomidae,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,OO73,0.0039,5,5,Daphnia sp.,undetermined,5,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Acanthocyclops sp.,adult,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Acanthocyclops sp.,copepodid,28,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Cyclopoida,copepodid,9,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Bosmina sp.,undetermined,3,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Chydorus sp.,undetermined,7,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Diacyclops thomasi,undetermined,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Eucyclops sp.,undetermined,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Ostracoda,undetermined,1,Ostracoda,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Eurytemora affinis,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RF32,0.0022,4,5,Ceriodaphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Acanthocyclops sp.,adult,13,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Acanthocyclops sp.,copepodid,59,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Cyclopoida,copepodid,19,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Bosmina sp.,undetermined,13,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Chydorus sp.,undetermined,27,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Diacyclops thomasi,undetermined,15,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Daphnia sp.,undetermined,5,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Simocephalus sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Chydoridae,undetermined,2,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Eurytemora affinis,adult,6,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Eurytemora affinis,copepodid,10,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Diaptomidae,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RN93,0.0052,5,5,Pseudodiaptomus forbesi,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Acanthocyclops sp.,adult,3,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Acanthocyclops sp.,copepodid,34,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Cyclopoida,copepodid,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Bosmina sp.,undetermined,8,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Chydorus sp.,undetermined,19,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Diacyclops thomasi,undetermined,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Chydoridae,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Eurytemora affinis,adult,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Eurytemora affinis,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Eucyclops sp.,undetermined,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Ceriodaphnia sp.,undetermined,3,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,E,OO19,0.003,4,5,Insecta,adult,2,Other,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Acanthocyclops sp.,adult,3,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Acanthocyclops sp.,copepodid,29,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Cyclopoida,copepodid,13,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Bosmina sp.,undetermined,8,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Chydorus sp.,undetermined,20,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Diacyclops thomasi,undetermined,5,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Ostracoda,undetermined,1,Ostracoda,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Scapholeberis sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Daphnia sp.,undetermined,2,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Calanoida,copepodid,4,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Eurytemora affinis,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,B,RG31,0.0049,5,4,Eucyclops sp.,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Acanthocyclops sp.,copepodid,19,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Cyclopoida,copepodid,3,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Bosmina sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Chydorus sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Diacyclops thomasi,undetermined,5,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Eurytemora affinis,adult,3,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Eurytemora affinis,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Sinocalanus doerrii,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Sinocalanus doerrii,copepodid,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,B,RB43,0.0033,4,4,Calanoida,copepodid,4,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,C,RN73,0.0015,4,5,Acanthocyclops sp.,adult,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,C,RN73,0.0015,4,5,Acanthocyclops sp.,copepodid,23,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,C,RN73,0.0015,4,5,Cyclopoida,copepodid,5,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,C,RN73,0.0015,4,5,Bosmina sp.,undetermined,3,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,C,RN73,0.0015,4,5,Chydorus sp.,undetermined,16,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,C,RN73,0.0015,4,5,Diacyclops thomasi,undetermined,4,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,C,RN73,0.0015,4,5,Eurytemora affinis,adult,3,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,C,RN73,0.0015,4,5,Calanoida,copepodid,2,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,C,RN73,0.0015,4,5,Ceriodaphnia sp.,undetermined,1,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,C,OO67,0.003,4,4,Acanthocyclops sp.,adult,3,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,C,OO67,0.003,4,4,Acanthocyclops sp.,copepodid,17,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,C,OO67,0.003,4,4,Cyclopoida,copepodid,11,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,C,OO67,0.003,4,4,Bosmina sp.,undetermined,25,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,C,OO67,0.003,4,4,Chydorus sp.,undetermined,14,Cladocera,,
Cage Prototypes,DWSC,3/27/2019,C,OO67,0.003,4,4,Diacyclops thomasi,undetermined,2,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,C,OO67,0.003,4,4,Eurytemora affinis,adult,4,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,C,OO67,0.003,4,4,Eurytemora affinis,copepodid,1,Calanoida,,
