MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,5/17/2016,9:10,D41A,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,11.1,i,BSA.05-03,KS,Girdle view. Moderate sediment and detritus.,cylinder,1074.13,,,,,,,,,,
Phyto,5/17/2016,9:10,D41A,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,5.6,i,BSA.05-03,KS,Moderate sediment and detritus.,cylinder,91.13,,,,,,,,,,
Phyto,5/17/2016,9:10,D41A,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,11.1,i,BSA.05-03,KS,Moderate sediment and detritus.,cylinder,541.91,,,,,,,,,,
Phyto,5/17/2016,9:10,D41A,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,1031,cf. Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,5.6,i,BSA.05-03,KS,Moderate sediment and detritus.,sphere,91.95,,,,,,,,,,
Phyto,5/17/2016,9:10,D41A,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,1692,Kephyrion sp.,Soft Body,Kephyrion,sp.,,2,2,5.6,i,BSA.05-03,KS,Moderate sediment and detritus.,prolate spheroid,40.14,,,,,,,,,,
Phyto,5/17/2016,9:10,D41A,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,1352,cf. Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,16.7,i,BSA.05-03,KS,Obscured by detritus. Moderate sediment and detritus.,prolate spheroid,1077.36,,,,,,,,,,
Phyto,5/17/2016,9:10,D41A,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,7.4,i,BSA.05-03,KS,Moderate sediment and detritus.,cone + half sphere,186.37,,,,,,,,,,
Phyto,5/17/2016,9:10,D41A,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,393,823,0.8,c,BSA.05-03,KS,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/17/2016,12:05,D6,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18.5,i,BSA.05-04,KS,Moderate sediment and detritus. Many broken diatoms.,elliptic prism,499.97,,,,,,,,,,
Phyto,5/17/2016,12:05,D6,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,766,Paralia sulcata,Diatom,Paralia,sulcata,,1,1,11.1,i,BSA.05-04,KS,Moderate sediment and detritus. Many broken diatoms.,cylinder,541.91,,,,,,,,,,
Phyto,5/17/2016,12:05,D6,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,404,813,0.8,c,BSA.05-04,KS,Moderate sediment and detritus. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/12/2016,7:55,D26,63,3,4.76%,0.0697,314.159,0.627718491,9,166.83,91,Aulacoseira granulata,Diatom,Aulacoseira,granulata,,5,5,22.2,c,BSA.05-05,KS,Low sediment.,cylinder,1508.02,,,,,,,,,,
Phyto,5/12/2016,7:55,D26,63,3,4.76%,0.0697,314.159,0.627718491,9,166.83,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,64,64,31.5,c,BSA.05-05,KS,Low sediment.,cylinder,2139.76,,,,,,,,,,
Phyto,5/12/2016,7:55,D26,63,3,4.76%,0.0697,314.159,0.627718491,9,166.83,923,Staurosira cf.  venter,Diatom,Staurosira,venter,,1,1,5.6,i,BSA.05-05,KS,Girdle view. Low sediment.,elliptic prism,93.07,,,,,,,,,,
Phyto,5/12/2016,7:55,D26,63,3,4.76%,0.0697,314.159,0.627718491,9,166.83,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,362,750,0.8,c,BSA.05-05,KS,Low sediment.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,13,i,BSA.05-06,KS,High sediment.,elliptic prism,139.78,,,,,,,,,,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,16,16,37,c,BSA.05-06,KS,High sediment.,cylinder,4911.09,,,,,,,,,,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,14.8,i,BSA.05-06,KS,High sediment.,elliptic prism,399.98,,,,,,,,,,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1732,Entomoneis cf. paludosa,Diatom,Entomoneis,paludosa,,2,2,42.6,i,BSA.05-06,KS,High sediment.,elliptic prism,5756.44,,,,,,,,,,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,3.7,i,BSA.05-06,KS,High sediment.,sphere,26.52,,,,,,,,,,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1733,Plagioselmis cf. prolonga,Soft Body,Plagioselmis,prolonga,,2,2,6.5,i,BSA.05-06,KS,Obscured by sediment. High sediment.,cone + half sphere,112.82,,,,,,,,,,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,576,1192,0.8,c,BSA.05-06,KS,High sediment.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1588,Trachelomonas sp.,Soft Body,Trachelomonas,sp.,,1,1,16.7,i,BSA.05-06,KS,High sediment.,ellipsoid,1477.75,,,,,,,,,,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1682,cf. Gyrodinium sp.,Soft Body,Gyrodinium,sp.,,1,1,16.7,i,BSA.05-06,KS,High sediment.,ellipsoid,478.83,,,,,,,,,,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1851,cf. Phalacroma sp.,Soft Body,Phalacroma,sp.,,1,1,20.4,i,BSA.05-06,KS,High sediment.,ellipsoid,2339.66,,,,,,,,,,
Phyto,5/13/2016,9:55,D4,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1629,Peridinium sp.,Soft Body,Peridinium,sp.,,1,1,37,i,BSA.05-06,KS,High sediment.,ellipsoid,19927.21,,,,,,,,,,
Phyto,5/17/2016,10:05,D41,61,6,9.84%,0.0697,314.159,0.348732495,5,150.14,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,2,2,5.6,i,BSA.05-07,KS,High sediment and moderate detritus.,cylinder,91.13,,,,,,,,,,
Phyto,5/17/2016,10:05,D41,61,6,9.84%,0.0697,314.159,0.348732495,5,150.14,1692,Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,5.6,i,BSA.05-07,KS,High sediment and moderate detritus.,prolate spheroid,40.14,,,,,,,,,,
Phyto,5/17/2016,10:05,D41,61,6,9.84%,0.0697,314.159,0.348732495,5,150.14,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,6.5,i,BSA.05-07,KS,High sediment and moderate detritus.,cone + half sphere,112.82,,,,,,,,,,
Phyto,5/17/2016,10:05,D41,61,6,9.84%,0.0697,314.159,0.348732495,5,150.14,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,3,3,11.1,i,BSA.05-07,KS,High sediment and moderate detritus.,cone + half sphere,538.68,,,,,,,,,,
Phyto,5/17/2016,10:05,D41,61,6,9.84%,0.0697,314.159,0.348732495,5,150.14,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,397,813,0.8,c,BSA.05-07,KS,High sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/10/2016,8:00,C3A,63,4,6.35%,0.0697,314.159,0.976450986,14,80.43,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.1,i,BSA.05-08,KS,Low sediment.,elliptic prism,61.29,,,,,,,,,,
Phyto,5/10/2016,8:00,C3A,63,4,6.35%,0.0697,314.159,0.976450986,14,80.43,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,,1,1,7.8,i,BSA.05-08,KS,Low sediment.,prism on parallelogram,17.78,,,,,,,,,,
Phyto,5/10/2016,8:00,C3A,63,4,6.35%,0.0697,314.159,0.976450986,14,80.43,1005,Ulnaria sp.,Diatom,Ulnaria,sp.,,1,1,64.8,i,BSA.05-08,KS,Fragment. Low sediment.,elliptic prism,1393.47,,,,,,,,,,
Phyto,5/10/2016,8:00,C3A,63,4,6.35%,0.0697,314.159,0.976450986,14,80.43,1031,cf. Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,4.6,i,BSA.05-08,KS,Low sediment.,sphere,50.96,,,,,,,,,,
Phyto,5/10/2016,8:00,C3A,63,4,6.35%,0.0697,314.159,0.976450986,14,80.43,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,2,2,16.7,i,BSA.05-08,KS,Low sediment.,2 cones,7.08,,,,,,,,,,
Phyto,5/10/2016,8:00,C3A,63,4,6.35%,0.0697,314.159,0.976450986,14,80.43,1346,Cryptomonas cf. erosa,Soft Body,Cryptomonas,erosa,,1,1,13,i,BSA.05-08,KS,Obscured by detritus. Low sediment.,prolate spheroid,468.92,,,,,,,,,,
Phyto,5/10/2016,8:00,C3A,63,4,6.35%,0.0697,314.159,0.976450986,14,80.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,403,864,0.8,c,BSA.05-08,KS,Low sediment.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/10/2016,8:00,C3A,63,4,6.35%,0.0697,314.159,0.976450986,14,80.43,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,6,6,4.6,i,BSA.05-08,KS,Low sediment.,sphere,50.96,,,,,,,,,,
Phyto,5/12/2016,8:55,MD10A,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,46,cf. Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,16.7,i,BSA.05-09,KS,Girdle view. Moderate sediment.,elliptic prism,179.56,,,,,,,,,,
Phyto,5/12/2016,8:55,MD10A,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,3,3,13,i,BSA.05-09,KS,Moderate sediment.,cylinder,491.11,,,,,,,,,,
Phyto,5/12/2016,8:55,MD10A,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,24.1,i,BSA.05-09,KS,Moderate sediment.,elliptic prism,1036.50,,,,,,,,,,
Phyto,5/12/2016,8:55,MD10A,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,13,i,BSA.05-09,KS,Moderate sediment.,cylinder,703.48,,,,,,,,,,
Phyto,5/12/2016,8:55,MD10A,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,13,i,BSA.05-09,KS,Moderate sediment.,2 cones,8.24,,,,,,,,,,
Phyto,5/12/2016,8:55,MD10A,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1692,Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,9.3,i,BSA.05-09,KS,Moderate sediment.,prolate spheroid,103.04,,,,,,,,,,
Phyto,5/12/2016,8:55,MD10A,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1347,Cryptomonas marssonii,Soft Body,Cryptomonas,marssonii,,1,1,21.3,i,BSA.05-09,KS,Moderate sediment.,prolate spheroid,1374.12,,,,,,,,,,
Phyto,5/12/2016,8:55,MD10A,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,4,4,11.1,i,BSA.05-09,KS,Moderate sediment.,cone + half sphere,538.68,,,,,,,,,,
Phyto,5/12/2016,8:55,MD10A,64,10,15.63%,0.0697,314.159,0.488225493,7,64.35,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,441,936,0.8,c,BSA.05-09,KS,Moderate sediment.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/13/2016,8:15,D8,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,5,5,37,i,BSA.05-10,KS,High sediment. Many broken diatoms.,cylinder,3580.45,,,,,,,,,,
Phyto,5/13/2016,8:15,D8,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,9.3,i,BSA.05-10,KS,Fragment. High sediment. Many broken diatoms.,elliptic prism,90.21,,,,,,,,,,
Phyto,5/13/2016,8:15,D8,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.05-10,KS,High sediment. Many broken diatoms.,cylinder,91.13,,,,,,,,,,
Phyto,5/13/2016,8:15,D8,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,858,cf. Psammothidium sp.,Diatom,Psammothidium,sp.,,1,1,7.4,i,BSA.05-10,KS,Girdle view. High sediment. Many broken diatoms.,elliptic prism,79.57,,,,,,,,,,
Phyto,5/13/2016,8:15,D8,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,607,1242,0.8,c,BSA.05-10,KS,High sediment. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/13/2016,8:15,D8,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,142,142,1.9,i,BSA.05-10,KS,High sediment. Many broken diatoms.,sphere,3.59,,,,,,,,,,
Phyto,5/13/2016,9:30,EZ2,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,10,10,29.6,c,BSA.05-11,KS,High sediment.,cylinder,3928.87,,,,,,,,,,
Phyto,5/13/2016,9:30,EZ2,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,4.6,i,BSA.05-11,KS,Girdle view. High sediment.,cylinder,61.49,,,,,,,,,,
Phyto,5/13/2016,9:30,EZ2,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,5.6,i,BSA.05-11,KS,High sediment.,cylinder,91.13,,,,,,,,,,
Phyto,5/13/2016,9:30,EZ2,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,19.4,i,BSA.05-11,KS,Fragment. High sediment.,cylinder,2187.38,,,,,,,,,,
Phyto,5/13/2016,9:30,EZ2,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,533,1121,0.8,c,BSA.05-11,KS,High sediment.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/13/2016,9:30,EZ2,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,13,5.2,f,BSA.05-11,KS,High sediment.,cylinder,14.74,,,,,,,,,,
Phyto,5/16/2016,10:15,D7,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,35.2,i,BSA.05-12,KS,Moderate sediment.,cylinder,3406.26,,,,,,,,,,
Phyto,5/16/2016,10:15,D7,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18.5,i,BSA.05-12,KS,Moderate sediment.,elliptic prism,596.74,,,,,,,,,,
Phyto,5/16/2016,10:15,D7,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,13,i,BSA.05-12,KS,Moderate sediment.,cylinder,743.30,,,,,,,,,,
Phyto,5/16/2016,10:15,D7,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.05-12,KS,Moderate sediment.,cylinder,91.13,,,,,,,,,,
Phyto,5/16/2016,10:15,D7,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,13,i,BSA.05-12,KS,Moderate sediment.,cylinder,743.30,,,,,,,,,,
Phyto,5/16/2016,10:15,D7,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,524,1119,0.8,c,BSA.05-12,KS,Moderate sediment.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/16/2016,10:15,D7,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,19,19,1.9,i,BSA.05-12,KS,Moderate sediment.,sphere,3.59,,,,,,,,,,
Phyto,5/13/2016,8:45,EZ6,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,2,2,9.3,i,BSA.05-13,KS,Fragment. High sediment and moderate detritus.,cylinder,229.06,,,,,,,,,,
Phyto,5/13/2016,8:45,EZ6,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,11.1,i,BSA.05-13,KS,Fragment. High sediment and moderate detritus.,prism on parallelogram,151.96,,,,,,,,,,
Phyto,5/13/2016,8:45,EZ6,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,645,1339,0.8,c,BSA.05-13,KS,High sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/13/2016,8:45,EZ6,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,9,0.9,f,BSA.05-13,KS,High sediment and moderate detritus.,cylinder,0.57,,,,,,,,,,
Phyto,5/13/2016,8:45,EZ6,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,24,24,1.9,i,BSA.05-13,KS,High sediment and moderate detritus.,sphere,3.59,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,95,cf. Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,4,4,5.6,c,BSA.05-14,KS,Moderate sediment and detritus.,cylinder,47.90,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,11.1,i,BSA.05-14,KS,Moderate sediment and detritus.,cylinder,541.91,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,18.5,i,BSA.05-14,KS,Moderate sediment and detritus.,elliptic prism,301.06,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,7.4,i,BSA.05-14,KS,Moderate sediment and detritus.,sphere,212.17,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,6,6,3.7,i,BSA.05-14,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1342,Chroomonas sp.,Soft Body,Chroomonas,sp.,,1,1,5.6,i,BSA.05-14,KS,Moderate sediment and detritus.,cone + half sphere,76.35,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,2,2,11.1,i,BSA.05-14,KS,Moderate sediment and detritus.,cone + half sphere,596.74,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,509,1034,0.8,c,BSA.05-14,KS,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,5,13,1.9,c,BSA.05-14,KS,Moderate sediment and detritus.,sphere,3.59,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1766,Dolichospermum sp.,Soft Body,Dolichospermum,sp.,,1,10,5.6,f,BSA.05-14,KS,FKA Anabaena sp. Moderate sediment and detritus.,sphere,91.95,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,1,1,3.7,i,BSA.05-14,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,,
Phyto,5/12/2016,10:15,P8,64,6,9.38%,0.0697,314.159,0.348732495,5,150.14,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,2,19,0.9,f,BSA.05-14,KS,Moderate sediment and detritus.,cylinder,0.57,,,,,,,,,,
Phyto,5/10/2016,10:05,C10A,63,1,1.59%,0.0697,314.159,0.418478994,6,750.72,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,21,21,9.3,i,BSA.05-15,KS,Moderate sediment and detritus. Many broken diatoms.,cylinder,251.34,,,,,,,,,,
Phyto,5/10/2016,10:05,C10A,63,1,1.59%,0.0697,314.159,0.418478994,6,750.72,1677,Nitzschia incerta,Diatom,Nitzschia,incerta,,1,1,24.1,i,BSA.05-15,KS,Moderate sediment and detritus. Many broken diatoms.,prism on parallelogram,164.96,,,,,,,,,,
