MethodCode,Year,Month,OperationTimeHRS,Comments
FKTR,2015,Feb,357.87,
FKTR,2015,Mar,308.64,
FKTR,2015,Apr,419.35,
FKTR,2015,May,371.65,
FKTR,2015,Jun,405.48,
FKTR,2015,Sep,259.44,
FKTR,2015,Oct,329,
FKTR,2015,Nov,302.84,
FKTR,2015,Dec,422.85,Alternat fyke trap site used for the first two weeks of December
FKTR,2016,Jan,333.75,
FKTR,2016,Feb,369.18,
FKTR,2016,Mar,178.55,
FKTR,2016,Apr,314.03,
FKTR,2016,May,403.57,
FKTR,2016,Jun,418.8,
FKTR,2016,Sep,301.75,
FKTR,2016,Oct,190.67,Trap pulled and not operated in November for bank reconstruction
FKTR,2016,Dec,210.28,
FKTR,2017,Jan,108.4,Trap operated intermittently during high flood times
FKTR,2017,Feb,86.33,Trap operated intermittently during high flood times
FKTR,2017,Mar,258.98,Trap operated intermittently during high flood times
FKTR,2017,Apr,137.41,Trap operated intermittently during high flood times
FKTR,2017,May,424.93,
FKTR,2017,Jun,320.33,
FKTR,2017,Oct,388.92,
FKTR,2017,Nov,307.41,
FKTR,2017,Dec,354.67,
FKTR,2018,Jan,392.72,
FKTR,2018,Feb,358.48,
FKTR,2018,Mar,319.9,
FKTR,2018,Apr,356.98,
FKTR,2018,May,429.23,
FKTR,2018,Jun,372.22,
RSTR,1998,Jan,129.5,
RSTR,1998,Feb,600.2666667,
RSTR,1998,Mar,452.4166667,
RSTR,1998,Apr,473.6166667,
RSTR,1998,May,299.55,
RSTR,1998,Jun,133.0833333,
RSTR,1998,Dec,682.5,
RSTR,1999,Jan,744,
RSTR,1999,Feb,651,
RSTR,1999,Mar,739.7166667,
RSTR,1999,Apr,620.2166667,
RSTR,1999,May,744,
RSTR,1999,Jun,720,
RSTR,1999,July,178,
RSTR,2000,Jan,466.75,
RSTR,2000,Feb,375.23,
RSTR,2000,Mar,374.48,
RSTR,2000,Apr,720,
RSTR,2000,May,744,
RSTR,2000,Jun,706.75,
RSTR,2001,Jan,708.13,
RSTR,2001,Feb,672,
RSTR,2001,Mar,580.65,
RSTR,2001,Apr,720,
RSTR,2001,May,744,
RSTR,2001,Jun,682.75,
RSTR,2002,Jan,638.12,
RSTR,2002,Feb,672,
RSTR,2002,Mar,744,
RSTR,2002,Apr,720,
RSTR,2002,May,744,
RSTR,2002,Jun,561.23,
RSTR,2003,Jan,435.88,
RSTR,2003,Feb,488.03,
RSTR,2003,Mar,673.63,
RSTR,2003,Apr,720,
RSTR,2003,May,648,
RSTR,2003,Jun,707.25,
RSTR,2004,Jan,562.83,
RSTR,2004,Feb,419.92,
RSTR,2004,Mar,561,
RSTR,2004,Apr,720,
RSTR,2004,May,744,
RSTR,2004,Jun,708.77,
RSTR,2005,Jan,466.95,
RSTR,2005,Feb,672,
RSTR,2005,Mar,696.5,
RSTR,2005,Apr,720,
RSTR,2005,May,576.92,
RSTR,2005,Jun,563.5,
RSTR,2006,Jan,229.67,
RSTR,2006,Feb,386.4,
RSTR,2006,Mar,193.68,
RSTR,2006,Apr,46.15,
RSTR,2006,May,371.22,
RSTR,2006,Jun,706.63,
RSTR,2007,Jan,709.75,
RSTR,2007,Feb,672,
RSTR,2007,Mar,744,
RSTR,2007,Apr,720,
RSTR,2007,May,744,
RSTR,2007,Jun,9.83,
RSTR,2008,Jan,541,
RSTR,2008,Feb,521.17,
RSTR,2008,Mar,685.67,
RSTR,2008,Apr,720,
RSTR,2008,May,744,
RSTR,2008,Jun,130.92,
RSTR,2009,Jan,541.17,
RSTR,2009,Feb,637.5,
RSTR,2009,Mar,380.55,
RSTR,2009,Apr,422.23,
RSTR,2009,May,367.65,
RSTR,2009,Jun,219.12,
RSTR,2010,Jan,232.72,
RSTR,2010,Feb,132.77,
RSTR,2010,Mar,388.28,Damage due to high debris loads resulted in several weeks of no operation
RSTR,2010,Apr,286.88,Damage due to high debris loads resulted in several weeks of no operation
RSTR,2010,May,241.3,
RSTR,2010,Jun,357.57,
RSTR,2010,Jul,119.58,
RSTR,2010,Dec,118.42,"December hours indicate early inundation and flush of fishes for the 2011 season, operation hours should be correlated with 2011 water year hours"
RSTR,2011,Jan,354.25,
RSTR,2011,Feb,360.08,
RSTR,2011,Mar,206.83,
RSTR,2011,Apr,69.33,
RSTR,2011,May,427.25,
RSTR,2011,Jun,384.08,
RSTR,2011,Jul,71.62,
RSTR,2012,Jan,99.07,High catches of ESA (Endangered Species Act) listed species resulted in shorter daytime only sets intermittently
RSTR,2012,Feb,185.62,High catches of ESA (Endangered Species Act) listed species resulted in shorter daytime only sets intermittently
RSTR,2012,Mar,351.95,High catches of ESA (Endangered Species Act) listed species resulted in shorter daytime only sets intermittently
RSTR,2012,Apr,293.98,
RSTR,2012,May,432.33,
RSTR,2012,Jun,390.23,
RSTR,2012,Dec,9.83,"December hours indicate early inundation and flush of fishes for the 2013 season, operation hours should be correlated with 2013 water year hours"
RSTR,2013,Jan,381.75,
RSTR,2013,Feb,364.05,
RSTR,2013,Mar,395.75,
RSTR,2013,Apr,252.07,
RSTR,2013,May,339.6,
RSTR,2013,Jun,366.27,
RSTR,2014,Jan,354.47,
RSTR,2014,Feb,288.78,
RSTR,2014,Mar,332.8,
RSTR,2014,Apr,418.85,
RSTR,2014,May,392.23,
RSTR,2014,Jun,386.55,
RSTR,2015,Jan,356.07,
RSTR,2015,Feb,358.82,
RSTR,2015,Mar,307.5,
RSTR,2015,Apr,417.95,
RSTR,2015,May,369.77,
RSTR,2015,Jun,395.12,
RSTR,2016,Jan,265.17,
RSTR,2016,Feb,365.05,
RSTR,2016,Mar,224.85,
RSTR,2016,Apr,181.18,High catches of ESA (Endangered Species Act) listed species resulted in shorter daytime only sets intermittently
RSTR,2016,May,320.52,
RSTR,2016,Jun,423.13,
RSTR,2017,Jan,80.98,Intermittent short day-time only trap sets due to high floods
RSTR,2017,Feb,9.7,Intermittent short day-time only trap sets due to high floods
RSTR,2017,Mar,38.38,Intermittent short day-time only trap sets due to high floods
RSTR,2017,Apr,17.37,Intermittent short day-time only trap sets due to high floods
RSTR,2017,May,219.67,
RSTR,2017,Jun,326.28,
RSTR,2018,Jan,400.3333333,
RSTR,2018,Feb,381.7166667,
RSTR,2018,Mar,321.5166667,
RSTR,2018,Apr,329.8833333,
RSTR,2018,May,428.6333333,
RSTR,2018,Jun,374.0666667,
RSTR,2018,July,96.8,
