z,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1341,Chroomonas rosenbergii,Soft Body,Chroomonas,rosenbergii,,3,3,8.3,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,cone + half sphere,250.69,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1349,Cryptomonas cf. ovata,Soft Body,Cryptomonas,ovata,,2,2,16.7,i,BSA.10-01,KS,Obscured by detritus. Low sediment and moderate detritus. Many broken diatoms.,prolate spheroid,478.83,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,cone + half sphere,337.38,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,327,1105,0.65,c,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1629,Peridinium sp.,Soft Body,Peridinium,sp.,,1,1,25.9,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,ellipsoid,7876.48,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,5.6,i,BSA.10-02,KS,Fragment. High sediment and moderate detritus. Many broken diatoms.,cylinder,137.93,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,145,Cocconeis cf. placentula,Diatom,Cocconeis,placentula,,2,2,18.5,i,BSA.10-02,KS,Fragment. High sediment and moderate detritus. Many broken diatoms.,elliptic prism,698.89,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,7.4,i,BSA.10-02,KS,High sediment and moderate detritus. Many broken diatoms.,cylinder,159.13,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,1732,Entomoneis cf. paludosa,Diatom,Entomoneis,paludosa,,1,1,37,i,BSA.10-02,KS,High sediment and moderate detritus. Many broken diatoms.,elliptic prism,3010.59,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,976,Synedra cf. ulna,Diatom,Synedra,ulna,,1,1,5.6,i,BSA.10-02,KS,Fragment. High sediment and moderate detritus. Many broken diatoms.,box,30.92,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,1,1,5.6,i,BSA.10-02,KS,High sediment and moderate detritus. Many broken diatoms.,ellipsoid,20.61,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,1731,Aphanizomenon cf. klebahnii ,Soft Body,Aphanizomenon,klebahnii,,1,55,5.6,f,BSA.10-02,KS,High sediment and moderate detritus. Many broken diatoms.,cylinder,60.21,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,440,1173,0.65,c,BSA.10-02,KS,High sediment and moderate detritus. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,1468,Merismopedia sp.,Soft Body,Merismopedia,sp.,,1,16,1.9,c,BSA.10-02,KS,High sediment and moderate detritus. Many broken diatoms.,cube,6.86,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,2,2,5.6,i,BSA.10-02,KS,High sediment and moderate detritus. Many broken diatoms.,sphere,91.95,,,,,,,,,
Phyto,10/19/2015,14:05,EZ2 SJR,62,5,8.06%,0.0697,314.159,0.348732495,5,180.17,1611,Gymnodinium sp.,Soft Body,Gymnodinium,sp.,,1,1,9.3,i,BSA.10-02,KS,High sediment and moderate detritus. Many broken diatoms.,ellipsoid,201.79,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,3,3,9.3,i,BSA.10-03,KS,Fragment. Low sediment and detritus.,cylinder,154.56,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1764,cf. Bacillaria sp.,Diatom,Bacillaria,sp.,,1,1,5.6,i,BSA.10-03,KS,Fragment. Low sediment and detritus.,box,116.03,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,i,BSA.10-03,KS,Low sediment and detritus.,elliptic prism,551.32,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,4,4,9.3,i,BSA.10-03,KS,Degraded. Low sediment and detritus.,cylinder,251.34,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,713,cf. Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,,1,1,7.4,i,BSA.10-03,KS,Low sediment and detritus.,prism on parallelogram,20.72,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,5.6,i,BSA.10-03,KS,Fragment. Low sediment and detritus.,prism on parallelogram,58.02,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,976,Synedra cf. ulna,Diatom,Synedra,ulna,,1,1,7.4,i,BSA.10-03,KS,Fragment. Low sediment and detritus.,box,120.42,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1038,Chlorella spp.,Soft Body,Chlorella,spp.,,14,14,3,i,BSA.10-03,KS,Low sediment and detritus.,sphere,14.14,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1768,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,6,6,13,i,BSA.10-03,KS,Low sediment and detritus.,cone + half sphere,902.58,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,11,11,6.5,i,BSA.10-03,KS,Low sediment and detritus.,cone + half sphere,122.78,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1731,Aphanizomenon cf. klebahnii ,Soft Body,Aphanizomenon,klebahnii,,1,45,4,f,BSA.10-03,KS,Low sediment and detritus.,cylinder,28.27,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,372,1180,0.65,c,BSA.10-03,KS,Low sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,2,8,1.9,c,BSA.10-03,KS,Low sediment and detritus.,sphere,3.59,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1421,cf. Chroococcus minutus,Soft Body,Chroococcus,minutus,,2,3,4.6,c,BSA.10-03,KS,Low sediment and detritus.,sphere,50.96,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,,1,14,1.9,c,BSA.10-03,KS,Low sediment and detritus.,cube,6.86,,,,,,,,,
Phyto,10/19/2015,13:15,D28A,59,6,10.17%,0.0697,314.159,0.767211489,11,68.25,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,5,5,5.6,i,BSA.10-03,KS,Low sediment and detritus.,sphere,91.95,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,704,Nitzschia frustulum,Diatom,Nitzschia,frustulum,,3,3,25,i,BSA.10-04,JW,Moderate detritus.,prism on parallelogram,92.50,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,5.6,i,BSA.10-04,JW,Moderate detritus.,cylinder,73.89,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,15,15,3.7,i,BSA.10-04,JW,Moderate detritus.,sphere,26.52,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,2,5.6,c,BSA.10-04,JW,Moderate detritus.,prolate spheroid,40.14,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1349,Cryptomonas ovata,Soft Body,Cryptomonas,ovata,,4,4,16.7,i,BSA.10-04,JW,Moderate detritus.,prolate spheroid,756.28,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,13,13,7.4,i,BSA.10-04,JW,Moderate detritus.,cone + half sphere,172.03,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,22,22,5.6,i,BSA.10-04,JW,Moderate detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1649,Rhodomonas salina,Soft Body,Rhodomonas,salina,,6,6,11,i,BSA.10-04,JW,Moderate detritus.,cone + half sphere,582.87,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1731,Aphanizomenon cf. klebahnii ,Soft Body,Aphanizomenon,klebahnii,,1,21,5.6,f,BSA.10-04,JW,Moderate detritus.,cylinder,93.07,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,350,812,0.65,c,BSA.10-04,JW,Moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,8,1,c,BSA.10-04,JW,Moderate detritus.,sphere,0.52,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1421,Chroococcus minutus,Soft Body,Chroococcus,minutus,,1,1,3.7,c,BSA.10-04,JW,Moderate detritus.,sphere,26.52,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,1,2,c,BSA.10-04,JW,Moderate detritus.,sphere,4.19,,,,,,,,,
Phyto,10/20/2015,12:00,P8,64,3,4.69%,0.0697,314.159,1.534422978,22,68.25,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,4,4,5.6,i,BSA.10-04,JW,Moderate detritus.,sphere,91.95,,,,,,,,,
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,1732,Entomoneis paludosa,Diatom,Entomoneis,paludosa,,1,1,37,i,BSA.10-05,JW,Moderate sediment and high detritus.,elliptic prism,5376.05,,,,,,,,,
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,28,i,BSA.10-05,JW,Moderate sediment and high detritus.,elliptic prism,428.83,,,,,,,,,
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,1696,Tryblionella granulata,Diatom,Tryblionella,granulata,,1,1,20,i,BSA.10-05,JW,Moderate sediment and high detritus.,elliptic prism,344.00,,,,,,,,,
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,998,Tryblionella levidensis,Diatom,Tryblionella,levidensis,,1,1,13,i,BSA.10-05,JW,Moderate sediment and high detritus.,elliptic prism,114.35,,,,,,,,,
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,2.8,i,BSA.10-05,JW,Moderate sediment and high detritus.,sphere,11.49,,,,,,,,,
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,7,7,7.4,i,BSA.10-05,JW,Moderate sediment and high detritus.,cone + half sphere,186.37,,,,,,,,,
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,5.6,i,BSA.10-05,JW,Moderate sediment and high detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,1649,Rhodomonas salina,Soft Body,Rhodomonas,salina,,1,1,13,i,BSA.10-05,JW,Moderate sediment and high detritus.,cone + half sphere,902.58,,,,,,,,,
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,414,938,0.65,c,BSA.10-05,JW,Moderate sediment and high detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/21/2015,13:02,EZ6,58,3,5.17%,0.0697,314.159,0.627718491,9,166.83,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,18,18,5.6,i,BSA.10-05,JW,Moderate sediment and high detritus.,sphere,91.95,,,,,,,,,
Phyto,10/19/2015,14:25,EZ6 SJR,63,5,7.94%,0.0697,314.159,0.348732495,5,180.17,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,13,i,BSA.10-06,KS,Fragment. High sediment and detritus.,cylinder,883.08,,,,,,,,,
Phyto,10/19/2015,14:25,EZ6 SJR,63,5,7.94%,0.0697,314.159,0.348732495,5,180.17,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,14.8,i,BSA.10-06,KS,Fragment. High sediment and detritus.,elliptic prism,318.26,,,,,,,,,
Phyto,10/19/2015,14:25,EZ6 SJR,63,5,7.94%,0.0697,314.159,0.348732495,5,180.17,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7.4,i,BSA.10-06,KS,High sediment and detritus.,cylinder,159.13,,,,,,,,,
Phyto,10/19/2015,14:25,EZ6 SJR,63,5,7.94%,0.0697,314.159,0.348732495,5,180.17,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,3.7,i,BSA.10-06,KS,High sediment and detritus.,cylinder,20.43,,,,,,,,,
Phyto,10/19/2015,14:25,EZ6 SJR,63,5,7.94%,0.0697,314.159,0.348732495,5,180.17,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,14.8,i,BSA.10-06,KS,Obscured by detritus. High sediment and detritus.,prolate spheroid,670.23,,,,,,,,,
Phyto,10/19/2015,14:25,EZ6 SJR,63,5,7.94%,0.0697,314.159,0.348732495,5,180.17,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,630,1932,0.65,c,BSA.10-06,KS,High sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/19/2015,14:25,EZ6 SJR,63,5,7.94%,0.0697,314.159,0.348732495,5,180.17,1681,cf. Chroococcus planctonicus,Soft Body,Chroococcus,planctonicus,,1,1,3.7,i,BSA.10-06,KS,High sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,10/19/2015,14:25,EZ6 SJR,63,5,7.94%,0.0697,314.159,0.348732495,5,180.17,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,5,5,5.6,i,BSA.10-06,KS,High sediment and detritus.,sphere,91.95,,,,,,,,,
Phyto,10/23/2015,11:50,D6,64,3,4.69%,0.0697,314.159,1.813408974,26,57.75,1032,cf. Chlamydomonas spp.,Soft Body,Chlamydomonas,spp.,,2,2,7.4,i,BSA.10-07,JW,Degraded. Moderate sediment and detritus.,sphere,172.03,,,,,,,,,
Phyto,10/23/2015,11:50,D6,64,3,4.69%,0.0697,314.159,1.813408974,26,57.75,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,4,4,3.7,i,BSA.10-07,JW,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,10/23/2015,11:50,D6,64,3,4.69%,0.0697,314.159,1.813408974,26,57.75,1339,Chroomonas acuta,Soft Body,Chroomonas,acuta,,1,1,15,i,BSA.10-07,JW,Moderate sediment and detritus.,cone + half sphere,1319.47,,,,,,,,,
