MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Organisms per mL,Total Cells Counted,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,9/25/2013,8:15,D8,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,1359,Hillea fusiformis,Soft Body,Hillea,fusiformis,,1,56.30,1,7.5,i,BSA.09-03,KS,"High detritus, moderate sediment, diatom fragments.",prolate spheroid,53.76,,,,,,,,,,
Phyto,9/25/2013,8:15,D8,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,168.91,3,9.3,i,BSA.09-03,KS,"High detritus, moderate sediment, diatom fragments.",cone + half sphere,317.00,,,,,,,,,,
Phyto,9/25/2013,8:15,D8,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,400,22521.49,787,0.86,c,BSA.09-03,KS,"High detritus, moderate sediment, diatom fragments.",sphere,0.38,0.27,0.38,0.27,0.38,0.27,0.38,0.38,0.27,0.38,
Phyto,9/27/2013,11:10,D6,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,50.05,1,11.2,i,BSA.09-04,KS,"Fragment. Light sediment and detritus, diatom fragments. ",cylinder,275.86,,,,,,,,,,
Phyto,9/27/2013,11:10,D6,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,631,Navicula sp.,Diatom,Navicula,sp.,,1,50.05,1,13.1,i,BSA.09-04,KS,"Light sediment and detritus, diatom fragments. ",elliptic prism,213.18,,,,,,,,,,
Phyto,9/27/2013,11:10,D6,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,704,Nitzschia frustulum,Diatom,Nitzschia,frustulum,,1,50.05,1,15.9,i,BSA.09-04,KS,"Light sediment and detritus, diatom fragments. ",prism on parallelogram,138.25,,,,,,,,,,
Phyto,9/27/2013,11:10,D6,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1027,Chlamydomonas globosa,Soft Body,Chlamydomonas,globosa,,1,50.05,1,6.5,i,BSA.09-04,KS,"Light sediment and detritus, diatom fragments. ",sphere,143.79,,,,,,,,,,
Phyto,9/27/2013,11:10,D6,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1328,Pseudokephyrion sp.,Soft Body,Pseudokephyrion,sp.,,3,150.14,3,5.6,i,BSA.09-04,KS,"Light sediment and detritus, diatom fragments. ",ellipsoid,40.14,,,,,,,,,,
Phyto,9/27/2013,11:10,D6,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1359,Hillea fusiformis,Soft Body,Hillea,fusiformis,,1,50.05,1,7.5,i,BSA.09-04,KS,"Light sediment and detritus, diatom fragments. ",prolate spheroid,53.76,,,,,,,,,,
Phyto,9/27/2013,11:10,D6,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,2,100.10,2,13.1,i,BSA.09-04,KS,"Light sediment and detritus, diatom fragments. ",cone + half sphere,925.50,,,,,,,,,,
Phyto,9/27/2013,11:10,D6,63,10,15.87%,0.0697,314.159,0.627718491,9,50.05,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,396,19818.91,796,0.85,c,BSA.09-04,KS,"Light sediment and detritus, diatom fragments. ",sphere,0.27,0.38,0.27,0.38,0.27,0.38,0.27,0.27,0.38,0.38,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,2,150.14,2,9.3,i,BSA.09-05,KS,"Fragment. High detritus and sediment, diatom fragments. ",cylinder,410.86,,,,,,,,,,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,300.29,4,6.5,i,BSA.09-05,KS,"High detritus and sediment, diatom fragments. ",cylinder,122.78,,,,,,,,,,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,1,75.07,1,29.9,i,BSA.09-05,KS,"High detritus and sediment, some broken diatom fragments. ",elliptic prism,1637.97,,,,,,,,,,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,976,Synedra ulna,Diatom,Synedra,ulna,,2,150.14,2,9.3,i,BSA.09-05,KS,"Fragment. High detritus and sediment, diatom fragments. ",box,151.34,,,,,,,,,,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,1027,cf. Chlamydomonas globosa,Soft Body,Chlamydomonas,globosa,,1,75.07,1,7.5,i,BSA.09-05,KS,"High detritus and sediment, diatom fragments. ",sphere,220.89,,,,,,,,,,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,1359,cf. Hillea fusiformis,Soft Body,Hillea,fusiformis,,4,300.29,4,4.7,i,BSA.09-05,KS,"High detritus and sediment, diatom fragments. ",prolate spheroid,19.29,,,,,,,,,,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,2,150.14,2,13,i,BSA.09-05,KS,"High detritus and sediment, diatom fragments. ",cone + half sphere,907.00,,,,,,,,,,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,404,30328.94,806,0.84,c,BSA.09-05,KS,"High detritus and sediment, diatom fragments. ",sphere,0.38,0.27,0.38,0.27,0.27,0.27,0.27,0.27,0.38,0.38,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,1611,cf. Gymnodinium sp.,Soft Body,Gymnodinium,sp.,,1,75.07,1,11.2,i,BSA.09-05,KS,"High detritus and sediment, diatom fragments. ",ellipsoid,735.62,,,,,,,,,,
Phyto,9/25/2013,9:35,D4,57,10,17.54%,0.0697,314.159,0.418478994,6,75.07,1644,cf. Heterosigma inlandica,Soft Body,Heterosigma,inlandica,,1,75.07,1,13.1,i,BSA.09-05,KS,"High detritus and sediment, diatom fragments. ",#N/A,1006.37,,,,,,,,,,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,11.55,1,7.5,i,BSA.09-06,KS,"Fragment. High detritus, moderate sediment, diatom fragments. ",cylinder,80.64,,,,,,,,,,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,1646,Coscinodiscus sp.,Diatom,Coscinodiscus,sp.,,1,11.55,1,28,i,BSA.09-06,KS,"High detritus, moderate sediment, diatom fragments. ",cylinder,6896.42,,,,,,,,,,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,6,69.30,6,11.2,i,BSA.09-06,KS,"High detritus, moderate sediment, diatom fragments. ",cylinder,364.52,,,,,,,,,,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,289,Diploneis sp.,Diatom,Diploneis,sp.,,1,11.55,1,33.6,i,BSA.09-06,KS,"Fragment. High detritus, moderate sediment, diatom fragments. ",elliptic prism,1093.57,,,,,,,,,,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,1,11.55,1,13.1,i,BSA.09-06,KS,"Fragment. High detritus, moderate sediment, diatom fragments. ",gomphonemoid,244.25,,,,,,,,,,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,631,Navicula sp.,Diatom,Navicula,sp.,,1,11.55,1,21.5,i,BSA.09-06,KS,"High detritus, moderate sediment, diatom fragments. ",elliptic prism,349.88,,,,,,,,,,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,11.55,1,5.6,i,BSA.09-06,KS,"High detritus, moderate sediment, diatom fragments. ",sphere,91.95,,,,,,,,,,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,23.10,2,9.3,i,BSA.09-06,KS,"High detritus, moderate sediment, diatom fragments. ",cone + half sphere,294.36,,,,,,,,,,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,454,5243.46,794,0.87,c,BSA.09-06,KS,"High detritus, moderate sediment, diatom fragments. ",sphere,0.27,0.27,0.38,0.38,0.38,0.38,0.38,0.38,0.27,0.38,
Phyto,9/27/2013,8:25,D41A,63,10,15.87%,0.0697,314.159,2.720113461,39,11.55,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,11.55,2,2.1,c,BSA.09-06,KS,"High detritus, moderate sediment, diatom fragments. ",sphere,4.85,,,,,,,,,,
Phyto,9/24/13,10:45,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,40.95,1,26.2,i,BSA.09-07,KS,"Light sediment and detritus, poor preservation, diatom fragments.",elliptic prism,161.33,,,,,,,,,,
Phyto,9/24/13,10:45,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,91,Aulacoseira cf. granulata,Diatom,Aulacoseira,granulata,,71,2907.32,71,28,i,BSA.09-07,KS,"Light sediment and detritus, poor preservation, diatom fragments.",cylinder,6206.78,,,,,,,,,,
Phyto,9/24/13,10:45,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,91,Aulacoseira cf. granulata fragment,Diatom,Aulacoseira,granulata,,18,737.07,18,9.3,i,BSA.09-07,KS,"Fragment. Light sediment and detritus, poor preservation, diatom fragments.",cylinder,509.47,,,,,,,,,,
Phyto,9/24/13,10:45,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,40.95,1,15,i,BSA.09-07,KS,"Light sediment and detritus, poor preservation, diatom fragments.",prism on parallelogram,52.73,,,,,,,,,,
Phyto,9/24/13,10:45,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,330,13512.89,662,0.84,c,BSA.09-07,KS,"Light sediment and detritus, poor preservation, diatom fragments.",sphere,0.27,0.38,0.38,0.27,0.38,0.27,0.27,0.27,0.38,0.27,
Phyto,9/25/13,9:35,EZ6,59,10,16.95%,0.0697,314.159,0.348732495,5,90.09,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,3,270.26,3,9.3,i,BSA.09-08,KS,"Fragment. High detritus and sediment, diatom fragments. ",cylinder,410.86,,,,,,,,,,
Phyto,9/25/13,9:35,EZ6,59,10,16.95%,0.0697,314.159,0.348732495,5,90.09,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,90.09,1,7.5,i,BSA.09-08,KS,"High detritus and sediment, diatom fragments. ",cylinder,163.46,,,,,,,,,,
Phyto,9/25/13,9:35,EZ6,59,10,16.95%,0.0697,314.159,0.348732495,5,90.09,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,2,180.17,2,18.7,i,BSA.09-08,KS,"High detritus and sediment, diatom fragments. ",elliptic prism,304.31,,,,,,,,,,
Phyto,9/25/13,9:35,EZ6,59,10,16.95%,0.0697,314.159,0.348732495,5,90.09,749,Nitzschia sp. ,Diatom,Nitzschia,sp.,,1,90.09,1,9.3,i,BSA.09-08,KS,"Fragment. High detritus and sediment, diatom fragments. ",prism on parallelogram,80.86,,,,,,,,,,
Phyto,9/25/13,9:35,EZ6,59,10,16.95%,0.0697,314.159,0.348732495,5,90.09,874,Rhoicosphenia abbreviata,Diatom,Rhoicosphenia,abbreviata,,1,90.09,1,13.1,i,BSA.09-08,KS,"High detritus and sediment, diatom fragments. ",gomphonemoid,123.51,,,,,,,,,,
Phyto,9/25/13,9:35,EZ6,59,10,16.95%,0.0697,314.159,0.348732495,5,90.09,976,Synedra ulna,Diatom,Synedra,ulna,,1,90.09,1,16.8,i,BSA.09-08,KS,"Fragment. High detritus and sediment, diatom fragments. ",box,273.39,,,,,,,,,,
Phyto,9/25/13,9:35,EZ6,59,10,16.95%,0.0697,314.159,0.348732495,5,90.09,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,409,36845.16,820,0.85,c,BSA.09-08,KS,"High detritus and sediment, diatom fragments. ",sphere,0.27,0.27,0.38,0.27,0.38,0.38,0.38,0.27,0.38,0.27,
Phyto,9/25/13,9:35,EZ6,59,10,16.95%,0.0697,314.159,0.348732495,5,90.09,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,,1,90.09,16,1.2,c,BSA.09-08,KS,"High detritus and sediment, diatom fragments. ",cube,1.73,,,,,,,,,,
Phyto,9/25/13,10:20,EZ2,60,10,16.67%,0.0697,314.159,0.348732495,5,90.09,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,4,360.34,4,11.2,i,BSA.09-09,KS,"Fragment. Very high sediment, moderate detritus, diatom fragments. ",cylinder,494.80,,,,,,,,,,
Phyto,9/25/13,10:20,EZ2,60,10,16.67%,0.0697,314.159,0.348732495,5,90.09,99,cf. Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,,1,90.09,1,15,i,BSA.09-09,KS,"Fragment. Very high sediment, moderate detritus, diatom fragments. ",box,630.00,,,,,,,,,,
Phyto,9/25/13,10:20,EZ2,60,10,16.67%,0.0697,314.159,0.348732495,5,90.09,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,90.09,1,11.2,i,BSA.09-09,KS,"Fragment. Very high sediment, moderate detritus, diatom fragments. ",cylinder,551.71,,,,,,,,,,
Phyto,9/25/13,10:20,EZ2,60,10,16.67%,0.0697,314.159,0.348732495,5,90.09,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,5,450.43,5,11.2,i,BSA.09-09,KS,"Very high sediment, moderate detritus, diatom fragments. ",cylinder,551.71,,,,,,,,,,
Phyto,9/25/13,10:20,EZ2,60,10,16.67%,0.0697,314.159,0.348732495,5,90.09,681,Nitzschia brevissima,Diatom,Nitzschia,brevissima,,1,90.09,1,31.8,i,BSA.09-09,KS,"Very high sediment, moderate detritus, diatom fragments. ",prism on parallelogram,329.45,,,,,,,,,,
Phyto,9/25/13,10:20,EZ2,60,10,16.67%,0.0697,314.159,0.348732495,5,90.09,976,Synedra ulna,Diatom,Synedra,ulna,,3,270.26,3,18.7,i,BSA.09-09,KS,"Fragment. Very high sediment, moderate detritus, diatom fragments. ",box,583.95,,,,,,,,,,
Phyto,9/25/13,10:20,EZ2,60,10,16.67%,0.0697,314.159,0.348732495,5,90.09,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,482,43421.43,973,0.85,c,BSA.09-09,KS,"Very high sediment, moderate detritus, diatom fragments. ",sphere,0.27,0.38,0.27,0.38,0.27,0.38,0.27,0.27,0.38,0.38,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,90.09,1,13.1,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",elliptic prism,54.74,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,68,Amphora holsatica,Diatom,Amphora,holsatica,,2,180.17,2,39.2,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",cymbelloid,548.85,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,180.17,2,13.1,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",elliptic prism,146.61,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,21,1891.81,21,5.6,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",cylinder,91.13,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,496,Hippodonta capitata,Diatom,Hippodonta,capitata,,1,90.09,1,18.7,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",elliptic prism,304.31,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,595,Navicula lanceolata,Diatom,Navicula,lanceolata,,1,90.09,1,29.9,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",elliptic prism,651.66,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,632,Navicula spp.,Diatom,Navicula,spp.,,7,630.60,7,28,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",elliptic prism,923.63,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,684,Nitzschia capitellata,Diatom,Nitzschia,capitellata,,1,90.09,1,18.7,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",prism on parallelogram,141.84,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,,1,90.09,1,7.5,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",prism on parallelogram,19.95,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,730,Nitzschia palea,Diatom,Nitzschia,palea,,2,180.17,2,41.1,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",prism on parallelogram,357.36,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,90.09,1,11.2,i,BSA.09-10,KS,"Fragment. High sediment, poor preservation, moderate detritus. ",prism on parallelogram,155.40,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1654,Plagiotropis lepidoptera,Diatom,Plagiotropis,lepidaptera,,1,90.09,1,76.6,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",elliptic prism,6768.16,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,16,1441.38,16,11.2,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",box,182.26,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,890,Sellaphora pupula,Diatom,Sellaphora,pupula,,1,90.09,1,26.2,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",box,1232.45,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,931,Stephanocyclus meneghiniana,Diatom,Stephanocyclus,meneghiniana,,12,1081.03,12,19.6,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",cylinder,2262.89,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,956,Surirella sp.,Diatom,Surirella,sp.,,1,90.09,1,67.3,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",elliptic prism,12606.45,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,976,Synedra ulna,Diatom,Synedra,ulna,,2,180.17,2,275,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",box,5993.56,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1655,Crucigenia fenestrata,Soft Body,Crucigenia,fenestrata,,1,90.09,4,3.7,c,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",cube,19.68,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1229,Scenedesmus opoliensis var. mononensis,Soft Body,Scenedesmus,opoliensis var. mononensis,,1,90.09,2,5.9,c ,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",prolate spheroid,11.15,,,,,,,,,,
Phyto,9/24/13,9:52,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1237,Scenedesmus subspicatus,Soft Body,Scenedesmus,subspicatus,,1,90.09,4,7.9,c,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus. ",prolate spheroid,20.02,,,,,,,,,,
