Date,SamplePeriod,Year,WYType,FlowPulseType,NetFlowDays,Month,StationCode,Region,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,Classification,Organism,Phylum,Class,Order,Family,Genus,Species,TaxonName,Taxlife,TaxonRank,CommonName,LifeStage,CPUEZoop,BPUE
8/17/2017,Before,2017,W,CA,12,Aug,I80,Upstream,23,0.13,620,644,8.19,5.74,92,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,272.9249231,917.0277415
10/2/2019,After,2019,W,MA-Ag,26,Oct,RVB,Downstream,17.8,1.6,120,139,7.24,8.47,8.1,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,0.450586978,1.513972246
9/4/2019,During,2019,W,MA-Ag,26,Sep,STTD,Transition,24.9,0.26,546,547,7.81,5.73,26.6,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,12.52001232,42.06724141
10/25/2018,After,2018,BN,MA-Ag,30,Oct,BL5,Downstream,16.4,2.1,152,182,8.7,9.5,4.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,3.543769488,11.90706548
8/6/2019,Before,2019,W,MA-Ag,26,Aug,I80,Upstream,24.4,0.13,687,695,8.12,6.59,79.6,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,150.4685237,505.5742397
11/1/2018,After,2018,BN,MA-Ag,30,Nov,BL5,Downstream,16,1.7,146,176,8.12,9.22,5.7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,7.547322056,25.35900211
10/9/2018,After,2018,BN,MA-Ag,30,Oct,RCS,Upstream,19.3,0.36,563,632,7.71,4.43,21.3,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,43.48628329,146.1139118
10/27/2015,After,2015,C,NF,42,Oct,BL5,Downstream,18.8,0.8,204,231,8.17,8.6,9,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,14.45098246,48.55530107
8/21/2019,Before,2019,W,MA-Ag,26,Aug,RVB,Downstream,21.8,1.8,124,132,7.59,8.03,4.9,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,3.786313169,12.72201225
10/19/2017,After,2017,W,CA,12,Oct,STTD,Transition,15.9,0.62,131,159,7.82,9.59,9.1,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,2.634691908,8.852564812
8/21/2018,Before,2018,BN,MA-Ag,30,Aug,RD22,Upstream,23,0.39,838,873,7.81,7.07,17.2,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,0.655745542,2.20330502
7/20/2016,During,2016,BN,MA-SR,19,Jul,I80,Upstream,24.83,0.27,586,588,7.88,4.61,47.8,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,359.3960223,1207.570635
9/19/2018,During,2018,BN,MA-Ag,30,Sep,BL5,Downstream,19.2,1.6,266.5,296.2,8.71,8.83,9.2,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,6.003207402,20.17077687
7/26/2018,Before,2018,BN,MA-Ag,30,Jul,RD22,Upstream,25.8,0.32,712,701,7.77,6.82,16.6,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,8.302785755,27.89736014
9/17/2019,During,2019,W,MA-Ag,26,Sep,I80,Upstream,21.4,0.26,496,533,7.39,5.53,34,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,2.174869829,7.307562624
9/18/2018,During,2018,BN,MA-Ag,30,Sep,RCS,Upstream,19.9,0.4,528,584,7.72,6.08,17.7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,12.58557407,42.28752887
9/3/2019,During,2019,W,MA-Ag,26,Sep,I80,Upstream,24.1,0.22,521,530,7.84,4.79,42.2,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,3.983885787,13.38585624
8/20/2019,Before,2019,W,MA-Ag,26,Aug,RMB,Upstream,24.2,0.22,529,538,7.71,5.12,34.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,6.199275078,20.82956426
10/10/2018,After,2018,BN,MA-Ag,30,Oct,LIB,Downstream,18.3,1.87,148,170,8.03,8.94,2.1,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,26.02101108,87.43059724
7/19/2017,Before,2017,W,CA,12,Jul,BL5,Downstream,22.5,NA,182,191,8.61,7.59,13.4,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,4.860658409,16.33181226
9/18/2019,During,2019,W,MA-Ag,26,Sep,STTD,Transition,21.8,0.3,569,606,7.79,6.03,27.6,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,6.916066259,23.23798263
9/13/2017,During,2017,W,CA,12,Sep,RCS,Upstream,24,0.27,528,531,7.61,5.26,25.4,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,3.123167634,10.49384325
9/3/2019,During,2019,W,MA-Ag,26,Sep,RCS,Upstream,23.6,0.28,494,508,7.63,4.96,31.7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,17.36872485,58.35891549
9/4/2018,During,2018,BN,MA-Ag,30,Sep,RD22,Upstream,22.6,0.4,507,531,7.64,5.27,17.9,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,6.991870983,23.4926865
10/4/2018,After,2018,BN,MA-Ag,30,Oct,STTD,Transition,20.9,0.4,NA,279,8.4,7.6,10.4,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,25.64038747,86.1517019
9/17/2019,During,2019,W,MA-Ag,26,Sep,RCS,Upstream,21.6,0.31,487,520,7.66,5.37,25.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,13.62964295,45.7956003
10/25/2018,After,2018,BN,MA-Ag,30,Oct,I80,Upstream,15.3,0.51,928,1144,7.94,8.5,14.7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,24.55909243,82.51855057
8/3/2016,After,2016,BN,MA-SR,19,Aug,RD22,Upstream,24.93,0.26,809,810,7.61,5.5,53.4,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,1.039320454,3.492116727
8/30/2018,During,2018,BN,MA-Ag,30,Aug,BL5,Downstream,19.8,1.15,164,182,8.06,8.43,9.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,15.60782777,52.4423013
6/1/2016,Before,2016,BN,MA-SR,19,Jun,STTD,Transition,24.19,0.17,339,344,7.92,6.84,61.3,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,76.87113317,258.2870075
8/21/2019,Before,2019,W,MA-Ag,26,Aug,BL5,Downstream,21.6,1.1,148,158,8.24,8.09,8.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,8.5338022,28.67357539
9/1/2015,During,2015,C,NF,42,Sep,STTD,Transition,23.88,0.25,723,739,7.89,6.03,49.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,213.4661018,717.2461022
9/4/2018,During,2018,BN,MA-Ag,30,Sep,RCS,Upstream,22.2,0.37,495,522,7.67,5.49,16.9,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,15.02556969,50.48591417
8/6/2019,Before,2019,W,MA-Ag,26,Aug,RD22,Upstream,25.7,0.21,791,782,8.13,6.18,47.7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,16.39363854,55.0826255
7/20/2017,Before,2017,W,CA,12,Jul,RCS,Upstream,26.2,NA,680,665,7.83,4.02,43.7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,18.67629707,62.75235816
10/15/2019,After,2019,W,MA-Ag,26,Oct,RMB,Upstream,15.6,0.39,455,554,7.51,7.35,17.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,80.35334744,269.9872474
8/2/2017,Before,2017,W,CA,12,Aug,RYI,Downstream,23.3,1.8,120,124,7.57,7.98,3.4,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,0.301244265,1.012180732
9/4/2018,During,2018,BN,MA-Ag,30,Sep,I80,Upstream,23.2,0.37,519,537,7.67,5.25,22.1,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,15.98760415,53.71834994
10/1/2019,After,2019,W,MA-Ag,26,Oct,RMB,Upstream,19.2,0.28,512,575,7.59,7.07,32.6,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,37.61060773,126.371642
8/31/2016,After,2016,BN,MA-SR,19,Aug,I80,Upstream,21.56,0.2,684,732,7.94,5.49,58.3,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,30.02025832,100.868068
7/26/2018,Before,2018,BN,MA-Ag,30,Jul,RCS,Upstream,27.9,0.27,668,633,7.47,3.2,26.4,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,13.55972728,45.56068367
10/25/2018,After,2018,BN,MA-Ag,30,Oct,RYI,Downstream,16.7,2.4,136,162,7.91,8.93,3.7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,2.552642679,8.576879403
8/21/2018,Before,2018,BN,MA-Ag,30,Aug,RCS,Upstream,22.9,0.4,540,563,7.64,5.61,18,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,1.515614209,5.092463742
11/2/2017,After,2017,W,CA,12,Nov,STTD,Transition,15.7,0.43,132,161,7.22,8.63,15.2,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,25.86081356,86.89233358
9/3/2019,During,2019,W,MA-Ag,26,Sep,LIS,Transition,24.4,0.22,533,540,7.86,4.51,39.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,9.574365596,32.1698684
8/21/2019,Before,2019,W,MA-Ag,26,Aug,LIB,Downstream,21.7,1.2,133,142,7.87,8.61,5.7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,15.10143409,50.74081855
8/31/2017,During,2017,W,CA,12,Aug,I80,Upstream,23.5,0.12,641,659,8.16,5.57,83.6,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,134.2292481,451.0102735
8/3/2016,After,2016,BN,MA-SR,19,Aug,I80,Upstream,24.64,0.23,492,496,7.76,5.65,50.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,19.10978013,64.20886123
9/20/2017,After,2017,W,CA,12,Sep,STTD,Transition,20.4,0.35,170.4,186.8,7.72,7.97,14.7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,21.72561745,72.99807464
9/3/2019,During,2019,W,MA-Ag,26,Sep,RD22,Upstream,23.6,0.28,504,518,7.66,4.19,31.6,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,3.989500848,13.40472285
8/17/2016,After,2016,BN,MA-SR,19,Aug,I80,Upstream,23.26,0.22,671,695,8.07,5.96,49.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,132.3457243,444.6816336
9/27/2018,After,2018,BN,MA-Ag,30,Sep,BL5,Downstream,20.4,1.4,233,256,8.37,8.68,3.3,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,10.79149587,36.25942614
10/9/2018,After,2018,BN,MA-Ag,30,Oct,I80,Upstream,18.9,0.32,543,615,7.9,6.8,20.3,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,17.48312173,58.74328901
10/14/2015,After,2015,C,NF,42,Oct,I80,Upstream,21.11,0.25,823,889,8.06,4.76,36.9,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,63.82256226,214.4438092
7/20/2016,During,2016,BN,MA-SR,19,Jul,RD22,Upstream,23.77,0.38,566,569,7.93,4.02,44.9,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,33.94151723,114.0434979
9/18/2018,During,2018,BN,MA-Ag,30,Sep,RD22,Upstream,19.4,0.46,521,583,7.7,5.71,16.1,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,48.60231661,163.3037838
8/6/2019,Before,2019,W,MA-Ag,26,Aug,RCS,Upstream,26.9,0.24,599,578,7.74,4.48,67.3,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,1.301517767,4.373099697
9/4/2018,During,2018,BN,MA-Ag,30,Sep,LIS,Transition,21.8,0.42,512,546,7.47,4.38,16,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,6.10171647,20.50176734
8/13/2018,Before,2018,BN,MA-Ag,30,Aug,BL5,Downstream,22.4,0.9,NA,167,7.82,8.04,7,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,10.98406767,36.90646738
9/13/2017,During,2017,W,CA,12,Sep,RD22,Upstream,24.3,0.26,699,708,7.99,4.66,28.8,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,58.25636274,195.7413788
