,Taxlife,Date,Year,Month,DateTime,Time,StationCode,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,FlowMeterSpeed,StartMeter,EndMeter,VolMeso,SubMeso,VolMicro,SubMicro,Subsample,OrganismID,Classification,Organism,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,TaxonName,TaxonRank,CommonName,LifeStage,Count,CPUEZoop,WYType,FlowPulseType,NetFlowDays,SamplePeriod,CarbonWeight,BPUE
11,Acanthocyclops vernalis adult,11/15/2011,2011,11,11/15/2011 5:18,10:18:00,STTD,11.9,0.29,412,NA,7.91,7.61,NA,Low,1992,4600,500,1,150,1,5,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,4,13.57755339,W,NF,63,After,3.36,45.6205794
12,Acanthocyclops vernalis adult,11/1/2018,2018,11,11/1/2018 6:54,10:54:00,STTD,15.6,0.65,176,214,8.39,8.53,12,Low,569870,574000,117,0.4,117,1.4,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,6.269673626,BN,MA-Ag,30,After,3.36,21.06610338
13,Acanthocyclops vernalis adult,8/6/2019,2019,8,8/6/2019 10:14,10:14:00,RMB,26.6,0.23,588,571,7.64,4.48,28.4,Low,935359,936800,93,1.1,93,2.6,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,5.193921693,W,MA-Ag,26,Before,3.36,17.45157689
14,Acanthocyclops vernalis adult,11/9/2018,2018,11,11/9/2018 4:29,9:29:00,SHR,12.8,3.5,106,138,7.84,9.87,4.6,Low,565907,567934,53,4,53,20,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,0.578670369,BN,MA-Ag,30,After,3.36,1.944332439
15,Acanthocyclops vernalis adult,7/6/2016,2016,7,7/6/2016 4:25,8:25:00,SHR,20.77,1.3,85,93,7.21,9.19,5.09,Regular,33000,38414,83,0.6,83,20,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,4.844872347,BN,MA-SR,19,Before,3.36,16.27877109
16,Acanthocyclops vernalis adult,11/2/2011,2011,11,11/2/2011 6:12,10:12:00,STTD,14.2,0.26,526,NA,7.97,8.15,NA,Regular,414,4903,1300,1,1500,1,5,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,5,54.91202949,W,NF,63,After,3.36,184.5044191
17,Acanthocyclops vernalis adult,9/2/2015,2015,9,9/2/2015 7:49,11:49:00,LIS,22.99,0.3,653,679,7.62,5.18,34.1,Low,562341,563490,90,0.5,90,1.5,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,8,110.945982,C,NF,42,During,3.36,372.7784994
18,Acanthocyclops vernalis adult,8/17/2017,2017,8,8/17/2017 6:20,10:20:00,RD22,23.3,0.23,716,740,8.1,6.07,38.2,Low,977160,977500,88,7,88,20,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,6.546434483,W,CA,12,Before,3.36,21.99601986
19,Acanthocyclops vernalis adult,8/17/2017,2017,8,8/17/2017 7:54,11:54:00,I80,23,0.13,620,644,8.19,5.74,92,Low,975988,977000,78,0.2,78,0.6,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,8,272.9249231,W,CA,12,Before,3.36,917.0277415
20,Acanthocyclops vernalis adult,7/18/2016,2016,7,7/18/2016 4:25,8:25:00,SHR,19.86,NA,82,91,6.87,9.38,7.8,Regular,63000,63817,79,1.7,79,1.7,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,21.57048237,BN,MA-SR,19,During,3.36,72.47682078
21,Acanthocyclops vernalis adult,10/2/2019,2019,10,10/2/2019 9:17,9:17:00,RVB,17.8,1.6,120,139,7.24,8.47,8.1,Low,776776,780391,46,2.5,46,46,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,0.450586978,W,MA-Ag,26,After,3.36,1.513972246
22,Acanthocyclops vernalis adult,9/4/2019,2019,9,9/4/2019 12:02,12:02:00,STTD,24.9,0.26,546,547,7.81,5.73,26.6,Low,843416,845200,82,1.3,82,1.6,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,4,12.52001232,W,MA-Ag,26,During,3.36,42.06724141
23,Acanthocyclops vernalis adult,10/25/2018,2018,10,10/25/2018 7:21,11:21:00,BL5,16.4,2.1,152,182,8.7,9.5,4.5,Low,597710,601582,155,1,155,2,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,3.543769488,BN,MA-Ag,30,After,3.36,11.90706548
24,Acanthocyclops vernalis adult,8/6/2019,2019,8,8/6/2019 9:26,9:26:00,I80,24.4,0.13,687,695,8.12,6.59,79.6,Low,890725,891431,60,0.1,60,0.3,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,150.4685237,W,MA-Ag,26,Before,3.36,505.5742397
25,Acanthocyclops vernalis adult,6/29/2016,2016,6,6/29/2016 4:30,8:30:00,SHR,21.76,1,90,96,7.29,9.38,5.4,Regular,5000,9835,80,1.5,80,1.5,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,2.091587307,BN,MA-SR,19,Before,3.36,7.027733353
26,Acanthocyclops vernalis adult,11/1/2018,2018,11,11/1/2018 6:22,10:22:00,BL5,16,1.7,146,176,8.12,9.22,5.7,Low,574012,578000,68,0.2,68,1.1,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,7.547322056,BN,MA-Ag,30,After,3.36,25.35900211
27,Acanthocyclops vernalis adult,10/9/2018,2018,10,10/9/2018 5:35,9:35:00,RCS,19.3,0.36,563,632,7.71,4.43,21.3,Low,946297,947437,56,0.1,56,0.3,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,43.48628329,BN,MA-Ag,30,After,3.36,146.1139118
28,Acanthocyclops vernalis adult,10/27/2015,2015,10,10/27/2015 6:55,10:55:00,BL5,18.8,0.8,204,231,8.17,8.6,9,Low,985519,988000,81,1,81,4,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,5,14.45098246,C,NF,42,After,3.36,48.55530107
29,Acanthocyclops vernalis adult,5/31/2016,2016,5,5/31/2016 4:50,8:50:00,SHR,19.93,1.25,110,111,7.57,8.95,6.9,Regular,995000,999514,79,0.6,79,0.6,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,8,44.24640817,BN,MA-SR,19,Before,3.36,148.6679314
30,Acanthocyclops vernalis adult,10/11/2018,2018,10,10/11/2018 5:07,9:07:00,SHR,17.4,2.2,109,127,7.68,8.98,4.6,Low,619308,621700,62,4.1,62,4.1,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,3,1.678947156,BN,MA-Ag,30,After,3.36,5.641262445
31,Acanthocyclops vernalis adult,8/21/2019,2019,8,8/21/2019 9:30,9:30:00,RVB,21.8,1.8,124,132,7.59,8.03,4.9,Low,946615,950200,46,0.3,46,6.2,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,3.786313169,W,MA-Ag,26,Before,3.36,12.72201225
32,Acanthocyclops vernalis adult,10/19/2017,2017,10,10/19/2017 6:14,10:14:00,STTD,15.9,0.62,131,159,7.82,9.59,9.1,Low,915020,916217,57,1.6,57,3.6,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,2.634691908,W,CA,12,After,3.36,8.852564812
33,Acanthocyclops vernalis adult,8/21/2018,2018,8,8/21/2018 8:19,12:19:00,RD22,23,0.39,838,873,7.81,7.07,17.2,Low,948351,949791,32,3,32,15,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,0.655745542,BN,MA-Ag,30,Before,3.36,2.20330502
34,Acanthocyclops vernalis adult,7/20/2016,2016,7,7/20/2016 8:55,12:55:00,I80,24.83,0.27,586,588,7.88,4.61,47.8,Low,963869,965140,86,0.15,86,0.15,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,9,359.3960223,BN,MA-SR,19,During,3.36,1207.570635
35,Acanthocyclops vernalis adult,9/19/2018,2018,9,9/19/2018 8:49,12:49:00,BL5,19.2,1.6,266.5,296.2,8.71,8.83,9.2,Low,978320,979214,97,1.6,97,0.2,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,6.003207402,BN,MA-Ag,30,During,3.36,20.17077687
36,Acanthocyclops vernalis adult,7/26/2018,2018,7,7/26/2018 7:00,11:00:00,RD22,25.8,0.32,712,701,7.77,6.82,16.6,Low,959676,960991,37,3,42,5,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,10,8.302785755,BN,MA-Ag,30,Before,3.36,27.89736014
37,Acanthocyclops vernalis adult,9/17/2019,2019,9,9/17/2019 9:13,9:13:00,I80,21.4,0.26,496,533,7.39,5.53,34,Low,922205,925000,103,9,103,1.9,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,6,2.174869829,W,MA-Ag,26,During,3.36,7.307562624
38,Acanthocyclops vernalis adult,9/18/2018,2018,9,9/18/2018 5:25,9:25:00,RCS,19.9,0.4,528,584,7.72,6.08,17.7,Low,953101,954346,59,1,59,3,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,3,12.58557407,BN,MA-Ag,30,During,3.36,42.28752887
39,Acanthocyclops vernalis adult,8/31/2015,2015,8,8/31/2015 5:21,9:21:00,SHR,23.4,NA,176,181,6.59,7.57,4.9,Low,583763,586000,30,3,30,15,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,0.395733787,C,NF,42,During,3.36,1.329665524
40,Acanthocyclops vernalis adult,9/3/2019,2019,9,9/3/2019 9:50,9:50:00,I80,24.1,0.22,521,530,7.84,4.79,42.2,Low,928348,929440,86,1.75,86,1.75,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,3.983885787,W,MA-Ag,26,During,3.36,13.38585624
41,Acanthocyclops vernalis adult,8/20/2019,2019,8,8/20/2019 10:30,10:30:00,RMB,24.2,0.22,529,538,7.71,5.12,34.5,Low,889778,890492,85,3.4,85,3.4,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,6.199275078,W,MA-Ag,26,Before,3.36,20.82956426
42,Acanthocyclops vernalis adult,10/10/2018,2018,10,10/10/2018 8:57,12:57:00,LIB,18.3,1.87,148,170,8.03,8.94,2.1,Low,621734,625000,64,0.2,64,0.9,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,3,26.02101108,BN,MA-Ag,30,After,3.36,87.43059724
43,Acanthocyclops vernalis adult,7/19/2017,2017,7,7/19/2017 7:31,11:31:00,BL5,22.5,NA,182,191,8.61,7.59,13.4,Low,41373,43000,67,1.5,67,1.5,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,4.860658409,W,CA,12,Before,3.36,16.33181226
44,Acanthocyclops vernalis adult,8/24/2011,2011,8,8/24/2011 4:16,8:16:00,SHR,20.9,0.89,129,NA,7.87,8.63,NA,Regular,233036,234451,200,1,200,1,5,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,4,21.44061759,W,NF,63,During,3.36,72.04047511
45,Acanthocyclops vernalis adult,9/18/2019,2019,9,9/18/2019 11:59,11:59:00,STTD,21.8,0.3,569,606,7.79,6.03,27.6,Low,795258,797274,63,0.8,63,4.4,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,6.916066259,W,MA-Ag,26,During,3.36,23.23798263
46,Acanthocyclops vernalis adult,9/13/2017,2017,9,9/13/2017 4:24,8:24:00,RCS,24,0.27,528,531,7.61,5.26,25.4,Low,969867,971100,87,4,87,25,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,3.123167634,W,CA,12,During,3.36,10.49384325
47,Acanthocyclops vernalis adult,9/3/2019,2019,9,9/3/2019 10:20,10:20:00,RCS,23.6,0.28,494,508,7.63,4.96,31.7,Low,927655,929000,95,1.8,95,2.4,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,5,17.36872485,W,MA-Ag,26,During,3.36,58.35891549
48,Acanthocyclops vernalis adult,9/4/2018,2018,9,9/4/2018 10:54,14:54:00,RD22,22.6,0.4,507,531,7.64,5.27,17.9,Low,956612,957646,49,0.6,49,1.6,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,1,6.991870983,BN,MA-Ag,30,During,3.36,23.4926865
49,Acanthocyclops vernalis adult,10/4/2018,2018,10,10/4/2018 8:25,12:25:00,STTD,20.9,0.4,NA,279,8.4,7.6,10.4,Low,634076,635678,58,0.5,58,1,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,4,25.64038747,BN,MA-Ag,30,After,3.36,86.1517019
50,Acanthocyclops vernalis adult,9/17/2019,2019,9,9/17/2019 10:58,10:58:00,RCS,21.6,0.31,487,520,7.66,5.37,25.5,Low,922019,924000,61,0.4,61,2.8,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,13.62964295,W,MA-Ag,26,During,3.36,45.7956003
51,Acanthocyclops vernalis adult,10/3/2017,2017,10,10/3/2017 5:48,9:48:00,SHR,16,1.01,81,98,7.81,9.64,1.2,Low,928534,930600,89,2.5,89,2.5,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,3.050835501,W,CA,12,After,3.36,10.25080729
